r,phi,Q,p,t,cd,s,qref,phi_rel,alpha
0.15,-1.0116814487110757,0.9816045454545452,0.9775042907537119,0.06256717823289146,0.9886881665893003,0.0,0.06328302527249907,0.0,0.1
0.2,-0.7246364441461041,0.9672909090909091,0.9600248460146802,0.06281632387787583,0.9798029080993178,0.016666666666666663,0.06328302527249907,0.2870450045649716,0.1
0.25,-0.5024768103522541,0.9488863636363636,0.9375515098954489,0.06228882857937551,0.9682634756473812,0.016666666666666663,0.06328302527249907,0.5092046383588216,0.1
0.3,-0.32162019936405817,0.926390909090909,0.9100974821643553,0.06158742956051312,0.9539772021929477,0.016666666666666663,0.06328302527249907,0.6900612493470175,0.1
0.35,-0.16959228821968345,0.8998045454545456,0.8776722118306411,0.06070447149280471,0.9368234745393541,0.016666666666666663,0.06328302527249907,0.8420891604913923,0.1
0.4,-0.03907012240413372,0.8691272727272726,0.840288413992124,0.05963017899852191,0.9166482626044891,0.016666666666666663,0.06328302527249907,0.9726113263069419,0.1
0.45,0.07512570663826296,0.8752636363636364,0.7994503270320964,0.06021117585511097,0.89399510412224,0.033333333333333326,0.06328302527249907,1.0868071553493386,0.1
0.5,0.17600237447310724,0.84095,0.752734140075543,0.05893232935287364,0.8674440008583415,0.033333333333333326,0.06328302527249907,1.1876838231841829,0.1
0.55,0.26526943771594264,0.8025454545454545,0.7012696508719672,0.05742002344345646,0.8372200183038435,0.033333333333333326,0.06328302527249907,1.2769508864270183,0.1
0.6,0.3455941912377976,0.8145909090909093,0.6497446036300454,0.05580082699721191,0.8058256623317155,0.033333333333333326,0.06328302527249907,1.3572756399488732,0.1
0.65,0.41725112911746315,0.7725499999999998,0.5902671050588238,0.05379862765178947,0.7679917576907409,0.033333333333333326,0.06328302527249907,1.4289325778285389,0.1
0.7,0.481866103776321,0.7900499999999999,0.5359803738667648,0.054582538257870794,0.731312120376991,0.04999999999999999,0.06328302527249907,1.4935475524873967,0.1
0.75,0.5394790944303636,0.7443727272727271,0.47045477405430947,0.05221415355871989,0.684928896336621,0.04999999999999999,0.06328302527249907,1.5511605431414393,0.1
0.8,0.5917160982597043,0.7673272727272727,0.41552116383125487,0.05003935387194519,0.6434720697844909,0.04999999999999999,0.06328302527249907,1.60339754697078,0.1
0.85,0.6375310519324958,0.7952818181818182,0.36337323106809694,0.047788764958054265,0.6014795717696799,0.04999999999999999,0.06328302527249907,1.6492125006435714,0.1
0.9,0.6791528865684061,0.7464227272727272,0.29546244386155823,0.0445263602465472,0.5419378982646416,0.04999999999999999,0.06328302527249907,1.6908343352794817,0.1
0.95,0.7156008417660098,0.7798318181818181,0.250103240040043,0.045522714959573135,0.49674489091219104,0.06666666666666665,0.06328302527249907,1.7272822904770855,0.1
1.0,0.746768897856574,0.818240909090909,0.2080955151515152,0.043098246200563024,0.4522833484362732,0.06666666666666665,0.06328302527249907,1.7584503465676495,0.1
1.05,0.7746152919586732,0.7641545454545454,0.14703373521022237,0.03897372568029006,0.37845191253256166,0.06666666666666665,0.06328302527249907,1.7862967406697488,0.1
1.1,0.7982275606141969,0.8018818181818183,0.11317838841393853,0.036233403921394985,0.3304835296383392,0.06666666666666665,0.06328302527249907,1.8099090093252725,0.1
1.15,0.8175327354123522,0.8405181818181818,0.08620487882204705,0.037341151686512725,0.2825149609303443,0.08333333333333331,0.06328302527249907,1.829214184123428,0.1
1.2,0.8328390608470801,0.8800636363636366,0.06157434924392815,0.03456610143300001,0.23454622594655794,0.08333333333333331,0.06328302527249907,1.8445205095581558,0.1
1.25,0.8443877693907558,0.9205181818181819,0.04151380517039699,0.03174018126034253,0.18657734189138003,0.08333333333333331,0.06328302527249907,1.8560692181018315,0.1
1.3,0.8523618831543114,0.9618818181818181,0.026023293389339352,0.028864984056981808,0.1386083239527305,0.08333333333333331,0.06328302527249907,1.864043331865387,0.1
1.35,0.8568944003050815,1.0041545454545457,0.018133307341318336,0.029982836210439172,0.09063918557074319,0.09999999999999998,0.06328302527249907,1.8685758490161573,0.1
1.4,0.8580820068867482,1.0473363636363637,0.01180251642912324,0.02702524007526707,0.04266993866624436,0.09999999999999998,0.06328302527249907,1.8697634555978238,0.1
1.45,0.8559859545999354,1.0914272727272731,0.01002780286863739,0.024011427730720562,-0.005299406164311125,0.09999999999999998,0.06328302527249907,1.8676674033110112,0.1
1.5,0.8506307123064848,1.1364272727272728,0.012809193567160218,0.020941550874653065,-0.05326883948198797,0.09999999999999998,0.06328302527249907,1.8623121610175604,0.1
1.55,0.842003905919693,1.1823363636363635,0.023720812145673065,0.021852379008115076,-0.10123835286211742,0.11666666666666664,0.06328302527249907,1.8536853546307688,0.1
1.6,0.8300611813586117,1.2291545454545456,0.035571095814322086,0.018644687702291496,-0.14920793877093963,0.11666666666666664,0.06328302527249907,1.8417426300696875,0.1
1.65,0.8147233387300737,1.2768818181818182,0.05196092687181009,0.0153693402077432,-0.19717759045908306,0.11666666666666664,0.06328302527249907,1.8264047874411493,0.1
1.7,0.7958662711710132,1.325518181818182,0.07289032106351157,0.012024570274365142,-0.24514730186932643,0.11666666666666664,0.06328302527249907,1.8075477198820888,0.1
1.75,0.7733168594102017,1.3750636363636364,0.10216796879883944,0.012487628169191366,-0.2931170675565244,0.1333333333333333,0.06328302527249907,1.7849983081212772,0.1
1.8,0.7494345751258134,1.6036954545454545,0.07977295663206083,0.015522974011578504,-0.2512314939242858,0.1333333333333333,0.06328302527249907,1.761116023836889,0.1
1.85,0.7230709013152152,1.6614795454545457,0.10337258631550729,0.012334879091174401,-0.29520168671872427,0.1333333333333333,0.06328302527249907,1.734752350026291,0.1
1.9,0.6932256499094781,1.720286363636364,0.13077025009942517,0.009074763998218365,-0.33917191060412666,0.1333333333333333,0.06328302527249907,1.704907098620554,0.1
