r,target_direct_phi,proposal_lambda0p8_unweighted_phi,proposal_lambda0p8_reweighted_phi,proposal_lambda0p2_unweighted_phi,proposal_lambda0p2_reweighted_phi,diagnostic_note
0.15,0.0,0.006,0.0018,0.051000000000000004,0.028499999999999998,synthetic_known-proposal_bias_proxy
0.2,0.27961039767911106,0.28761039767911106,0.28201039767911107,0.34761039767911106,0.31761039767911103,synthetic_known-proposal_bias_proxy
0.25,0.49587057508325405,0.5058705750832541,0.49887057508325405,0.580870575083254,0.543370575083254,synthetic_known-proposal_bias_proxy
0.3,0.6718088834945661,0.6838088834945661,0.6754088834945662,0.7738088834945661,0.7288088834945661,synthetic_known-proposal_bias_proxy
0.35,0.8196378601911728,0.8336378601911728,0.8238378601911728,0.9386378601911728,0.8861378601911728,synthetic_known-proposal_bias_proxy
0.4,0.9465794903081713,0.9625794903081714,0.9513794903081714,1.0825794903081714,1.0225794903081713,synthetic_known-proposal_bias_proxy
0.45,1.0572634455259857,1.0752634455259857,1.0626634455259858,1.2102634455259857,1.1427634455259856,synthetic_known-proposal_bias_proxy
0.5,1.1548201078764326,1.1748201078764327,1.1608201078764326,1.3248201078764326,1.2498201078764326,synthetic_known-proposal_bias_proxy
0.55,1.2414667890241873,1.2634667890241873,1.2480667890241872,1.4284667890241873,1.3459667890241873,synthetic_known-proposal_bias_proxy
0.6,1.31878770426045,1.3427877042604501,1.3259877042604502,1.52278770426045,1.4327877042604502,synthetic_known-proposal_bias_proxy
0.65,1.3879826644325386,1.4139826644325386,1.3957826644325386,1.6089826644325387,1.5114826644325385,synthetic_known-proposal_bias_proxy
0.7,1.45001896613027,1.47801896613027,1.45841896613027,1.68801896613027,1.58301896613027,synthetic_known-proposal_bias_proxy
0.75,1.5055648775613677,1.5355648775613677,1.5145648775613676,1.7605648775613676,1.6480648775613678,synthetic_known-proposal_bias_proxy
0.8,1.555063312412392,1.587063312412392,1.564663312412392,1.827063312412392,1.7070633124123922,synthetic_known-proposal_bias_proxy
0.85,1.599304451390125,1.633304451390125,1.6095044513901249,1.888304451390125,1.7608044513901249,synthetic_known-proposal_bias_proxy
0.9,1.6384290305196207,1.6744290305196208,1.6492290305196207,1.9444290305196208,1.8094290305196208,synthetic_known-proposal_bias_proxy
0.95,1.6727097669266042,1.7107097669266043,1.6841097669266043,1.9957097669266042,1.853209766926604,synthetic_known-proposal_bias_proxy
1.0,1.702451211162349,1.7424512111623491,1.714451211162349,2.042451211162349,1.892451211162349,synthetic_known-proposal_bias_proxy
1.05,1.7281057478877968,1.7701057478877968,1.7407057478877968,2.085105747887797,1.9276057478877968,synthetic_known-proposal_bias_proxy
1.1,1.7494496758070124,1.7934496758070124,1.7626496758070125,2.1234496758070125,1.9584496758070125,synthetic_known-proposal_bias_proxy
1.15,1.766978829055342,1.8129788290553421,1.7807788290553421,2.157978829055342,1.985478829055342,synthetic_known-proposal_bias_proxy
1.2,1.7805978140629763,1.8285978140629764,1.7949978140629763,2.1885978140629763,2.008597814062976,synthetic_known-proposal_bias_proxy
1.25,1.79056171270489,1.84056171270489,1.80556171270489,2.21556171270489,2.02806171270489,synthetic_known-proposal_bias_proxy
1.3,1.7969074148873285,1.8489074148873286,1.8125074148873286,2.2389074148873287,2.0439074148873284,synthetic_known-proposal_bias_proxy
1.35,1.79975272626195,1.85375272626195,1.81595272626195,2.25875272626195,2.05625272626195,synthetic_known-proposal_bias_proxy
1.4,1.7992421674418302,1.8552421674418302,1.8160421674418301,2.27524216744183,2.06524216744183,synthetic_known-proposal_bias_proxy
