"r","N","phi_emp","weighted_CE","weighted_err","reference_count","mean_ess_frac","q05_ess_frac","max_split_logZ_per_N_diff","fallback_unit_count","fallback_unit_fraction","min_smc_cess_fraction","max_smc_step_count"
"0.15","40","0.0","1.6873085523762237","0.04959426418108651","100","0.9897876317740559","0.9842997585652723","0.00030760912305591857","0","0.0","nan","nan"
"0.2","40","0.27961039767911106","1.6990224025817566","0.0636372677082196","100","0.9821125846638051","0.9716098313849544","0.0004827884247958325","0","0.0","nan","nan"
"0.25","40","0.49587057508325405","1.7138238274955642","0.0761713457226654","100","0.9726908371994414","0.9576837064720014","0.0006152012028601383","0","0.0","nan","nan"
"0.3","40","0.6718088834945661","1.7306825103312897","0.08803937159872795","100","0.9614181634628661","0.9394308205561462","0.0006945678550005052","0","0.0","nan","nan"
"0.35","40","0.8196378601911728","1.7497556547810598","0.09951873355973334","100","0.9490094383064759","0.9209630396265059","0.0007826063005688111","0","0.0","nan","nan"
"0.4","40","0.9465794903081713","1.7711500020687538","0.1110917421736278","100","0.934840959216193","0.899745182989887","0.0008029419590740661","0","0.0","nan","nan"
"0.45","40","1.0572634455259857","1.794863229131297","0.12302060484660891","100","0.91962824539221","0.8786631414423995","0.001314741100986505","0","0.0","nan","nan"
"0.5","40","1.1548201078764326","1.8208589910316124","0.13429090891690465","100","0.9042242659763952","0.8556088116751888","0.0009818359423715783","0","0.0","nan","nan"
"0.55","40","1.2414667890241873","1.8472476448068682","0.14676338169710848","100","0.8868215693754944","0.835373994425146","0.0012932368350920154","0","0.0","nan","nan"
"0.6","40","1.31878770426045","1.8758264946153969","0.15821597051717987","100","0.8695869561488102","0.812475908491144","0.0013768126171875394","0","0.0","nan","nan"
"0.65","40","1.3879826644325386","1.9049623803257207","0.16951309883888083","100","0.8498220748812274","0.7841522672355348","0.0012013369715913492","0","0.0","nan","nan"
"0.7","40","1.45001896613027","1.9344985304576494","0.18119650436987492","100","0.8310367438561462","0.7596110640048132","0.0015577351606926415","0","0.0","nan","nan"
"0.75","40","1.5055648775613677","1.9661443917314958","0.19307391312785652","100","0.8130400710069299","0.7369756981855339","0.002129765025320518","0","0.0","nan","nan"
"0.8","40","1.555063312412392","2.001915273220141","0.20571001142844442","100","0.7912873406203021","0.7193766545882104","0.0015850518864829687","0","0.0","nan","nan"
"0.85","40","1.599304451390125","2.0324017607920264","0.21672181719708522","100","0.7716661275896091","0.6947681906060207","0.001499656731535115","0","0.0","nan","nan"
"0.9","40","1.6384290305196207","2.0643043543935655","0.22735416129806205","100","0.7506490286989153","0.67257184700848","0.001692085999427384","0","0.0","nan","nan"
"0.95","40","1.6727097669266042","2.1019191180331727","0.24020721149302685","100","0.7323234737837697","0.6596866641970495","0.0021176416217964845","0","0.0","nan","nan"
"1.0","40","1.702451211162349","2.1392331919613112","0.25162693263906943","100","0.7108163337067941","0.6311754227279495","0.001327168710421356","0","0.0","nan","nan"
"1.05","40","1.7281057478877968","2.1704888014055372","0.2623896979431148","100","0.690691348418579","0.6180972971332721","0.0019065234695266886","0","0.0","nan","nan"
"1.1","40","1.7494496758070124","2.2090167559207154","0.2738900483780035","100","0.6697221867367721","0.5922718090049802","0.0023767628873809345","0","0.0","nan","nan"
"1.15","40","1.766978829055342","2.243041314941005","0.28397838036850254","100","0.6496280178785392","0.5665801981872557","0.002380875696133078","0","0.0","nan","nan"
"1.2","40","1.7805978140629763","2.2816203897643055","0.295606840466607","100","0.6289681440855593","0.5483920272978844","0.002505969454565049","0","0.0","nan","nan"
"1.25","40","1.79056171270489","2.318882029077413","0.3061533593947791","100","0.6086853210057199","0.5321825008442921","0.0019082125475667234","0","0.0","nan","nan"
"1.3","40","1.7969074148873285","2.357912639599163","0.31670820368760716","100","0.5889448733232513","0.5030225679463209","0.0019648878164668206","0","0.0","nan","nan"
"1.35","40","1.79975272626195","2.39525941722996","0.3258943983233784","100","0.577236799388814","0.4783157388166235","0.0029066417530118293","2","0.02","0.8500000000009352","3.0"
"1.4","40","1.7992421674418302","2.4327458101450845","0.33467501780564546","100","0.5484706362029307","0.4686209513951681","0.0026384869126801825","0","0.0","nan","nan"
"1.45","40","1.7952018297443866","2.4758562961069965","0.34591509102863144","100","0.5282736587428505","0.4512076969131215","0.0028329545540227486","0","0.0","nan","nan"
"1.5","40","1.7882394730459241","2.5051872084644526","0.35312582485045446","100","0.5134289605024336","0.4226611979406552","0.0026406352981657834","1","0.01","0.8500000000049319","2.0"
"1.55","40","1.7776530523606602","2.5502686647411252","0.3622517934970264","100","0.4991241251225735","0.39654881633264355","0.0026849917690569213","2","0.02","0.850000000000914","3.0"
"1.6","40","1.7641856680132646","2.584210969033669","0.3688864979436123","100","0.4884871455314279","0.3938512987489691","0.002434493159926987","3","0.03","0.8500000000004082","3.0"
"1.65","40","1.747344554784363","2.6261721508675766","0.37735376450588276","100","0.4699353838509975","0.37005291085978237","0.0029800245404899782","3","0.03","0.85000000000076","3.0"
"1.7","40","1.7275948637992078","2.662197794168232","0.3842545568001824","100","0.4465534301422617","0.34465748246858907","0.0029246924285134313","2","0.02","0.8500000000000678","4.0"
"1.75","40","1.7045578723112886","2.710478497744445","0.3940991932423593","100","0.4408804862733558","0.31941274564321614","0.0028709842746266643","4","0.04","0.8500000000004755","3.0"
"1.8","40","1.6788688896259283","2.736957546432834","0.3982598257730401","100","0.43678386258599","0.3117376936747974","0.0028104006033949245","6","0.06","0.8500000000000081","4.0"
"1.85","40","1.649948469831111","2.780124539092584","0.40606048164730935","100","0.40496067691019033","0.2884554478261259","0.0028561950061854803","3","0.03","0.8500000000002075","4.0"
"1.9","40","1.6179812926227395","2.8274033015137277","0.4135386199112393","100","0.4038520742443131","0.283749618634595","0.0029054683586821283","5","0.05","0.8500000000001674","4.0"
"1.95","40","1.5832663029027492","2.861341218626762","0.417888296344846","100","0.42227961849558954","0.2781188661188208","0.0035916868434840766","9","0.09","0.8500000000001131","4.0"
"2.0","40","1.5455621619810556","2.9005679531040145","0.4237191345314034","100","0.4018690770954011","0.2699091445849327","0.0010665899290483339","8","0.08","0.8500000000000202","4.0"
"2.05","40","1.5050631365899316","2.9384474266156126","0.4289095902290822","100","0.41372935493232854","0.2640551483298819","0.0037439012829057817","11","0.11","0.8500000000001199","4.0"
"2.1","40","1.4614962069358255","2.9809823557801214","0.43484617602167874","100","0.43752395365458363","0.26103390021195805","0.0008612926208856564","16","0.16","0.8500000000000043","4.0"
