N,r,reference_count,split_pass,smc_pass,claim,max_split_logZ_per_N_diff,min_smc_cess_fraction,max_smc_step_count
40,0.15,100,True,True,pass,0.00030760912305591857,nan,nan
40,0.2,100,True,True,pass,0.0004827884247958325,nan,nan
40,0.25,100,True,True,pass,0.0006152012028601383,nan,nan
40,0.3,100,True,True,pass,0.0006945678550005052,nan,nan
40,0.35,100,True,True,pass,0.0007826063005688111,nan,nan
40,0.4,100,True,True,pass,0.0008029419590740661,nan,nan
40,0.45,100,True,True,pass,0.001314741100986505,nan,nan
40,0.5,100,True,True,pass,0.0009818359423715783,nan,nan
40,0.55,100,True,True,pass,0.0012932368350920154,nan,nan
40,0.6,100,True,True,pass,0.0013768126171875394,nan,nan
40,0.65,100,True,True,pass,0.0012013369715913492,nan,nan
40,0.7,100,True,True,pass,0.0015577351606926415,nan,nan
40,0.75,100,True,True,pass,0.002129765025320518,nan,nan
40,0.8,100,True,True,pass,0.0015850518864829687,nan,nan
40,0.85,100,True,True,pass,0.001499656731535115,nan,nan
40,0.9,100,True,True,pass,0.001692085999427384,nan,nan
40,0.95,100,True,True,pass,0.0021176416217964845,nan,nan
40,1.0,100,True,True,pass,0.001327168710421356,nan,nan
40,1.05,100,True,True,pass,0.0019065234695266886,nan,nan
40,1.1,100,True,True,pass,0.0023767628873809345,nan,nan
40,1.15,100,True,True,pass,0.002380875696133078,nan,nan
40,1.2,100,True,True,pass,0.002505969454565049,nan,nan
40,1.25,100,True,True,pass,0.0019082125475667234,nan,nan
40,1.3,100,True,True,pass,0.0019648878164668206,nan,nan
40,1.35,100,True,True,pass,0.0029066417530118293,0.8500000000009352,3.0
40,1.4,100,True,True,pass,0.0026384869126801825,nan,nan
40,1.45,100,True,True,pass,0.0028329545540227486,nan,nan
40,1.5,100,True,True,pass,0.0026406352981657834,0.8500000000049319,2.0
40,1.55,100,True,True,pass,0.0026849917690569213,0.850000000000914,3.0
40,1.6,100,True,True,pass,0.002434493159926987,0.8500000000004082,3.0
40,1.65,100,True,True,pass,0.0029800245404899782,0.85000000000076,3.0
40,1.7,100,True,True,pass,0.0029246924285134313,0.8500000000000678,4.0
40,1.75,100,True,True,pass,0.0028709842746266643,0.8500000000004755,3.0
40,1.8,100,True,True,pass,0.0028104006033949245,0.8500000000000081,4.0
40,1.85,100,True,True,pass,0.0028561950061854803,0.8500000000002075,4.0
40,1.9,100,True,True,pass,0.0029054683586821283,0.8500000000001674,4.0
40,1.95,100,True,True,pass,0.0035916868434840766,0.8500000000001131,4.0
40,2.0,100,True,True,pass,0.0010665899290483339,0.8500000000000202,4.0
40,2.05,100,True,True,pass,0.0037439012829057817,0.8500000000001199,4.0
40,2.1,100,True,True,pass,0.0008612926208856564,0.8500000000000043,4.0
40,2.15,100,True,True,pass,0.0011082343864172728,0.8500000000000331,5.0
40,2.2,100,True,True,pass,0.001955030966157878,0.8500000000000527,5.0
80,0.15,100,True,True,pass,0.0001808954090654291,nan,nan
80,0.2,100,True,True,pass,0.0002841248362904114,nan,nan
80,0.25,100,True,True,pass,0.0003692187596619656,nan,nan
80,0.3,100,True,True,pass,0.0004359681634723778,nan,nan
80,0.35,100,True,True,pass,0.00042038103336788923,nan,nan
80,0.4,100,True,True,pass,0.0006244009702260466,nan,nan
80,0.45,100,True,True,pass,0.0005970225004133356,nan,nan
80,0.5,100,True,True,pass,0.0006746516765898825,nan,nan
80,0.55,100,True,True,pass,0.0006803151390170958,nan,nan
80,0.6,100,True,True,pass,0.0008064963587931407,nan,nan
80,0.65,100,True,True,pass,0.0009087825350772239,nan,nan
80,0.7,100,True,True,pass,0.0008723492124238952,nan,nan
80,0.75,100,True,True,pass,0.0008504898132555728,nan,nan
80,0.8,100,True,True,pass,0.001218538475720865,nan,nan
80,0.85,100,True,True,pass,0.0017681649063881367,nan,nan
80,0.9,100,True,True,pass,0.0016724706332811757,nan,nan
80,0.95,100,True,True,pass,0.0013278346062833624,nan,nan
80,1.0,100,True,True,pass,0.0017365213588036222,nan,nan
80,1.05,100,True,True,pass,0.0016371896681843356,nan,nan
80,1.1,100,True,True,pass,0.0011998544433113878,nan,nan
80,1.15,100,True,True,pass,0.0019929010631811296,nan,nan
80,1.2,100,True,True,pass,0.0017536340435278408,nan,nan
80,1.25,100,True,True,pass,0.001671645643991182,nan,nan
