N,r,branch,phi_emp,phi_theory,finiteN_error
40,0.15,boundary_mixed_eta0,0.0,0.0,0.0
40,0.2,boundary_mixed_eta0,0.279610397679111,0.2873960809559721,-0.007785683276861077
40,0.25,boundary_mixed_eta0,0.495870575083254,0.5098688569027066,-0.013998281819452563
40,0.3,boundary_mixed_eta0,0.6718088834945661,0.6911623912089282,-0.01935350771436206
40,0.35,boundary_mixed_eta0,0.8196378601911728,0.8436756312417768,-0.024037771050604007
40,0.4,boundary_mixed_eta0,0.9465794903081712,0.975016516029479,-0.028437025721307796
40,0.45,boundary_mixed_eta0,1.0572634455259855,1.089725760841577,-0.032462315315591406
40,0.5,boundary_mixed_eta0,1.1548201078764326,1.1910595285237109,-0.03623942064727825
40,0.55,boundary_mixed_eta0,1.2414667890241873,1.2813090353155967,-0.03984224629140942
40,0.6,boundary_mixed_eta0,1.31878770426045,1.362131459161558,-0.04334375490110798
40,0.65,boundary_mixed_eta0,1.3879826644325386,1.4347465538912707,-0.04676388945873211
40,0.7,boundary_mixed_eta0,1.45001896613027,1.5000584910561643,-0.05003952492589425
40,0.75,boundary_mixed_eta0,1.5055648775613677,1.5587334352227868,-0.05316855766141915
40,0.8,boundary_mixed_eta0,1.555063312412392,1.6113564939955354,-0.05629318158314334
40,0.85,boundary_mixed_eta0,1.599304451390125,1.6587989574830448,-0.05949450609291995
40,0.9,boundary_mixed_eta0,1.6384290305196207,1.7008504875343262,-0.06242145701470547
40,0.95,boundary_mixed_eta0,1.6727097669266042,1.7381814341957271,-0.0654716672691229
40,1.0,boundary_mixed_eta0,1.702451211162349,1.7710162555958724,-0.06856504443352329
40,1.05,boundary_mixed_eta0,1.7281057478877968,1.7994369206462149,-0.07133117275841805
40,1.1,boundary_mixed_eta0,1.7494496758070124,1.823660893417061,-0.07421121761004867
40,1.15,boundary_mixed_eta0,1.766978829055342,1.844228943711236,-0.07725011465589393
40,1.2,boundary_mixed_eta0,1.7805978140629763,1.86077026860544,-0.08017245454246358
40,1.25,boundary_mixed_eta0,1.79056171270489,1.8735273222615216,-0.08296560955663157
40,1.3,boundary_mixed_eta0,1.7969074148873283,1.882683105160834,-0.08577569027350562
40,1.35,boundary_mixed_eta0,1.79975272626195,1.888373322114094,-0.08862059585214399
40,1.4,boundary_mixed_eta0,1.7992421674418302,1.8906914987241352,-0.09144933128230504
40,1.45,boundary_mixed_eta0,1.7952018297443866,1.88969151884924,-0.09448968910485345
40,1.5,boundary_mixed_eta0,1.788239473045924,1.885390341273668,-0.09715086822774399
40,1.55,boundary_mixed_eta0,1.7776530523606602,1.877768098213897,-0.10011504585323672
40,1.6,boundary_mixed_eta0,1.7641856680132646,1.866766418357806,-0.1025807503445415
40,1.65,boundary_mixed_eta0,1.747344554784363,1.852299809151528,-0.10495525436716502
40,1.7,boundary_mixed_eta0,1.7275948637992078,1.8358110964419807,-0.10821623264277291
40,1.75,boundary_mixed_eta0,1.7045578723112886,1.8159682612992825,-0.11141038898799382
40,1.8,boundary_mixed_eta0,1.6788688896259285,1.7926012051781723,-0.11373231555224383
40,1.85,boundary_mixed_eta0,1.649948469831111,1.7659742351979282,-0.11602576536681708
40,1.9,boundary_mixed_eta0,1.6179812926227397,1.7376071785018667,-0.11962588587912704
40,1.95,boundary_mixed_eta0,1.5832663029027492,1.7055570691978994,-0.12229076629515023
40,2.0,boundary_mixed_eta0,1.5455621619810556,1.6696231460710838,-0.12406098409002819
40,2.05,boundary_mixed_eta0,1.5050631365899316,1.632835786853623,-0.12777265026369133
40,2.1,boundary_mixed_eta0,1.4614962069358255,1.5921087918453107,-0.13061258490948524
40,2.15,boundary_mixed_eta0,1.4151783270871878,1.5475669802534635,-0.13238865316627568
40,2.2,boundary_mixed_eta0,1.3660291287120958,1.5023236300686291,-0.13629450135653332
40,0.15,full_max_envelope,0.0,0.0,0.0
40,0.2,full_max_envelope,0.279610397679111,0.2874151587927827,-0.007804761113671677
40,0.25,full_max_envelope,0.495870575083254,0.5099060655500125,-0.014035490466758505
40,0.3,full_max_envelope,0.6718088834945661,0.6912162132387039,-0.019407329744137725
40,0.35,full_max_envelope,0.8196378601911728,0.843745943957174,-0.024108083766001154
40,0.4,full_max_envelope,0.9465794903081712,0.9751013720772336,-0.02852188176906234
40,0.45,full_max_envelope,1.0572634455259855,1.089823877409799,-0.03256043188381352
40,0.5,full_max_envelope,1.1548201078764326,1.191169527457987,-0.036349419581554354
40,0.55,full_max_envelope,1.2414667890241873,1.28142942526938,-0.039962636245192806
40,0.6,full_max_envelope,1.31878770426045,1.362260635495204,-0.04347293123475393
40,0.65,full_max_envelope,1.3879826644325386,1.4348827994767817,-0.04690013504424306
40,0.7,full_max_envelope,1.45001896613027,1.5001999920664275,-0.050181025936157475
40,0.75,full_max_envelope,1.5055648775613677,1.5588783059965865,-0.0533134284352188
40,0.8,full_max_envelope,1.555063312412392,1.6114949415630235,-0.05643162915063149
40,0.85,full_max_envelope,1.599304451390125,1.6589355135392907,-0.0596310621491658
40,0.9,full_max_envelope,1.6384290305196207,1.700983084036352,-0.06255405351673127
40,0.95,full_max_envelope,1.6727097669266042,1.7382954426088872,-0.06558567568228302
40,1.0,full_max_envelope,1.702451211162349,1.771120423274397,-0.0686692121120478
40,1.05,full_max_envelope,1.7281057478877968,1.7995131648769984,-0.07140741698920161
40,1.1,full_max_envelope,1.7494496758070124,1.823723327173184,-0.0742736513661717
40,1.15,full_max_envelope,1.766978829055342,1.8442557610155743,-0.07727693196023222
40,1.2,full_max_envelope,1.7805978140629763,1.8607565691136188,-0.0801587550506424
40,1.25,full_max_envelope,1.79056171270489,1.8734682214735583,-0.08290650876866823
40,1.3,full_max_envelope,1.7969074148873283,1.8825750061946565,-0.08566759130732815
40,1.35,full_max_envelope,1.79975272626195,1.88821237723846,-0.0884596509765101
40,1.4,full_max_envelope,1.7992421674418302,1.8904732103642343,-0.09123104292240414
40,1.45,full_max_envelope,1.7952018297443866,1.8894116649926216,-0.09420983524823501
40,1.5,full_max_envelope,1.788239473045924,1.8850450856941727,-0.09680561264824883
40,1.55,full_max_envelope,1.7776530523606602,1.8773541259845388,-0.09970107362387859
40,1.6,full_max_envelope,1.7641856680132646,1.8662811010742644,-0.10209543306099977
40,1.65,full_max_envelope,1.747344554784363,1.851726392039609,-0.10438183725524608
40,1.7,full_max_envelope,1.7275948637992078,1.835099237468512,-0.10750437366930421
40,1.75,full_max_envelope,1.7045578723112886,1.815171326621794,-0.11061345431050529
40,1.8,full_max_envelope,1.6788688896259285,1.79171939466778,-0.11285050504185157
40,1.85,full_max_envelope,1.649948469831111,1.7649044473391768,-0.11495597750806574
40,1.9,full_max_envelope,1.6179812926227397,1.7364412095846546,-0.11845991696191494
40,1.95,full_max_envelope,1.5832663029027492,1.704297992274178,-0.12103168937142894
40,2.0,full_max_envelope,1.5455621619810556,1.6681690489024277,-0.12260688692137212
40,2.05,full_max_envelope,1.5050631365899316,1.63124736220243,-0.1261842256124983
40,2.1,full_max_envelope,1.4614962069358255,1.590424130856718,-0.12892792392089247
40,2.15,full_max_envelope,1.4151783270871878,1.545613597493002,-0.13043527040581426
40,2.2,full_max_envelope,1.3660291287120958,1.5002651169734236,-0.13423598826132777
40,0.15,full_mixed_maxQ_min_s_eta,0.0,0.0,0.0
40,0.2,full_mixed_maxQ_min_s_eta,0.279610397679111,0.2873960809559721,-0.007785683276861077
40,0.25,full_mixed_maxQ_min_s_eta,0.495870575083254,0.5098688569027066,-0.013998281819452563
40,0.3,full_mixed_maxQ_min_s_eta,0.6718088834945661,0.6911623912089282,-0.01935350771436206
40,0.35,full_mixed_maxQ_min_s_eta,0.8196378601911728,0.8436756312417768,-0.024037771050604007
40,0.4,full_mixed_maxQ_min_s_eta,0.9465794903081712,0.975016516029479,-0.028437025721307796
40,0.45,full_mixed_maxQ_min_s_eta,1.0572634455259855,1.089725760841577,-0.032462315315591406
40,0.5,full_mixed_maxQ_min_s_eta,1.1548201078764326,1.1910595285237109,-0.03623942064727825
40,0.55,full_mixed_maxQ_min_s_eta,1.2414667890241873,1.2813090353155967,-0.03984224629140942
40,0.6,full_mixed_maxQ_min_s_eta,1.31878770426045,1.362131459161558,-0.04334375490110798
40,0.65,full_mixed_maxQ_min_s_eta,1.3879826644325386,1.4347465538912707,-0.04676388945873211
40,0.7,full_mixed_maxQ_min_s_eta,1.45001896613027,1.5000584910561643,-0.05003952492589425
40,0.75,full_mixed_maxQ_min_s_eta,1.5055648775613677,1.5587334352227868,-0.05316855766141915
40,0.8,full_mixed_maxQ_min_s_eta,1.555063312412392,1.6113564939955354,-0.05629318158314334
40,0.85,full_mixed_maxQ_min_s_eta,1.599304451390125,1.6587989574830448,-0.05949450609291995
40,0.9,full_mixed_maxQ_min_s_eta,1.6384290305196207,1.7008504875343262,-0.06242145701470547
40,0.95,full_mixed_maxQ_min_s_eta,1.6727097669266042,1.7381814341957271,-0.0654716672691229
40,1.0,full_mixed_maxQ_min_s_eta,1.702451211162349,1.7710162555958724,-0.06856504443352329
40,1.05,full_mixed_maxQ_min_s_eta,1.7281057478877968,1.7994369206462149,-0.07133117275841805
40,1.1,full_mixed_maxQ_min_s_eta,1.7494496758070124,1.823660893417061,-0.07421121761004867
40,1.15,full_mixed_maxQ_min_s_eta,1.766978829055342,1.844228943711236,-0.07725011465589393
40,1.2,full_mixed_maxQ_min_s_eta,1.7805978140629763,1.86077026860544,-0.08017245454246358
40,1.25,full_mixed_maxQ_min_s_eta,1.79056171270489,1.8735273222615216,-0.08296560955663157
40,1.3,full_mixed_maxQ_min_s_eta,1.7969074148873283,1.882683105160834,-0.08577569027350562
