N,branch,rmse,max_abs_error,emp_peak_radius,theory_peak_radius,peak_radius_abs_diff
40,boundary_mixed_eta0,0.06435363572341264,0.0956083275246602,1.35,1.4,0.04999999999999982
40,full_max_envelope,0.058197999249273394,0.0795587608916617,1.35,1.4,0.04999999999999982
40,full_mixed_maxQ_min_s_eta,0.06435363572341264,0.0956083275246602,1.35,1.4,0.04999999999999982
80,boundary_mixed_eta0,0.03227223324973361,0.048058235765007895,1.4,1.4,0.0
80,full_max_envelope,0.026222636692586326,0.032286114999584115,1.4,1.4,0.0
80,full_mixed_maxQ_min_s_eta,0.03227223324973361,0.048058235765007895,1.4,1.4,0.0
160,boundary_mixed_eta0,0.009369657865602262,0.011179147883820795,1.4,1.4,0.0
160,full_max_envelope,0.005628343518848956,0.008159947115050192,1.4,1.4,0.0
160,full_mixed_maxQ_min_s_eta,0.009369657865602262,0.011179147883820795,1.4,1.4,0.0
320,boundary_mixed_eta0,0.0017405702323724564,0.0026845426585915266,1.4,1.4,0.0
320,full_max_envelope,0.007631122392776281,0.01790360858071205,1.4,1.4,0.0
320,full_mixed_maxQ_min_s_eta,0.0017405702323724564,0.0026845426585915266,1.4,1.4,0.0
