cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path
cell_beta_0p05_p_0p00,beta,0,1234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,1,101234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_001_seed_101234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_001_seed_101234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,2,201234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_002_seed_201234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_002_seed_201234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,3,301234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_003_seed_301234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_003_seed_301234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,4,401234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_004_seed_401234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_004_seed_401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,5,501234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_005_seed_501234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_005_seed_501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,6,601234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_006_seed_601234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_006_seed_601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,7,701234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_007_seed_701234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_007_seed_701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,8,801234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_008_seed_801234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_008_seed_801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,9,901234,0.05,0.0,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_009_seed_901234/dataset.npz,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_009_seed_901234/dataset_meta.json
