cell_id,series,beta_ising,rewire_p,scale,n_datasets,C_s_mean,C_s_std,rho_s_mean,rho_s_std
cell_beta_0p05_p_0p00,beta,0.05,0.0,0.5,30,0.46664842998134354,0.019771039330911403,0.06670314003731291,0.039542078661822806
cell_beta_0p05_p_0p00,beta,0.05,0.0,1.0,30,0.4688080085796077,0.016851565158741227,0.06238398284078452,0.03370313031748246
cell_beta_0p05_p_0p00,beta,0.05,0.0,2.0,30,0.4694079126127538,0.01657054608001968,0.0611841747744925,0.033141092160039354
cell_beta_0p05_p_0p00,beta,0.05,0.0,4.0,30,0.46953495813307244,0.016555670613690874,0.06093008373385506,0.03311134122738174
cell_beta_0p07_p_0p00,beta,0.07,0.0,0.5,30,0.445992774018883,0.022065943487762696,0.10801445196223397,0.044131886975525385
cell_beta_0p07_p_0p00,beta,0.07,0.0,1.0,30,0.44670974944231007,0.01814151242188613,0.10658050111537984,0.03628302484377225
cell_beta_0p07_p_0p00,beta,0.07,0.0,2.0,30,0.44724070021640294,0.017220998954042766,0.10551859956719405,0.03444199790808552
cell_beta_0p07_p_0p00,beta,0.07,0.0,4.0,30,0.4474066843888777,0.01702776593010303,0.10518663122224453,0.03405553186020605
cell_beta_0p09_p_0p00,beta,0.09,0.0,0.5,30,0.41402109683742233,0.01972242685655177,0.17195780632515528,0.039444853713103536
cell_beta_0p09_p_0p00,beta,0.09,0.0,1.0,30,0.4181283331431335,0.01700729993071017,0.16374333371373284,0.034014599861420323
cell_beta_0p09_p_0p00,beta,0.09,0.0,2.0,30,0.4194575368201733,0.01658067419390867,0.16108492635965335,0.03316134838781734
cell_beta_0p09_p_0p00,beta,0.09,0.0,4.0,30,0.41980536199451557,0.016526504560054157,0.1603892760109689,0.033053009120108306
cell_beta_0p11_p_0p00,beta,0.11,0.0,0.5,30,0.3844193983023235,0.02570923369055103,0.23116120339535287,0.05141846738110207
cell_beta_0p11_p_0p00,beta,0.11,0.0,1.0,30,0.39055303422124193,0.021593749136249344,0.21889393155751616,0.043187498272498674
cell_beta_0p11_p_0p00,beta,0.11,0.0,2.0,30,0.3930545271853383,0.02076848039756087,0.21389094562932326,0.04153696079512173
cell_beta_0p11_p_0p00,beta,0.11,0.0,4.0,30,0.39375528051154685,0.020605011735583482,0.21248943897690634,0.04121002347116697
cell_beta_0p13_p_0p00,beta,0.13,0.0,0.5,30,0.34134407667893624,0.02650804126772693,0.3173118466421274,0.05301608253545385
cell_beta_0p13_p_0p00,beta,0.13,0.0,1.0,30,0.35037442545673314,0.024003139105832218,0.2992511490865336,0.04800627821166443
cell_beta_0p13_p_0p00,beta,0.13,0.0,2.0,30,0.3542508413919132,0.022982615352543444,0.29149831721617375,0.04596523070508688
cell_beta_0p13_p_0p00,beta,0.13,0.0,4.0,30,0.35537001224548254,0.0226905588494475,0.2892599755090349,0.045381117698895
cell_beta_0p15_p_0p00,beta,0.15,0.0,0.5,30,0.28327136116996837,0.024902200266956866,0.4334572776600633,0.04980440053391373
cell_beta_0p15_p_0p00,beta,0.15,0.0,1.0,30,0.2938072717097212,0.023961055810119508,0.4123854565805578,0.047922111620239016
cell_beta_0p15_p_0p00,beta,0.15,0.0,2.0,30,0.2981270673317328,0.024294268190248217,0.4037458653365347,0.04858853638049644
cell_beta_0p15_p_0p00,beta,0.15,0.0,4.0,30,0.2993473459285038,0.02444859030744172,0.40130530814299237,0.048897180614883434
cell_beta_0p17_p_0p00,beta,0.17,0.0,0.5,30,0.2200742322523906,0.028238883829579856,0.5598515354952187,0.05647776765915972
cell_beta_0p17_p_0p00,beta,0.17,0.0,1.0,30,0.23254725546094485,0.0259589235307564,0.5349054890781103,0.0519178470615128
cell_beta_0p17_p_0p00,beta,0.17,0.0,2.0,30,0.23762709879202296,0.02564955597816668,0.524745802415954,0.051299111956333354
cell_beta_0p17_p_0p00,beta,0.17,0.0,4.0,30,0.2390560544102789,0.025620034107261776,0.5218878911794421,0.05124006821452355
cell_beta_0p19_p_0p00,beta,0.19,0.0,0.5,30,0.15462717283538685,0.025432226413484155,0.6907456543292262,0.05086445282696832
cell_beta_0p19_p_0p00,beta,0.19,0.0,1.0,30,0.16697860514173096,0.024088379720961558,0.666042789716538,0.048176759441923116
cell_beta_0p19_p_0p00,beta,0.19,0.0,2.0,30,0.17219735091067087,0.02382298587699698,0.6556052981786582,0.04764597175399396
cell_beta_0p19_p_0p00,beta,0.19,0.0,4.0,30,0.17372326011818826,0.023786374333663683,0.6525534797636234,0.047572748667327365
cell_beta_0p21_p_0p00,beta,0.21,0.0,0.5,30,0.11239189170209757,0.017385394438832972,0.7752162165958048,0.034770788877665944
cell_beta_0p21_p_0p00,beta,0.21,0.0,1.0,30,0.12151689309830113,0.015674333683493594,0.7569662138033978,0.03134866736698719
cell_beta_0p21_p_0p00,beta,0.21,0.0,2.0,30,0.12569311261377208,0.015383395897932382,0.7486137747724558,0.030766791795864765
cell_beta_0p21_p_0p00,beta,0.21,0.0,4.0,30,0.12692388842627825,0.01532843487101923,0.7461522231474434,0.03065686974203846
cell_beta_0p23_p_0p00,beta,0.23,0.0,0.5,30,0.08230268118668276,0.01591442129983935,0.8353946376266346,0.0318288425996787
cell_beta_0p23_p_0p00,beta,0.23,0.0,1.0,30,0.0907550729045222,0.017129494985054804,0.8184898541909554,0.03425898997010961
cell_beta_0p23_p_0p00,beta,0.23,0.0,2.0,30,0.09468857849476287,0.017479509563651782,0.8106228430104745,0.034959019127303564
cell_beta_0p23_p_0p00,beta,0.23,0.0,4.0,30,0.09588268094230344,0.01757922466167244,0.808234638115393,0.03515844932334488
cell_beta_0p25_p_0p00,beta,0.25,0.0,0.5,30,0.06041136407671687,0.02217056303542127,0.8791772718465662,0.04434112607084255
cell_beta_0p25_p_0p00,beta,0.25,0.0,1.0,30,0.0684495678085081,0.020461880048801888,0.8631008643829836,0.040923760097603776
cell_beta_0p25_p_0p00,beta,0.25,0.0,2.0,30,0.07188519251625344,0.020319831634118584,0.8562296149674932,0.04063966326823716
cell_beta_0p25_p_0p00,beta,0.25,0.0,4.0,30,0.07288360175273105,0.020350639262959158,0.8542327964945378,0.040701278525918316
cell_beta_0p27_p_0p00,beta,0.27,0.0,0.5,30,0.0531657744485415,0.01719578358812956,0.8936684511029169,0.03439156717625912
cell_beta_0p27_p_0p00,beta,0.27,0.0,1.0,30,0.0619283366729126,0.017835641202566116,0.8761433266541748,0.03567128240513223
cell_beta_0p27_p_0p00,beta,0.27,0.0,2.0,30,0.06565389296069421,0.018598540895471947,0.8686922140786116,0.037197081790943894
cell_beta_0p27_p_0p00,beta,0.27,0.0,4.0,30,0.06672334355816607,0.01885333787163693,0.8665533128836679,0.03770667574327386
cell_beta_0p29_p_0p00,beta,0.29,0.0,0.5,30,0.04524352531077454,0.012337181929529935,0.909512949378451,0.02467436385905987
cell_beta_0p29_p_0p00,beta,0.29,0.0,1.0,30,0.05412221892345678,0.012259870949494973,0.8917555621530864,0.024519741898989943
cell_beta_0p29_p_0p00,beta,0.29,0.0,2.0,30,0.05749339831874767,0.012394978021642071,0.8850132033625046,0.024789956043284142
cell_beta_0p29_p_0p00,beta,0.29,0.0,4.0,30,0.058435889055886134,0.012460412731742644,0.8831282218882277,0.02492082546348529
cell_beta_0p31_p_0p00,beta,0.31,0.0,0.5,30,0.03956026869290194,0.01118136031332454,0.9208794626141963,0.02236272062664908
cell_beta_0p31_p_0p00,beta,0.31,0.0,1.0,30,0.04987792593097053,0.011858889376583415,0.9002441481380589,0.02371777875316683
cell_beta_0p31_p_0p00,beta,0.31,0.0,2.0,30,0.05398456653865999,0.01245238780805735,0.8920308669226801,0.0249047756161147
cell_beta_0p31_p_0p00,beta,0.31,0.0,4.0,30,0.055134161341664205,0.012652933979559609,0.8897316773166716,0.025305867959119217
cell_beta_0p33_p_0p00,beta,0.33,0.0,0.5,30,0.036087529080254824,0.00805858616521338,0.9278249418394903,0.01611717233042676
cell_beta_0p33_p_0p00,beta,0.33,0.0,1.0,30,0.04635167713589035,0.009307477735121162,0.9072966457282194,0.018614955470242323
cell_beta_0p33_p_0p00,beta,0.33,0.0,2.0,30,0.0502319828788839,0.009870401241933483,0.8995360342422322,0.019740802483866962
cell_beta_0p33_p_0p00,beta,0.33,0.0,4.0,30,0.05130053943762965,0.010025633643993913,0.8973989211247407,0.02005126728798783
cell_beta_0p35_p_0p00,beta,0.35,0.0,0.5,30,0.034950084484424736,0.010197550119271117,0.9300998310311505,0.020395100238542234
cell_beta_0p35_p_0p00,beta,0.35,0.0,1.0,30,0.04547282868762128,0.01104297120184898,0.9090543426247575,0.022085942403697958
cell_beta_0p35_p_0p00,beta,0.35,0.0,2.0,30,0.04959400177153906,0.011978341725755137,0.9008119964569218,0.023956683451510273
cell_beta_0p35_p_0p00,beta,0.35,0.0,4.0,30,0.05073752791906001,0.012290305946184465,0.8985249441618799,0.024580611892368927
cell_beta_0p37_p_0p00,beta,0.37,0.0,0.5,30,0.03250008290599129,0.00874725979017361,0.9349998341880175,0.01749451958034722
cell_beta_0p37_p_0p00,beta,0.37,0.0,1.0,30,0.043734086411043684,0.010140118309458924,0.9125318271779126,0.020280236618917844
cell_beta_0p37_p_0p00,beta,0.37,0.0,2.0,30,0.04802603574435107,0.010842378791496542,0.9039479285112976,0.021684757582993083
cell_beta_0p37_p_0p00,beta,0.37,0.0,4.0,30,0.049207092966856415,0.011051447625780586,0.9015858140662871,0.02210289525156117
cell_beta_0p39_p_0p00,beta,0.39,0.0,0.5,30,0.03071899170583862,0.007260546276601776,0.9385620165883226,0.01452109255320355
cell_beta_0p39_p_0p00,beta,0.39,0.0,1.0,30,0.0435464123449109,0.008167054991089757,0.9129071753101782,0.016334109982179514
cell_beta_0p39_p_0p00,beta,0.39,0.0,2.0,30,0.04847586981101231,0.008644704921347042,0.9030482603779755,0.017289409842694083
cell_beta_0p39_p_0p00,beta,0.39,0.0,4.0,30,0.04983049598079872,0.008786048444807125,0.9003390080384026,0.01757209688961425
