beta_i,beta_j,crossing_count,robust_crossing_count,fine_minus_coarse_gap_i,fine_minus_coarse_gap_j,mean_gap_min,z_gap_max_abs
0.05,0.06,0.0,0.0,-0.002415948936950185,-0.001170170204029486,0.0016553806099865453,0.1308760559731615
0.05,0.07,0.0,0.0,-0.002415948936950185,0.0016458948988479216,0.007474404189059314,0.46401381410143977
0.05,0.08,0.0,0.0,-0.002415948936950185,-0.006959873812009354,0.027258548215897793,1.297491861730055
0.05,0.09,0.0,0.0,-0.002415948936950185,-0.005849132532581236,0.05078278096812089,2.256079257722561
0.05,0.1,0.0,0.0,-0.002415948936950185,-0.014005959806803914,0.06763831661576752,2.784828164079759
0.05,0.11,0.0,0.0,-0.002415948936950185,-0.01101399830069788,0.07902829770218789,2.867878391842015
0.05,0.12,0.0,0.0,-0.002415948936950185,-0.010341316741160289,0.09367177430113927,3.8124922418601574
0.05,0.13,0.0,0.0,-0.002415948936950185,-0.01805170130895445,0.11130322667916348,4.470448660727486
0.05,0.14,0.0,0.0,-0.002415948936950185,-0.010643547490562899,0.142976552063802,6.793282901737601
0.05,0.15,0.0,0.0,-0.002415948936950185,-0.01711951426830771,0.16856599274896533,6.013161229666799
0.05,0.16,0.0,0.0,-0.002415948936950185,-0.014767909799972334,0.19469250426364437,6.950463287545762
0.05,0.17,0.0,0.0,-0.002415948936950185,-0.017465074132430702,0.24095686205512046,7.700813902603041
0.05,0.18,0.0,0.0,-0.002415948936950185,-0.020331183954305665,0.24979976440924692,9.197254058196831
0.05,0.19,0.0,0.0,-0.002415948936950185,-0.024350510102401496,0.28625435378984637,10.69898654068248
0.05,0.2,0.0,0.0,-0.002415948936950185,-0.02286452424310703,0.30310482847804077,11.789397146520432
0.05,0.21,0.0,0.0,-0.002415948936950185,-0.016502669171477857,0.3332545623795089,17.940937102877875
0.05,0.22,0.0,0.0,-0.002415948936950185,-0.01330093454270835,0.3535827842948232,19.208851737883293
0.05,0.23,0.0,0.0,-0.002415948936950185,-0.012112374350320865,0.3748981924696856,17.066695287713635
0.05,0.24,0.0,0.0,-0.002415948936950185,-0.010469139281846812,0.3700917602209045,14.405046498195393
0.05,0.25,0.0,0.0,-0.002415948936950185,-0.014739838053152196,0.3938433622400624,14.623003196619708
0.05,0.26,0.0,0.0,-0.002415948936950185,-0.011715419505121068,0.40057586209603646,19.906079697285627
0.05,0.27,0.0,0.0,-0.002415948936950185,-0.012514270388231802,0.3995932980256433,18.699090581095785
0.05,0.28,0.0,0.0,-0.002415948936950185,-0.012607256177784965,0.40118327247880514,24.83804459254863
0.05,0.29,0.0,0.0,-0.002415948936950185,-0.00898072030617239,0.40971518050216155,25.11761661182523
0.05,0.3,0.0,0.0,-0.002415948936950185,-0.01233295891521309,0.41660766252642434,23.935857089774863
0.05,0.31,0.0,0.0,-0.002415948936950185,-0.014427171769273314,0.4083197188453596,24.235874741035413
0.05,0.32,0.0,0.0,-0.002415948936950185,-0.014903778841945735,0.4133156758425709,21.549621567622072
0.05,0.33,0.0,0.0,-0.002415948936950185,-0.015593147267197245,0.41391744299491173,23.019181010322487
0.05,0.34,0.0,0.0,-0.002415948936950185,-0.015737403111992024,0.41694959945571053,27.81545152798886
0.05,0.35,0.0,0.0,-0.002415948936950185,-0.01436233543512161,0.41616371982261874,26.016489437087195
0.05,0.36,0.0,0.0,-0.002415948936950185,-0.016362094713129344,0.41898654504240207,26.56694322982324
0.05,0.37,0.0,0.0,-0.002415948936950185,-0.020787903005697723,0.408251966091088,24.81456140381447
0.05,0.38,0.0,0.0,-0.002415948936950185,-0.018443482631262796,0.41955334109627923,27.5035450201663
0.05,0.39,0.0,0.0,-0.002415948936950185,-0.020008167379347158,0.41388964727976624,27.326581121497995
0.05,0.4,0.0,0.0,-0.002415948936950185,-0.01917427845331409,0.4147322626817239,23.176823438955566
0.06,0.07,0.0,0.0,-0.001170170204029486,0.0016458948988479216,0.010375563531966558,0.5341919408239116
0.06,0.08,0.0,0.0,-0.001170170204029486,-0.006959873812009354,0.02891392882588434,1.5110413807863226
0.06,0.09,0.0,0.0,-0.001170170204029486,-0.005849132532581236,0.052438161578107434,2.503670113438138
0.06,0.1,0.0,0.0,-0.001170170204029486,-0.014005959806803914,0.06929369722575407,2.975900545479139
0.06,0.11,0.0,0.0,-0.001170170204029486,-0.01101399830069788,0.08068367831217443,3.031914313696223
0.06,0.12,0.0,0.0,-0.001170170204029486,-0.010341316741160289,0.09532715491112581,4.306629181045526
0.06,0.13,0.0,0.0,-0.001170170204029486,-0.01805170130895445,0.11295860728915003,4.597084170490046
0.06,0.14,0.0,0.0,-0.001170170204029486,-0.010643547490562899,0.14463193267378854,7.263386499912058
0.06,0.15,0.0,0.0,-0.001170170204029486,-0.01711951426830771,0.17022137335895188,6.295345999037675
0.06,0.16,0.0,0.0,-0.001170170204029486,-0.014767909799972334,0.19634788487363092,7.232482297015481
0.06,0.17,0.0,0.0,-0.001170170204029486,-0.017465074132430702,0.242612242665107,7.948818671409352
0.06,0.18,0.0,0.0,-0.001170170204029486,-0.020331183954305665,0.2514551450192335,10.04413451158178
0.06,0.19,0.0,0.0,-0.001170170204029486,-0.024350510102401496,0.2879097343998329,11.688359941563984
0.06,0.2,0.0,0.0,-0.001170170204029486,-0.02286452424310703,0.30476020908802737,12.285549157539126
0.06,0.21,0.0,0.0,-0.001170170204029486,-0.016502669171477857,0.3349099429894954,18.9120042184443
0.06,0.22,0.0,0.0,-0.001170170204029486,-0.01330093454270835,0.35523816490480975,20.738154645585645
0.06,0.23,0.0,0.0,-0.001170170204029486,-0.012112374350320865,0.3765535730796721,18.652849165157015
0.06,0.24,0.0,0.0,-0.001170170204029486,-0.010469139281846812,0.37174714083089105,14.80869523538084
0.06,0.25,0.0,0.0,-0.001170170204029486,-0.014739838053152196,0.39549874285004893,14.769116781820125
0.06,0.26,0.0,0.0,-0.001170170204029486,-0.011715419505121068,0.40223124270602306,20.694721537890214
0.06,0.27,0.0,0.0,-0.001170170204029486,-0.012514270388231802,0.40124867863562985,20.917301206023172
0.06,0.28,0.0,0.0,-0.001170170204029486,-0.012607256177784965,0.4028386530887917,27.442596892061353
0.06,0.29,0.0,0.0,-0.001170170204029486,-0.00898072030617239,0.4113705611121481,26.774977147453768
0.06,0.3,0.0,0.0,-0.001170170204029486,-0.01233295891521309,0.4182630431364109,26.06757461481113
0.06,0.31,0.0,0.0,-0.001170170204029486,-0.014427171769273314,0.40997509945534616,26.54757530901704
0.06,0.32,0.0,0.0,-0.001170170204029486,-0.014903778841945735,0.41497105645255744,23.241135729752827
0.06,0.33,0.0,0.0,-0.001170170204029486,-0.015593147267197245,0.4155728236048983,25.346983218352936
0.06,0.34,0.0,0.0,-0.001170170204029486,-0.015737403111992024,0.4186049800656971,31.089856406762987
0.06,0.35,0.0,0.0,-0.001170170204029486,-0.01436233543512161,0.4178191004326053,28.794271365120164
0.06,0.36,0.0,0.0,-0.001170170204029486,-0.016362094713129344,0.4206419256523886,29.13601138745533
0.06,0.37,0.0,0.0,-0.001170170204029486,-0.020787903005697723,0.40990734670107454,27.60703682409291
0.06,0.38,0.0,0.0,-0.001170170204029486,-0.018443482631262796,0.4212087217062658,30.74344772616012
0.06,0.39,0.0,0.0,-0.001170170204029486,-0.020008167379347158,0.4155450278897528,30.581929702997627
0.06,0.4,0.0,0.0,-0.001170170204029486,-0.01917427845331409,0.41638764329171046,26.5557183676296
0.07,0.08,0.0,0.0,0.0016458948988479216,-0.006959873812009354,0.015722300191040373,0.8062562824654772
0.07,0.09,0.0,0.0,0.0016458948988479216,-0.005849132532581236,0.03924653294326347,1.555068092486556
0.07,0.1,0.0,0.0,0.0016458948988479216,-0.014005959806803914,0.056102068590910104,2.10869337225067
0.07,0.11,0.0,0.0,0.0016458948988479216,-0.01101399830069788,0.06749204967733047,2.2151879206864584
0.07,0.12,0.0,0.0,0.0016458948988479216,-0.010341316741160289,0.08213552627628184,3.0193377814872426
0.07,0.13,0.0,0.0,0.0016458948988479216,-0.01805170130895445,0.09976697865430606,3.4316727844752313
0.07,0.14,0.0,0.0,0.0016458948988479216,-0.010643547490562899,0.13144030403894458,5.016745981702464
0.07,0.15,0.0,0.0,0.0016458948988479216,-0.01711951426830771,0.1570297447241079,4.957278186559352
0.07,0.16,0.0,0.0,0.0016458948988479216,-0.014767909799972334,0.18315625623878695,5.7137607603605085
0.07,0.17,0.0,0.0,0.0016458948988479216,-0.017465074132430702,0.22942061403026304,6.564286208858107
0.07,0.18,0.0,0.0,0.0016458948988479216,-0.020331183954305665,0.2382635163843895,7.814936783559136
0.07,0.19,0.0,0.0,0.0016458948988479216,-0.024350510102401496,0.27471810576498895,9.102594334275713
0.07,0.2,0.0,0.0,0.0016458948988479216,-0.02286452424310703,0.29156858045318335,9.658050908766526
0.07,0.21,0.0,0.0,0.0016458948988479216,-0.016502669171477857,0.3217183143546515,13.215825200638037
0.07,0.22,0.0,0.0,0.0016458948988479216,-0.01330093454270835,0.3420465362699658,13.983948255797204
0.07,0.23,0.0,0.0,0.0016458948988479216,-0.012112374350320865,0.36336194444482817,13.322470808836862
0.07,0.24,0.0,0.0,0.0016458948988479216,-0.010469139281846812,0.3585555121960471,11.90146154165407
0.07,0.25,0.0,0.0,0.0016458948988479216,-0.014739838053152196,0.38230711421520497,12.256444567410522
0.07,0.26,0.0,0.0,0.0016458948988479216,-0.011715419505121068,0.38903961407117904,15.229957116402952
0.07,0.27,0.0,0.0,0.0016458948988479216,-0.012514270388231802,0.3880570500007859,14.475348838572046
0.07,0.28,0.0,0.0,0.0016458948988479216,-0.012607256177784965,0.3896470244539477,17.125707438710286
0.07,0.29,0.0,0.0,0.0016458948988479216,-0.00898072030617239,0.3981789324773041,17.56899240207248
0.07,0.3,0.0,0.0,0.0016458948988479216,-0.01233295891521309,0.4050714145015669,17.207869618574716
0.07,0.31,0.0,0.0,0.0016458948988479216,-0.014427171769273314,0.3967834708205022,17.095411985438098
0.07,0.32,0.0,0.0,0.0016458948988479216,-0.014903778841945735,0.4017794278177135,16.142855869012877
0.07,0.33,0.0,0.0,0.0016458948988479216,-0.015593147267197245,0.4023811949700543,16.70185013255571
0.07,0.34,0.0,0.0,0.0016458948988479216,-0.015737403111992024,0.4054133514308531,18.599023967278868
0.07,0.35,0.0,0.0,0.0016458948988479216,-0.01436233543512161,0.4046274717977613,17.7398195793775
0.07,0.36,0.0,0.0,0.0016458948988479216,-0.016362094713129344,0.40745029701754465,18.26012259129711
0.07,0.37,0.0,0.0,0.0016458948988479216,-0.020787903005697723,0.39671571806623057,17.258969672104417
0.07,0.38,0.0,0.0,0.0016458948988479216,-0.018443482631262796,0.4080170930714218,18.523661684021086
0.07,0.39,0.0,0.0,0.0016458948988479216,-0.020008167379347158,0.4023533992549088,18.33736599919629
0.07,0.4,0.0,0.0,0.0016458948988479216,-0.01917427845331409,0.4031960146568665,16.716887171000106
0.08,0.09,0.0,0.0,-0.006959873812009354,-0.005849132532581236,0.022413491472794977,0.9598036046093588
0.08,0.1,0.0,0.0,-0.006959873812009354,-0.014005959806803914,0.04037976839986973,1.5900281719180482
0.08,0.11,0.0,0.0,-0.006959873812009354,-0.01101399830069788,0.051769749486290095,1.79005588189444
0.08,0.12,0.0,0.0,-0.006959873812009354,-0.010341316741160289,0.06641322608524147,2.5549790797673357
0.08,0.13,0.0,0.0,-0.006959873812009354,-0.01805170130895445,0.08404467846326569,3.1978886294436055
0.08,0.14,0.0,0.0,-0.006959873812009354,-0.010643547490562899,0.1157180038479042,5.067101620293435
0.08,0.15,0.0,0.0,-0.006959873812009354,-0.01711951426830771,0.14130744453306754,4.802635223551238
0.08,0.16,0.0,0.0,-0.006959873812009354,-0.014767909799972334,0.16743395604774658,5.683563618985687
0.08,0.17,0.0,0.0,-0.006959873812009354,-0.017465074132430702,0.21369831383922266,6.5602853129842265
0.08,0.18,0.0,0.0,-0.006959873812009354,-0.020331183954305665,0.22254121619334913,7.937437732004446
0.08,0.19,0.0,0.0,-0.006959873812009354,-0.024350510102401496,0.2589958055739486,9.392882475767772
0.08,0.2,0.0,0.0,-0.006959873812009354,-0.02286452424310703,0.275846280262143,10.12767229556957
0.08,0.21,0.0,0.0,-0.006959873812009354,-0.016502669171477857,0.3059960141636111,15.005343327810738
0.08,0.22,0.0,0.0,-0.006959873812009354,-0.01330093454270835,0.3263242360789254,15.914747404979238
0.08,0.23,0.0,0.0,-0.006959873812009354,-0.012112374350320865,0.3476396442537878,14.613712768646947
0.08,0.24,0.0,0.0,-0.006959873812009354,-0.010469139281846812,0.3428332120050067,12.681115609759365
0.08,0.25,0.0,0.0,-0.006959873812009354,-0.014739838053152196,0.3665848140241646,12.991518611262663
0.08,0.26,0.0,0.0,-0.006959873812009354,-0.011715419505121068,0.37331731388013867,17.115184231118935
0.08,0.27,0.0,0.0,-0.006959873812009354,-0.012514270388231802,0.3723347498097455,16.164293622105998
0.08,0.28,0.0,0.0,-0.006959873812009354,-0.012607256177784965,0.37392472426290735,20.282771106949347
0.08,0.29,0.0,0.0,-0.006959873812009354,-0.00898072030617239,0.38245663228626375,20.83696401588505
0.08,0.3,0.0,0.0,-0.006959873812009354,-0.01233295891521309,0.38934911431052655,20.042465778493796
0.08,0.31,0.0,0.0,-0.006959873812009354,-0.014427171769273314,0.3810611706294618,20.02945113910781
0.08,0.32,0.0,0.0,-0.006959873812009354,-0.014903778841945735,0.3860571276266731,18.34807275482933
0.08,0.33,0.0,0.0,-0.006959873812009354,-0.015593147267197245,0.38665889477901394,19.253350173836026
0.08,0.34,0.0,0.0,-0.006959873812009354,-0.015737403111992024,0.38969105123981274,22.55964195151314
0.08,0.35,0.0,0.0,-0.006959873812009354,-0.01436233543512161,0.38890517160672095,21.139683031549126
0.08,0.36,0.0,0.0,-0.006959873812009354,-0.016362094713129344,0.3917279968265043,21.858993138996265
0.08,0.37,0.0,0.0,-0.006959873812009354,-0.020787903005697723,0.3809934178751902,20.344743690303147
0.08,0.38,0.0,0.0,-0.006959873812009354,-0.018443482631262796,0.39229479288038144,22.337441364870877
0.08,0.39,0.0,0.0,-0.006959873812009354,-0.020008167379347158,0.38663109906386844,22.17113822295196
0.08,0.4,0.0,0.0,-0.006959873812009354,-0.01917427845331409,0.3874737144658261,19.38694875891478
