cell_id,series,beta_ising,rewire_p,n_datasets,C_mean,C_std
cell_beta_0p05_p_0p00,beta,0.05,0.0,30,0.46859982732669436,0.017029538694582434
cell_beta_0p06_p_0p00,beta,0.06,0.0,30,0.46501202125067653,0.018830243630209912
cell_beta_0p07_p_0p00,beta,0.07,0.0,30,0.4468374770166184,0.01811308602613297
cell_beta_0p08_p_0p00,beta,0.08,0.0,30,0.43895665484524554,0.01762690224034387
cell_beta_0p09_p_0p00,beta,0.09,0.0,30,0.4178530821988112,0.0171040880107319
cell_beta_0p10_p_0p00,beta,0.1,0.0,30,0.40404577761458926,0.02251230769992258
cell_beta_0p11_p_0p00,beta,0.11,0.0,30,0.3904455600551127,0.021848968903958994
cell_beta_0p12_p_0p00,beta,0.12,0.0,30,0.3698424061990297,0.026740764104228914
cell_beta_0p13_p_0p00,beta,0.13,0.0,30,0.3503348389432663,0.023776714623309908
cell_beta_0p14_p_0p00,beta,0.14,0.0,30,0.3216642986100551,0.02225700220617957
cell_beta_0p15_p_0p00,beta,0.15,0.0,30,0.2936382615349815,0.023974227386219172
cell_beta_0p16_p_0p00,beta,0.16,0.0,30,0.26254983498682477,0.029080406957647128
cell_beta_0p17_p_0p00,beta,0.17,0.0,30,0.2323261602289093,0.026090621863252308
cell_beta_0p18_p_0p00,beta,0.18,0.0,30,0.203026542933369,0.024025191641967814
cell_beta_0p19_p_0p00,beta,0.19,0.0,30,0.1668815972514942,0.024014691749433333
cell_beta_0p20_p_0p00,beta,0.2,0.0,30,0.14404748021896568,0.026128596585086598
cell_beta_0p21_p_0p00,beta,0.21,0.0,30,0.12163144646011226,0.015637186221438525
cell_beta_0p22_p_0p00,beta,0.22,0.0,30,0.10160521898463257,0.019971030883583332
cell_beta_0p23_p_0p00,beta,0.23,0.0,30,0.09090725338206782,0.016838825103427248
cell_beta_0p24_p_0p00,beta,0.24,0.0,30,0.08605916165214844,0.020802552444517883
cell_beta_0p25_p_0p00,beta,0.25,0.0,30,0.06840743153855236,0.02065042070422034
cell_beta_0p26_p_0p00,beta,0.26,0.0,30,0.06316276915254362,0.013400979759399587
cell_beta_0p27_p_0p00,beta,0.27,0.0,30,0.0618678369100786,0.017890800652377588
cell_beta_0p28_p_0p00,beta,0.28,0.0,30,0.058443726827740926,0.011989956323180881
cell_beta_0p29_p_0p00,beta,0.29,0.0,30,0.053823757902216295,0.012142821062644719
cell_beta_0p30_p_0p00,beta,0.3,0.0,30,0.052014889334149425,0.011422686292842018
cell_beta_0p31_p_0p00,beta,0.31,0.0,30,0.04963923062604916,0.011850899215280961
cell_beta_0p32_p_0p00,beta,0.32,0.0,30,0.0467670162029794,0.011830929322354794
cell_beta_0p33_p_0p00,beta,0.33,0.0,30,0.04599293213316468,0.009137189310091687
cell_beta_0p34_p_0p00,beta,0.34,0.0,30,0.04445497638807667,0.00865020271913106
cell_beta_0p35_p_0p00,beta,0.35,0.0,30,0.045188610715661263,0.011202671962901185
cell_beta_0p36_p_0p00,beta,0.36,0.0,30,0.043605541273422636,0.010035081747052739
cell_beta_0p37_p_0p00,beta,0.37,0.0,30,0.04336682450706062,0.010007396795666767
cell_beta_0p38_p_0p00,beta,0.38,0.0,30,0.042397795896227185,0.00947476694328212
cell_beta_0p39_p_0p00,beta,0.39,0.0,30,0.043142942460640134,0.007983795433784895
cell_beta_0p40_p_0p00,beta,0.4,0.0,30,0.042379792674180156,0.009554714404655705
