cell_id,series,dataset_id,seed,beta_ising,rewire_p,C,sigma_med,n_edges
cell_beta_0p05_p_0p00,beta,0,1234,0.05,0.0,0.45261154144184174,0.11756050290469347,2182
cell_beta_0p05_p_0p00,beta,1,101234,0.05,0.0,0.48448006214394485,0.11513423911178873,2154
cell_beta_0p05_p_0p00,beta,2,201234,0.05,0.0,0.4549799389162559,0.115212022934664,2165
cell_beta_0p05_p_0p00,beta,3,301234,0.05,0.0,0.4787784694713487,0.11736016280079402,2187
cell_beta_0p05_p_0p00,beta,4,401234,0.05,0.0,0.46671627804878474,0.11623155026454213,2200
cell_beta_0p05_p_0p00,beta,5,501234,0.05,0.0,0.44579084158743576,0.1151227799280508,2166
cell_beta_0p05_p_0p00,beta,6,601234,0.05,0.0,0.4529700845987711,0.11029669926704726,2113
cell_beta_0p05_p_0p00,beta,7,701234,0.05,0.0,0.4710348811075995,0.11389123812775714,2167
cell_beta_0p05_p_0p00,beta,8,801234,0.05,0.0,0.48401861483387537,0.11728081921444689,2182
cell_beta_0p05_p_0p00,beta,9,901234,0.05,0.0,0.45686400302993635,0.11159850283819214,2153
cell_beta_0p05_p_0p00,beta,10,1001234,0.05,0.0,0.4355401282966854,0.11477090070355374,2168
cell_beta_0p05_p_0p00,beta,11,1101234,0.05,0.0,0.45715157573292187,0.11491573633787111,2122
cell_beta_0p05_p_0p00,beta,12,1201234,0.05,0.0,0.4772706037602661,0.11466489918444865,2172
cell_beta_0p05_p_0p00,beta,13,1301234,0.05,0.0,0.4799671054926583,0.11411465003064039,2154
cell_beta_0p05_p_0p00,beta,14,1401234,0.05,0.0,0.4636271160325395,0.11471260597922764,2169
cell_beta_0p05_p_0p00,beta,15,1501234,0.05,0.0,0.490042949366545,0.11538671385297886,2173
cell_beta_0p05_p_0p00,beta,16,1601234,0.05,0.0,0.47618014081468274,0.11422195477665219,2141
cell_beta_0p05_p_0p00,beta,17,1701234,0.05,0.0,0.42946392763673913,0.11092372725727019,2129
cell_beta_0p05_p_0p00,beta,18,1801234,0.05,0.0,0.4746353278850271,0.11507501456295026,2171
cell_beta_0p05_p_0p00,beta,19,1901234,0.05,0.0,0.47867767988730714,0.11606951318019242,2171
cell_beta_0p05_p_0p00,beta,20,2001234,0.05,0.0,0.49389529392405973,0.11601197637480423,2163
cell_beta_0p05_p_0p00,beta,21,2101234,0.05,0.0,0.4810685933207758,0.1187269771587911,2190
cell_beta_0p05_p_0p00,beta,22,2201234,0.05,0.0,0.4784456023835989,0.11618845630521092,2153
cell_beta_0p05_p_0p00,beta,23,2301234,0.05,0.0,0.48693439583930176,0.11364066300451399,2153
cell_beta_0p05_p_0p00,beta,24,2401234,0.05,0.0,0.45406548152437687,0.11266422448793603,2170
cell_beta_0p05_p_0p00,beta,25,2501234,0.05,0.0,0.46698975565917045,0.11678962058664694,2142
cell_beta_0p05_p_0p00,beta,26,2601234,0.05,0.0,0.458555528242551,0.11363588216715159,2146
cell_beta_0p05_p_0p00,beta,27,2701234,0.05,0.0,0.4777084254618249,0.11390592167893655,2161
cell_beta_0p05_p_0p00,beta,28,2801234,0.05,0.0,0.4984464380108562,0.11333801750031597,2153
cell_beta_0p05_p_0p00,beta,29,2901234,0.05,0.0,0.4510840353491495,0.11784009541114773,2180
cell_beta_0p06_p_0p00,beta,0,2234,0.06,0.0,0.46416693994405045,0.11609077983187757,2177
cell_beta_0p06_p_0p00,beta,1,102234,0.06,0.0,0.4809638175925693,0.11411558841436094,2163
cell_beta_0p06_p_0p00,beta,2,202234,0.06,0.0,0.4811240483814486,0.1167409342640219,2166
cell_beta_0p06_p_0p00,beta,3,302234,0.06,0.0,0.4751883313691203,0.11445451893776357,2159
cell_beta_0p06_p_0p00,beta,4,402234,0.06,0.0,0.4571652812675747,0.11679023142658101,2168
cell_beta_0p06_p_0p00,beta,5,502234,0.06,0.0,0.4612091676453359,0.11730911514668939,2168
cell_beta_0p06_p_0p00,beta,6,602234,0.06,0.0,0.4565989094677556,0.11373393907630905,2142
cell_beta_0p06_p_0p00,beta,7,702234,0.06,0.0,0.44951511168005,0.11647725448687159,2197
cell_beta_0p06_p_0p00,beta,8,802234,0.06,0.0,0.4856816909962306,0.11378071287351597,2150
cell_beta_0p06_p_0p00,beta,9,902234,0.06,0.0,0.45801295526754426,0.11485225429047347,2138
cell_beta_0p06_p_0p00,beta,10,1002234,0.06,0.0,0.47779978092383235,0.11501874457002954,2168
cell_beta_0p06_p_0p00,beta,11,1102234,0.06,0.0,0.4644009468814313,0.11741936077861619,2189
cell_beta_0p06_p_0p00,beta,12,1202234,0.06,0.0,0.45482598501080373,0.11506681910953195,2174
cell_beta_0p06_p_0p00,beta,13,1302234,0.06,0.0,0.4635727640863488,0.11464881504186335,2180
cell_beta_0p06_p_0p00,beta,14,1402234,0.06,0.0,0.45722257338648276,0.11420159027711214,2161
cell_beta_0p06_p_0p00,beta,15,1502234,0.06,0.0,0.4522174326589692,0.11268641224834325,2157
cell_beta_0p06_p_0p00,beta,16,1602234,0.06,0.0,0.47763635502222457,0.11489612150431468,2134
cell_beta_0p06_p_0p00,beta,17,1702234,0.06,0.0,0.4345171081066828,0.11538452625514907,2179
cell_beta_0p06_p_0p00,beta,18,1802234,0.06,0.0,0.48612844881141215,0.11779118970108063,2218
cell_beta_0p06_p_0p00,beta,19,1902234,0.06,0.0,0.48611884850730847,0.11328707523645251,2192
cell_beta_0p06_p_0p00,beta,20,2002234,0.06,0.0,0.43196524347079074,0.11449631717521962,2155
cell_beta_0p06_p_0p00,beta,21,2102234,0.06,0.0,0.4991518841859588,0.1144292651247252,2140
cell_beta_0p06_p_0p00,beta,22,2202234,0.06,0.0,0.44466012018171025,0.11560296891419641,2173
cell_beta_0p06_p_0p00,beta,23,2302234,0.06,0.0,0.4397767765031626,0.11302888366416104,2159
cell_beta_0p06_p_0p00,beta,24,2402234,0.06,0.0,0.42559375003898453,0.11320470975261004,2153
cell_beta_0p06_p_0p00,beta,25,2502234,0.06,0.0,0.4581726715906237,0.11668333530695289,2194
cell_beta_0p06_p_0p00,beta,26,2602234,0.06,0.0,0.47030504755905644,0.11632800573480655,2167
cell_beta_0p06_p_0p00,beta,27,2702234,0.06,0.0,0.49119812865534634,0.11605166206060356,2161
cell_beta_0p06_p_0p00,beta,28,2802234,0.06,0.0,0.48886949722383466,0.11538524491194468,2177
cell_beta_0p06_p_0p00,beta,29,2902234,0.06,0.0,0.47660102110365116,0.1140427730922445,2148
cell_beta_0p07_p_0p00,beta,0,3234,0.07,0.0,0.4286939252103792,0.11426380102702904,2181
cell_beta_0p07_p_0p00,beta,1,103234,0.07,0.0,0.4637510791276398,0.11498852907778062,2168
cell_beta_0p07_p_0p00,beta,2,203234,0.07,0.0,0.4394103997069623,0.11274822617782174,2179
cell_beta_0p07_p_0p00,beta,3,303234,0.07,0.0,0.4606490612809181,0.1142169252833583,2154
cell_beta_0p07_p_0p00,beta,4,403234,0.07,0.0,0.45888523826522204,0.11510450094678529,2202
