cell_id,dataset_count,exact_dataset_count,mean_best_accuracy_percent,std_best_accuracy_percent,min_best_accuracy_percent,max_best_accuracy_percent
cell_beta_0p05_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p07_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p09_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p11_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p13_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p15_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p17_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p19_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p21_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p23_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p25_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p27_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p29_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p31_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p33_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p35_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p37_p_0p00,30,30,100.0,0.0,100.0,100.0
cell_beta_0p39_p_0p00,30,30,100.0,0.0,100.0,100.0
