cell_id,dataset_tag,width,selected_ref_count,required_selected_refs,require_exact_selected_refs,exact_count,relaxed_count,fake_count,sampling_eligible_count,dedup_threshold
cell_beta_0p05_p_0p00,dataset_000_seed_001234,48,30,30,True,49,115,36,30,55.43533148828159
cell_beta_0p05_p_0p00,dataset_001_seed_101234,48,30,30,True,55,98,47,30,59.65566198861873
cell_beta_0p05_p_0p00,dataset_002_seed_201234,48,30,30,True,64,93,43,30,67.9168529112508
cell_beta_0p05_p_0p00,dataset_003_seed_301234,48,30,30,True,55,111,34,30,68.58287500785126
cell_beta_0p05_p_0p00,dataset_004_seed_401234,48,30,30,True,46,129,25,30,69.4761187936247
cell_beta_0p05_p_0p00,dataset_005_seed_501234,48,30,30,True,61,94,45,30,65.37972309195816
cell_beta_0p05_p_0p00,dataset_006_seed_601234,48,30,30,True,72,126,2,30,65.87658411144109
cell_beta_0p05_p_0p00,dataset_007_seed_701234,48,30,30,True,70,79,51,30,62.834783671701366
cell_beta_0p05_p_0p00,dataset_008_seed_801234,48,30,30,True,53,131,16,30,59.90754856879931
cell_beta_0p05_p_0p00,dataset_009_seed_901234,48,30,30,True,68,114,18,30,63.08798394569825
cell_beta_0p05_p_0p00,dataset_010_seed_1001234,48,30,30,True,78,117,5,30,59.548371249356066
cell_beta_0p05_p_0p00,dataset_011_seed_1101234,48,30,30,True,61,120,19,30,61.74261204599239
cell_beta_0p05_p_0p00,dataset_012_seed_1201234,48,30,30,True,73,106,21,30,60.50275104965537
cell_beta_0p05_p_0p00,dataset_013_seed_1301234,48,30,30,True,66,131,3,30,62.34094521968107
cell_beta_0p05_p_0p00,dataset_014_seed_1401234,48,30,30,True,62,124,14,30,63.517856826504854
cell_beta_0p05_p_0p00,dataset_015_seed_1501234,48,30,30,True,54,120,26,30,66.3559580398972
cell_beta_0p05_p_0p00,dataset_016_seed_1601234,48,30,30,True,71,113,16,30,72.06959326886258
cell_beta_0p05_p_0p00,dataset_017_seed_1701234,48,30,30,True,70,114,16,30,60.84297024946436
cell_beta_0p05_p_0p00,dataset_018_seed_1801234,48,30,30,True,61,127,12,30,67.5027061640584
cell_beta_0p05_p_0p00,dataset_019_seed_1901234,48,30,30,True,57,120,23,30,75.20555163739745
cell_beta_0p05_p_0p00,dataset_020_seed_2001234,48,30,30,True,62,128,10,30,76.14458180878569
cell_beta_0p05_p_0p00,dataset_021_seed_2101234,48,30,30,True,64,107,29,30,58.66137233161821
cell_beta_0p05_p_0p00,dataset_022_seed_2201234,48,30,30,True,34,119,47,30,70.90258215315473
cell_beta_0p05_p_0p00,dataset_023_seed_2301234,48,30,30,True,65,108,27,30,60.29534875257474
cell_beta_0p05_p_0p00,dataset_024_seed_2401234,48,30,30,True,71,120,9,30,62.969981251554174
cell_beta_0p05_p_0p00,dataset_025_seed_2501234,48,30,30,True,56,122,22,30,66.72260831333062
cell_beta_0p05_p_0p00,dataset_026_seed_2601234,48,30,30,True,53,105,42,30,59.97061932448254
cell_beta_0p05_p_0p00,dataset_027_seed_2701234,48,30,30,True,58,114,28,30,61.398895718285246
cell_beta_0p05_p_0p00,dataset_028_seed_2801234,48,30,30,True,63,113,24,30,77.62767119284318
cell_beta_0p05_p_0p00,dataset_029_seed_2901234,48,30,30,True,57,116,27,30,64.60005892024576
cell_beta_0p06_p_0p00,dataset_000_seed_002234,48,30,30,True,60,129,11,30,59.0500529894471
cell_beta_0p06_p_0p00,dataset_001_seed_102234,48,30,30,True,58,121,21,30,62.97548502842336
cell_beta_0p06_p_0p00,dataset_002_seed_202234,48,30,30,True,50,126,24,30,75.39272483876024
cell_beta_0p06_p_0p00,dataset_003_seed_302234,48,30,30,True,72,123,5,30,68.7516963898222
cell_beta_0p06_p_0p00,dataset_004_seed_402234,48,30,30,True,56,128,16,30,76.19579337182924
cell_beta_0p06_p_0p00,dataset_005_seed_502234,48,30,30,True,61,135,4,30,62.74315901307527
cell_beta_0p06_p_0p00,dataset_006_seed_602234,48,30,30,True,71,97,32,30,64.91894636755904
cell_beta_0p06_p_0p00,dataset_007_seed_702234,48,30,30,True,54,122,24,30,54.71222539338266
cell_beta_0p06_p_0p00,dataset_008_seed_802234,48,30,30,True,62,115,23,30,56.243977198234326
cell_beta_0p06_p_0p00,dataset_009_seed_902234,48,30,30,True,62,118,20,30,59.549509763572196
cell_beta_0p06_p_0p00,dataset_010_seed_1002234,48,30,30,True,44,96,60,30,88.47142943785157
cell_beta_0p06_p_0p00,dataset_011_seed_1102234,48,30,30,True,54,118,28,30,61.70306377017208
cell_beta_0p06_p_0p00,dataset_012_seed_1202234,48,30,30,True,54,121,25,30,60.05793003211456
cell_beta_0p06_p_0p00,dataset_013_seed_1302234,48,30,30,True,62,120,18,30,72.859082869519
cell_beta_0p06_p_0p00,dataset_014_seed_1402234,48,30,30,True,71,84,45,30,58.930591001202956
cell_beta_0p06_p_0p00,dataset_015_seed_1502234,48,30,30,True,64,105,31,30,60.49508246817307
cell_beta_0p06_p_0p00,dataset_016_seed_1602234,48,30,30,True,57,130,13,30,61.654426672019284
cell_beta_0p06_p_0p00,dataset_017_seed_1702234,48,30,30,True,63,119,18,30,62.31395220758074
cell_beta_0p06_p_0p00,dataset_018_seed_1802234,48,30,30,True,55,99,46,30,62.43617095329146
cell_beta_0p06_p_0p00,dataset_019_seed_1902234,48,30,30,True,65,115,20,30,58.902256973400945
cell_beta_0p06_p_0p00,dataset_020_seed_2002234,48,30,30,True,52,132,16,30,58.57634493228204
