beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.06,0.01,True,True,True,True,True,True,True,True,pass,100,100,102398.91222179694,25600.0,0.9999661472030992,0.2,2.336759767119955e-07,0.004,2.5931755179487915e-07,0.012,0.9999340291259003,0.6,1.0,120.0
0.06,0.02,True,True,True,True,True,True,True,True,pass,100,100,102377.39042422335,25600.0,0.999370099014199,0.2,1.0408592341849393e-06,0.004,4.919548538417287e-07,0.012,0.9989866945404015,0.6,1.0,120.0
0.06,0.03,True,True,True,True,True,True,True,True,pass,100,100,102290.51976874274,25600.0,0.9970819861476886,0.2,2.4276283533112513e-06,0.004,1.2131641338108296e-06,0.012,0.9961698818588196,0.6,1.0,120.0
0.06,0.04,True,True,True,True,True,True,True,True,pass,100,100,102096.91299851969,25600.0,0.9926048786268882,0.2,4.411175858212162e-06,0.004,2.5517339821206474e-06,0.012,0.9911419700939694,0.6,1.0,120.0
0.06,0.05,True,True,True,True,True,True,True,True,pass,100,100,101774.05683531443,25600.0,0.9847834545082124,0.2,5.237025133593658e-06,0.004,4.056088885975999e-06,0.012,0.982520529751546,0.6,1.0,120.0
0.06,0.06,True,True,True,True,True,True,True,True,pass,100,100,101324.75394881523,25600.0,0.9769230651115122,0.2,6.666070418718955e-06,0.004,5.55907014974948e-06,0.012,0.9693679999031668,0.6,1.0,120.0
0.06,0.07,True,True,True,True,True,True,True,True,pass,100,100,100750.3699016618,25600.0,0.9650637336780833,0.2,9.277967077130932e-06,0.004,7.148160730865799e-06,0.012,0.959763403470773,0.6,1.0,120.0
0.06,0.08,True,True,True,True,True,True,True,True,pass,100,100,100057.15322690236,25600.0,0.9518156134148902,0.2,1.575725604290382e-05,0.004,9.432651185857466e-06,0.012,0.9413361043031868,0.6,1.0,120.0
0.06,0.09,True,True,True,True,True,True,True,True,pass,100,100,99235.01078199764,25600.0,0.9329862832603164,0.2,1.093921428736542e-05,0.004,1.1711081106391528e-05,0.012,0.918300427668293,0.6,1.0,120.0
0.06,0.1,True,True,True,True,True,True,True,True,pass,100,100,98411.49600672205,25600.0,0.9178445774599064,0.2,1.2444559397530257e-05,0.004,1.3072665501053726e-05,0.012,0.9000751699842903,0.6,1.0,120.0
