beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.06,0.01,True,True,True,True,True,True,True,True,pass,100,100,102398.92661473659,25600.0,0.9999675748373886,0.2,3.3658137787506617e-07,0.004,2.593947239191352e-07,0.012,0.9999308091032117,0.6,1.0,120.0
0.06,0.02,True,True,True,True,True,True,True,True,pass,100,100,102378.05739925512,25600.0,0.9994385159519049,0.2,1.603570706372391e-06,0.004,4.836095563433837e-07,0.012,0.9990674600564362,0.6,1.0,120.0
0.06,0.03,True,True,True,True,True,True,True,True,pass,100,100,102290.84106543048,25600.0,0.997292936056473,0.2,3.361648851496501e-06,0.004,1.2200661201420365e-06,0.012,0.9961557278141462,0.6,1.0,120.0
0.06,0.04,True,True,True,True,True,True,True,True,pass,100,100,102095.55960638518,25600.0,0.9922730520103692,0.2,3.536332232536319e-06,0.004,2.5529978031732027e-06,0.012,0.9912377197282711,0.6,1.0,120.0
0.06,0.05,True,True,True,True,True,True,True,True,pass,100,100,101772.84957199445,25600.0,0.9853224172110859,0.2,5.477349985056401e-06,0.004,4.0505786172817745e-06,0.012,0.9819539798689483,0.6,1.0,120.0
0.06,0.06,True,True,True,True,True,True,True,True,pass,100,100,101315.98804510143,25600.0,0.9760002112113167,0.2,7.637924637251508e-06,0.004,5.586504209781714e-06,0.012,0.9712496586355129,0.6,1.0,120.0
0.06,0.07,True,True,True,True,True,True,True,True,pass,100,100,100746.59317122331,25600.0,0.965619240395608,0.2,1.0181022511564566e-05,0.004,7.208041855772348e-06,0.012,0.9583896865456852,0.6,1.0,120.0
0.06,0.08,True,True,True,True,True,True,True,True,pass,100,100,100051.46791446101,25600.0,0.9516337689150945,0.2,1.2010524913125014e-05,0.004,9.42671593480555e-06,0.012,0.9364866558880199,0.6,1.0,120.0
0.06,0.09,True,True,True,True,True,True,True,True,pass,100,100,99236.56780042265,25600.0,0.9332717257443054,0.2,1.5492080726628666e-05,0.004,1.170642651640564e-05,0.012,0.920316087789814,0.6,1.0,120.0
0.06,0.1,True,True,True,True,True,True,True,True,pass,100,100,98370.21815721928,25600.0,0.9197959104574903,0.2,1.2552241702222863e-05,0.004,1.3076375884793983e-05,0.012,0.896488366583104,0.6,1.0,120.0
0.06,0.11,True,True,True,True,True,True,True,True,pass,100,100,97466.98231675853,25600.0,0.8992356799647162,0.2,2.525063273343131e-05,0.004,1.4848770476651317e-05,0.012,0.8710586940883475,0.6,1.0,120.0
0.06,0.12,True,True,True,True,True,True,True,True,pass,100,100,96493.90566579794,25600.0,0.8813007597981487,0.2,1.824048084954727e-05,0.004,1.752975916267347e-05,0.012,0.8611894579986488,0.6,1.0,120.0
0.06,0.13,True,True,True,True,True,True,True,True,pass,100,100,95369.53788716799,25600.0,0.8604573200256131,0.2,2.2087909532510925e-05,0.004,1.888531198340412e-05,0.012,0.826947112693022,0.6,1.0,120.0
0.06,0.14,True,True,True,True,True,True,True,True,pass,100,100,94369.92296741957,25600.0,0.8432255930580461,0.2,2.4537846355915262e-05,0.004,2.1352725514462684e-05,0.012,0.818603856657464,0.6,1.0,120.0
0.06,0.15,True,True,True,True,True,True,True,True,pass,100,100,93204.89852342372,25600.0,0.8254200728794372,0.2,2.8932270317489526e-05,0.004,2.3828647852193654e-05,0.012,0.7658825296345197,0.6,1.0,120.0
0.06,0.16,True,True,True,True,True,True,True,True,pass,100,100,92137.31433448449,25600.0,0.8103343790305969,0.2,3.822199190599196e-05,0.004,2.393380771573756e-05,0.012,0.7699802256863394,0.6,1.0,120.0
0.06,0.17,True,True,True,True,True,True,True,True,pass,100,100,91046.49011338115,25600.0,0.7873061053262141,0.2,2.077745743479064e-05,0.004,2.8817514600878828e-05,0.012,0.7546734831126065,0.6,1.0,120.0
0.06,0.18,True,True,True,True,True,True,True,True,pass,100,100,90374.96371562987,25600.0,0.7823034638434201,0.2,2.773528709585783e-05,0.004,2.784685834666322e-05,0.012,0.7500000000056869,0.6,2.0,120.0
0.06,0.19,True,True,True,True,True,True,True,True,pass,100,100,90277.60099703296,25600.0,0.7794973023900309,0.2,2.8792855243370503e-05,0.004,2.9086871967478378e-05,0.012,0.7500000000048662,0.6,2.0,120.0
0.06,0.2,True,True,True,True,True,True,True,True,pass,100,100,90174.11626955192,25600.0,0.7810408900539902,0.2,2.881923028727326e-05,0.004,3.20580214072334e-05,0.012,0.7500000000041535,0.6,2.0,120.0
0.06,0.21,True,True,True,True,True,True,True,True,pass,100,100,90279.53124538096,25600.0,0.7848555674249371,0.2,3.233883554431729e-05,0.004,3.2850746020564306e-05,0.012,0.7500000000014756,0.6,2.0,120.0
0.06,0.22,True,True,True,True,True,True,True,True,pass,100,100,90475.29804815631,25600.0,0.7840799989242013,0.2,3.8410929420930836e-05,0.004,3.681461728452407e-05,0.012,0.7500000000016008,0.6,2.0,120.0
0.06,0.23,True,True,True,True,True,True,True,True,pass,100,100,90545.16008588225,25600.0,0.7882974700312383,0.2,3.1061349611651884e-05,0.004,3.8213115500382406e-05,0.012,0.7500000000002426,0.6,2.0,120.0
0.06,0.24,True,True,True,True,True,True,True,True,pass,100,100,90335.70045413048,25600.0,0.7716607169161017,0.2,2.7047955073304392e-05,0.004,3.8762638522905264e-05,0.012,0.7500000000008581,0.6,2.0,120.0
0.06,0.25,True,True,True,True,True,True,True,True,pass,100,100,90508.49104688795,25600.0,0.7714990204132194,0.2,4.483759533616039e-05,0.004,4.3444177660856234e-05,0.012,0.750000000001457,0.6,2.0,120.0
0.06,0.26,True,True,True,True,True,True,True,True,pass,100,100,90680.7601440114,25600.0,0.7637869943050192,0.2,3.4030586935045357e-05,0.004,4.505705456681716e-05,0.012,0.7500000000001253,0.6,2.0,120.0
0.06,0.27,True,True,True,True,True,True,True,True,pass,100,100,91854.09353231754,25600.0,0.7715627368669227,0.2,4.141193377239878e-05,0.004,4.547412959538145e-05,0.012,0.7500000000004857,0.6,2.0,120.0
0.06,0.28,True,True,True,True,True,True,True,True,pass,100,100,91586.21438860559,25600.0,0.7700165862020601,0.2,4.5557641186385756e-05,0.004,5.062574299463559e-05,0.012,0.7500000000002099,0.6,2.0,120.0
0.06,0.29,True,True,True,True,True,True,True,True,pass,100,100,92491.99933467788,25600.0,0.7672912889731432,0.2,4.7448078810585245e-05,0.004,4.659417257153629e-05,0.012,0.7500000000001154,0.6,2.0,120.0
0.06,0.3,True,True,True,True,True,True,True,True,pass,100,100,92793.10291225387,25600.0,0.7676935321159576,0.2,3.606545397042138e-05,0.004,5.074554184614077e-05,0.012,0.7500000000010073,0.6,2.0,120.0
0.06,0.31,True,True,True,True,True,True,True,True,pass,100,100,93706.73269585457,25600.0,0.776360754524124,0.2,4.325219107800502e-05,0.004,5.2501953532280225e-05,0.012,0.7500000000002859,0.6,2.0,120.0
0.06,0.32,True,True,True,True,True,True,True,True,pass,100,100,94239.04341746926,25600.0,0.7808728888538836,0.2,8.744595417812414e-05,0.004,4.959061641385712e-05,0.012,0.750000000001337,0.6,2.0,120.0
0.06,0.33,True,True,True,True,True,True,True,True,pass,100,100,94824.58555053864,25600.0,0.764494002579153,0.2,4.75450663726084e-05,0.004,5.77176157353325e-05,0.012,0.7500000000005976,0.6,2.0,120.0
0.06,0.34,True,True,True,True,True,True,True,True,pass,100,100,95367.02854055735,25600.0,0.7692788036416509,0.2,6.656813543501846e-05,0.004,5.51694110181088e-05,0.012,0.7500000000012131,0.6,2.0,120.0
0.06,0.35,True,True,True,True,True,True,True,True,pass,100,100,95616.16249095407,25600.0,0.7792556077154423,0.2,6.245391973620097e-05,0.004,5.866210976844332e-05,0.012,0.7500000000004577,0.6,2.0,120.0
0.06,0.36,True,True,True,True,True,True,True,True,pass,100,100,95520.85031414572,25600.0,0.7768658786108354,0.2,5.447788193387209e-05,0.004,6.152144790086037e-05,0.012,0.750000000000974,0.6,2.0,120.0
0.06,0.37,True,True,True,True,True,True,True,True,pass,100,100,96224.50168601188,25600.0,0.7785791805805486,0.2,6.341373054246353e-05,0.004,6.040872318026555e-05,0.012,0.7500000000002419,0.6,2.0,120.0
0.06,0.38,True,True,True,True,True,True,True,True,pass,100,100,96656.32684665814,25600.0,0.7813204250471223,0.2,6.15800123471414e-05,0.004,6.253475852691e-05,0.012,0.7500000000006842,0.6,2.0,120.0
0.06,0.39,True,True,True,True,True,True,True,True,pass,100,100,96516.61459499158,25600.0,0.7745308436826981,0.2,4.003575414773029e-05,0.004,6.475115796317701e-05,0.012,0.7500000000020038,0.6,2.0,120.0
0.06,0.4,True,True,True,True,True,True,True,True,pass,100,100,97189.93622690308,25600.0,0.7829513027598319,0.2,6.85585192240575e-05,0.004,6.480856681332648e-05,0.012,0.7500000000005264,0.6,3.0,120.0
0.06,0.41,True,True,True,True,True,True,True,True,pass,100,100,97352.22720658951,25600.0,0.7725866520214679,0.2,6.181800269769164e-05,0.004,6.271818048149994e-05,0.012,0.7500000000006256,0.6,2.0,120.0
0.06,0.42,True,True,True,True,True,True,True,True,pass,100,100,97405.10416702658,25600.0,0.7706236685732587,0.2,6.382045026336103e-05,0.004,6.828008712735374e-05,0.012,0.7500000000001753,0.6,3.0,120.0
0.06,0.43,True,True,True,True,True,True,True,True,pass,100,100,97996.79323062777,25600.0,0.7670289280394785,0.2,5.161148068832246e-05,0.004,6.700369394159944e-05,0.012,0.7500000000015888,0.6,3.0,120.0
0.06,0.44,True,True,True,True,True,True,True,True,pass,100,100,98492.15082496352,25600.0,0.7785359187938182,0.2,8.081016577985474e-05,0.004,6.624083553326251e-05,0.012,0.7500000000004624,0.6,3.0,120.0
0.06,0.45,True,True,True,True,True,True,True,True,pass,100,100,99390.82048979202,25600.0,0.7859373909197034,0.2,0.00010380135347654261,0.004,7.315989262877878e-05,0.012,0.7500000000002672,0.6,3.0,120.0
0.06,0.46,True,True,True,True,True,True,True,True,pass,100,100,99461.9607176724,25600.0,0.7829340126894909,0.2,7.250133983128799e-05,0.004,7.454545807784403e-05,0.012,0.7500000000014463,0.6,3.0,120.0
0.06,0.47,True,True,True,True,True,True,True,True,pass,100,100,100391.21013199988,25600.0,0.8004218777402505,0.2,7.511316037340722e-05,0.004,6.879191693193127e-05,0.012,0.7500000000002952,0.6,3.0,120.0
0.06,0.48,True,True,True,True,True,True,True,True,pass,100,100,100176.90657786682,25600.0,0.8007619413928817,0.2,8.243649237369548e-05,0.004,7.79257080649976e-05,0.012,0.7500000000018173,0.6,3.0,120.0
0.06,0.49,True,True,True,True,True,True,True,True,pass,100,100,100244.66011878802,25600.0,0.7863515862035705,0.2,6.825444272538073e-05,0.004,7.97151907882667e-05,0.012,0.7500000000002925,0.6,3.0,120.0
0.06,0.5,True,True,True,True,True,True,True,True,pass,100,100,101065.88155680322,25600.0,0.8645272676502925,0.2,7.351206357863213e-05,0.004,7.597840805843277e-05,0.012,0.7500000000000208,0.6,3.0,120.0
0.06,0.51,True,True,True,True,True,True,True,True,pass,100,100,101223.5297886924,25600.0,0.8695776886885522,0.2,9.10307968671252e-05,0.004,7.803732111963288e-05,0.012,0.7500000000001553,0.6,3.0,120.0
0.06,0.52,True,True,True,True,True,True,True,True,pass,100,100,101294.8773670157,25600.0,0.9446777077075716,0.2,7.87961593551932e-05,0.004,7.991650553620303e-05,0.012,0.7500000000000647,0.6,3.0,120.0
