policy,cell_id,beta,dataset_tag,exact_count,selected_count,l2_mass_coverage_lambda1,mean_norm_sq,mean_theta_norm,mean_final_train_loss,mean_min_signed_margin,mean_pairwise_norm_distance
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_000_seed_002234,32,10,0.8288708586750047,11605.272464886382,107.48540890259935,0.014493841194942297,0.038258693896128904,1.4135222600839614
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_000_seed_002234,32,10,0.07802338009630226,26706.8404410746,161.86153834236063,0.002714947430924971,0.07562201446900094,1.4302894004814022
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_001_seed_102234,28,10,0.8024915246222578,17342.483616991012,131.2986998789432,0.00814440233900256,0.0418797784591554,1.4200698894412866
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_001_seed_102234,28,10,0.11704319345286426,30534.68149597347,173.2528122603795,0.003013066277593146,0.10763329821793252,1.4178265579605471
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_002_seed_202234,27,10,0.8055094170037632,13829.140240531066,117.12965545180415,0.012759583148042902,0.019603912836812606,1.4153391316476318
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_002_seed_202234,27,10,0.08453998282062804,27413.245392384746,164.33931411348277,0.003620417688341905,0.00985280306744929,1.4193889458659563
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_003_seed_302234,29,10,0.8128280805819413,17798.892986063885,133.22428498750125,0.007819133518595015,0.017958307909060195,1.4187817320466238
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_003_seed_302234,29,10,0.0643755260020792,34508.84032586533,184.88576919710644,0.002871799502264684,0.10229019848735191,1.425146115676142
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,28,10,0.8084639884223954,19150.008239515526,138.03405817247227,0.0069753990884095065,0.05168465592402256,1.4094386064526436
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_004_seed_402234,28,10,0.1098487748204808,40865.70117910499,198.8476949683582,0.0026746426604359356,0.03556569665048111,1.4279635902449632
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,25,10,0.8989710424583787,19047.59935709503,136.86019387025547,0.008246691524157648,0.053897923343083964,1.423752868919493
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_005_seed_502234,25,10,0.056497357568277624,44354.89432340329,205.9804748686362,0.002673636371569659,0.04143284282221404,1.4231317113181452
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,32,10,0.7067137063852603,12838.559232804584,112.9125319499816,0.015227852436648249,0.010584214451190649,1.418571788088462
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_006_seed_602234,32,10,0.07806188434316835,28349.28700565886,165.73600032168267,0.003395385166056445,0.037898496961778404,1.4275880693458043
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,30,10,0.7541073169971734,15160.379115063715,122.70150961518439,0.008463120063261243,0.1028786445351975,1.415632370579424
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_007_seed_702234,30,10,0.07985068015158997,34141.55873094107,181.93897254814124,0.002708515583842141,0.015245076950980253,1.418635902309384
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,31,10,0.7348046281586319,12896.991579224221,113.37859713513937,0.015784666672103355,0.05099559097017605,1.409298694182079
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,31,10,0.043993119805390044,31820.20436297646,177.00982570891904,0.0025368258559329677,0.06862976155863856,1.4227757215552923
l2_top10_min_norm_exact,cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,37,10,0.7604880618971587,20869.437400563947,144.03579416133658,0.004055762620447541,0.022732803034552197,1.4144271699245672
current_simple_selected10,cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,37,10,0.0751443052787827,42026.601493500886,200.58183353738343,0.002752973623994696,0.007946688004777342,1.4334121133573998
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,21,10,0.8852711695201946,13905.773937059628,117.45268444941776,0.00872484739642219,0.03513818584366202,1.414717607998511
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,21,10,0.21916020692521496,24164.993187245098,154.2349264463635,0.0033592436362995504,0.06732957576956992,1.415716191984532
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,22,10,0.9318358380475364,12484.685624528032,111.00652234543459,0.013817831966221272,0.030397332721056804,1.4199711888073212
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_001_seed_106234,22,10,0.0972805222194887,30997.812313243096,173.15369212697715,0.0030582262049680714,0.0493300909907808,1.4215712754124517
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,29,10,0.8470917934309615,13845.525377721968,116.84367044107367,0.007222146745304503,0.07365233324246806,1.4151953587979633
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_002_seed_206234,29,10,0.0962602676037683,25312.920630918095,158.63657928906372,0.002642707986111714,0.07349656393390668,1.4168201376710365
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_003_seed_306234,21,10,0.8397332726349618,11611.098405054028,107.18835332441718,0.010093544814111616,0.058133443194766474,1.4178730253715337
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_003_seed_306234,21,10,0.15947113649881672,23583.483487010446,151.25440823465058,0.0029032310057944704,0.16799038283222506,1.420719980543373
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_004_seed_406234,30,10,0.7934273390768045,16836.13386455258,129.57016051111796,0.007578272520293398,0.0384074252732141,1.4094879712880983
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_004_seed_406234,30,10,0.058209891370763586,32806.67167545312,180.38530357053483,0.002628163138594747,0.03856438461432551,1.411896532329975
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_005_seed_506234,35,10,0.7812968434149793,13231.718996642876,114.39618999390014,0.01457733195050484,0.03414071504558286,1.4223159824350264
