beta,radius,sample_row_count,ref_count,dataset_count,claim,acceptance
0.05,0.01,1800,1800,60,pass,pass
0.05,0.02,1800,1800,60,pass,pass
0.05,0.03,1800,1800,60,pass,pass
0.05,0.04,1800,1800,60,pass,pass
0.05,0.05,1800,1800,60,pass,pass
0.05,0.06,1800,1800,60,pass,pass
0.05,0.07,1800,1800,60,pass,pass
0.05,0.08,1800,1800,60,pass,pass
0.05,0.09,1800,1800,60,pass,pass
0.05,0.1,1800,1800,60,pass,pass
0.05,0.11,1800,1800,60,pass,pass
0.05,0.12,1800,1800,60,pass,pass
0.05,0.13,1800,1800,60,pass,pass
0.05,0.14,1800,1800,60,pass,pass
0.05,0.15,1800,1800,60,pass,pass
0.05,0.16,1800,1800,60,pass,pass
0.05,0.17,1800,1800,60,pass,pass
0.05,0.18,1800,1800,60,pass,pass
0.05,0.19,1800,1800,60,pass,pass
0.05,0.2,1800,1800,60,pass,pass
0.05,0.21,1800,1800,60,pass,pass
0.05,0.22,1800,1800,60,pass,pass
0.05,0.23,1800,1800,60,pass,pass
0.05,0.24,1800,1800,60,pass,pass
0.05,0.25,1800,1800,60,pass,pass
0.05,0.26,1800,1800,60,pass,pass
0.05,0.27,1800,1800,60,pass,pass
0.05,0.28,1800,1800,60,pass,pass
0.05,0.29,1800,1800,60,pass,pass
0.05,0.3,1800,1800,60,pass,pass
0.05,0.31,1800,1800,60,pass,pass
0.05,0.32,1800,1800,60,pass,pass
0.05,0.33,1800,1800,60,pass,pass
0.05,0.34,1800,1800,60,pass,pass
0.05,0.35,1800,1800,60,pass,pass
0.05,0.36,1800,1800,60,pass,pass
0.05,0.37,1800,1800,60,pass,pass
0.05,0.38,1800,1800,60,pass,pass
0.05,0.39,1800,1800,60,pass,pass
0.05,0.4,1800,1800,60,pass,pass
0.05,0.41,1800,1800,60,pass,pass
0.05,0.42,1800,1800,60,pass,pass
0.05,0.43,1800,1800,60,pass,pass
0.05,0.44,1800,1800,60,pass,pass
0.05,0.45,1800,1800,60,pass,pass
0.05,0.46,1800,1800,60,pass,pass
0.05,0.47,1800,1800,60,pass,pass
0.05,0.48,1800,1800,60,pass,pass
0.05,0.49,1800,1800,60,pass,pass
0.05,0.5,1800,1800,60,pass,pass
0.05,0.51,1800,1800,60,pass,pass
0.05,0.52,1800,1800,60,pass,pass
0.05,0.53,1800,1800,60,pass,pass
0.05,0.54,1800,1800,60,pass,pass
0.05,0.55,1800,1800,60,pass,pass
0.05,0.56,1800,1800,60,pass,pass
0.05,0.57,1800,1800,60,pass,pass
0.05,0.58,1800,1800,60,pass,pass
0.05,0.59,1800,1800,60,pass,pass
0.05,0.6,1800,1800,60,pass,pass
0.05,0.61,1800,1800,60,pass,pass
0.05,0.62,1800,1800,60,pass,pass
0.05,0.63,1800,1800,60,pass,pass
0.05,0.64,1800,1800,60,pass,pass
0.05,0.65,1800,1800,60,pass,pass
0.05,0.66,1800,1800,60,pass,pass
0.05,0.67,1800,1800,60,pass,pass
0.05,0.68,1800,1800,60,pass,pass
0.05,0.69,1800,1800,60,pass,pass
0.05,0.7,1800,1800,60,pass,pass
0.05,0.71,1800,1800,60,pass,pass
0.05,0.72,1800,1800,60,pass,pass
0.05,0.73,1800,1800,60,pass,pass
0.05,0.74,1800,1800,60,pass,pass
0.05,0.75,1800,1800,60,pass,pass
0.05,0.76,1800,1800,60,pass,pass
0.05,0.77,1800,1800,60,pass,pass
0.05,0.78,1800,1800,60,pass,pass
0.05,0.79,1800,1800,60,pass,pass
0.05,0.8,1800,1800,60,pass,pass
0.05,0.81,1800,1800,60,pass,pass
0.05,0.82,1800,1800,60,pass,pass
0.05,0.83,1800,1800,60,pass,pass
0.05,0.84,1800,1800,60,pass,pass
0.05,0.85,1800,1800,60,pass,pass
0.05,0.86,1800,1800,60,pass,pass
0.05,0.87,1800,1800,60,pass,pass
0.05,0.88,1800,1800,60,pass,pass
0.05,0.89,1800,1800,60,pass,pass
0.05,0.9,1800,1800,60,pass,pass
0.05,0.91,1800,1800,60,pass,pass
0.05,0.92,1800,1800,60,pass,pass
0.05,0.93,1800,1800,60,pass,pass
0.05,0.94,1800,1800,60,pass,pass
0.05,0.95,1800,1800,60,pass,pass
0.05,0.96,1800,1800,60,pass,pass
0.05,0.97,1800,1800,60,pass,pass
0.05,0.98,1800,1800,60,pass,pass
0.05,0.99,1800,1800,60,pass,pass
0.05,1.0,1800,1800,60,pass,pass
0.05,1.01,1800,1800,60,pass,pass
0.05,1.02,1800,1800,60,pass,pass
0.05,1.03,1800,1800,60,pass,pass
0.05,1.04,1800,1800,60,pass,pass
0.05,1.05,1800,1800,60,pass,pass
0.05,1.06,1800,1800,60,pass,pass
0.05,1.07,1800,1800,60,pass,pass
0.05,1.08,1800,1800,60,pass,pass
0.05,1.09,1800,1800,60,pass,pass
0.05,1.1,1800,1800,60,pass,pass
0.05,1.11,1800,1800,60,pass,pass
0.05,1.12,1800,1800,60,pass,pass
0.05,1.13,1800,1800,60,pass,pass
0.05,1.14,1800,1800,60,pass,pass
0.05,1.15,1800,1800,60,pass,pass
0.05,1.16,1800,1800,60,pass,pass
0.05,1.17,1800,1800,60,pass,pass
0.05,1.18,1800,1800,60,pass,pass
0.05,1.19,1800,1800,60,pass,pass
0.05,1.2,1800,1800,60,pass,pass
0.05,1.21,1800,1800,60,pass,pass
0.05,1.22,1800,1800,60,pass,pass
0.05,1.23,1800,1800,60,pass,pass
0.05,1.24,1800,1800,60,pass,pass
0.05,1.25,1800,1800,60,pass,pass
0.05,1.26,1800,1800,60,pass,pass
0.05,1.27,1800,1800,60,pass,pass
0.05,1.28,1800,1800,60,pass,pass
0.05,1.29,1800,1800,60,pass,pass
0.05,1.3,1800,1800,60,pass,pass
0.05,1.31,1800,1800,60,pass,pass
0.05,1.32,1800,1800,60,pass,pass
0.05,1.33,1800,1800,60,pass,pass
0.05,1.34,1800,1800,60,pass,pass
0.05,1.35,1800,1800,60,pass,pass
0.05,1.36,1800,1800,60,pass,pass
0.05,1.37,1800,1800,60,pass,pass
0.05,1.38,1800,1800,60,pass,pass
0.05,1.39,1800,1800,60,pass,pass
0.05,1.4,1800,1800,60,pass,pass
0.05,1.41,1800,1800,60,pass,pass
0.05,1.42,1800,1800,60,pass,pass
0.05,1.43,1800,1800,60,pass,pass
0.05,1.44,1800,1800,60,pass,pass
0.05,1.45,1800,1800,60,pass,pass
0.05,1.46,1800,1800,60,pass,pass
0.05,1.47,1800,1800,60,pass,pass
0.05,1.48,1800,1800,60,pass,pass
0.05,1.49,1800,1800,60,pass,pass
0.05,1.5,1800,1800,60,pass,pass
0.05,1.51,1800,1800,60,pass,pass
0.05,1.52,1800,1800,60,pass,pass
0.05,1.53,1800,1800,60,pass,pass
0.05,1.54,1800,1800,60,pass,pass
0.05,1.55,1800,1800,60,pass,pass
0.05,1.56,1800,1800,60,pass,pass
0.05,1.57,1800,1800,60,pass,pass
0.05,1.58,1800,1800,60,pass,pass
0.05,1.59,1800,1800,60,pass,pass
0.05,1.6,1800,1800,60,pass,pass
0.05,1.61,1800,1800,60,pass,pass
0.05,1.62,1800,1800,60,pass,pass
0.05,1.63,1800,1800,60,pass,pass
0.05,1.64,1800,1800,60,pass,pass
0.05,1.65,1800,1800,60,pass,pass
0.05,1.66,1800,1800,60,pass,pass
0.05,1.67,1800,1800,60,pass,pass
0.05,1.68,1800,1800,60,pass,pass
0.05,1.69,1800,1800,60,pass,pass
0.05,1.7,1800,1800,60,pass,pass
0.05,1.71,1800,1800,60,pass,pass
0.05,1.72,1800,1800,60,pass,pass
0.05,1.73,1800,1800,60,pass,pass
0.05,1.74,1800,1800,60,pass,pass
0.05,1.75,1800,1800,60,pass,pass
0.05,1.76,1800,1800,60,pass,pass
0.05,1.77,1800,1800,60,pass,pass
0.05,1.78,1800,1800,60,pass,pass
0.05,1.79,1800,1800,60,pass,pass
0.05,1.8,1800,1800,60,pass,pass
0.05,1.81,1800,1800,60,pass,pass
0.05,1.82,1800,1800,60,pass,pass
0.05,1.83,1800,1800,60,pass,pass
0.05,1.84,1800,1800,60,pass,pass
0.05,1.85,1800,1800,60,pass,pass
0.05,1.86,1800,1800,60,pass,pass
0.05,1.87,1800,1800,60,pass,pass
0.05,1.88,1800,1800,60,pass,pass
0.05,1.89,1800,1800,60,pass,pass
0.05,1.9,1800,1800,60,pass,pass
0.05,1.91,1800,1800,60,pass,pass
0.05,1.92,1800,1800,60,pass,pass
0.05,1.93,1800,1800,60,pass,pass
