beta,radius,ref_count,q05_ess_fraction,max_split_logZ_per_P_diff,mean_smc_mh_acceptance,min_smc_cess_fraction,mean_smc_step_count,mean_weighted_accuracy,mean_weighted_ce_l2_ratio
0.05,0.01,2700,0.9998223655213991,2.4487716828502925e-06,0.9997269241898148,0.9976738015578747,1.0,0.9964719906159926,0.003509446908691247
0.05,0.02,2700,0.9978478975900709,4.214537157087948e-06,0.9988277633101852,0.985528518285785,1.0,0.9879306383281471,0.011003767884223947
0.05,0.03,2700,0.9922841166729024,7.422463859988095e-06,0.9974254918981481,0.9639313834369878,1.0,0.974123296015681,0.027191335838284716
0.05,0.04,2700,0.9821938636604087,9.955459793277932e-06,0.9957566550925926,0.9308168994947081,1.0,0.9574841961438777,0.05189756746405892
0.05,0.05,2700,0.9677714924582872,1.803623037750619e-05,0.993984375,0.8813830503562684,1.0,0.9397044989301835,0.08393383155660321
0.05,0.06,2700,0.9505945202641823,2.13710807207544e-05,0.9920887586805556,0.8414259335691795,1.0,0.9218298046889745,0.12171432979771284
0.05,0.07,2700,0.9295569712320595,2.7468635984589633e-05,0.9901106770833333,0.7864798346351459,1.0,0.9043757253440026,0.16385028744137367
0.05,0.08,2700,0.9056171172446883,2.763339226266146e-05,0.9881593605324074,0.7500000000206603,1.001111111111111,0.8875674064867088,0.20923824648903447
0.05,0.09,2700,0.8813949536016207,3.345518147174962e-05,0.9862599464699074,0.7500000000083954,1.0025925925925927,0.8715301491226536,0.25689365604999403
0.05,0.1,2700,0.8614628664159114,3.365500260092502e-05,0.9843595076195989,0.7500000000007355,1.005925925925926,0.8563145055747475,0.3061012197935058
0.05,0.11,2700,0.8410130630898394,3.5974369086547856e-05,0.9825678168402776,0.7500000000003378,1.0125925925925925,0.8418990855343789,0.35622494435563873
0.05,0.12,2700,0.8207162272177099,4.01733518112815e-05,0.980648750964506,0.7500000000000248,1.022962962962963,0.8282737904751399,0.40686466067657423
0.05,0.13,2700,0.8099882834062232,4.459615509776565e-05,0.9790885416666665,0.7500000000000387,1.041111111111111,0.8153674809178671,0.4577122549623455
0.05,0.14,2700,0.802929384694531,6.126818575460619e-05,0.9773333212770063,0.7500000000008754,1.0596296296296297,0.8032022125585243,0.50835017289885
0.05,0.15,2700,0.8005997451287411,4.645047192497576e-05,0.9755750265239198,0.7500000000004644,1.0844444444444445,0.7916936440329674,0.5586628198322438
0.05,0.16,2700,0.7993502229508855,4.195746437961941e-05,0.9740609326774694,0.75000000000011,1.1118518518518519,0.7808417055507164,0.6082610613506115
0.05,0.17,2700,0.7993493754491532,6.758052835523848e-05,0.9724952377507715,0.7500000000000108,1.1348148148148147,0.7705259449304778,0.6575332051997982
0.05,0.18,2700,0.7992470311496718,6.049498803711357e-05,0.9710417390046296,0.7500000000000754,1.1592592592592592,0.760791110408704,0.7058531386978203
0.05,0.19,2700,0.7999090397056409,5.87084270183368e-05,0.969554446373457,0.7500000000000774,1.1807407407407406,0.7515607800651822,0.753414764840414
0.05,0.2,2700,0.7952755834554619,5.9110017473737174e-05,0.9680908685378088,0.7500000000003085,1.2025925925925927,0.7428564145823358,0.7998878866560057
0.05,0.21,2700,0.7902065892720926,8.385218861031006e-05,0.9666035517939813,0.7500000000001167,1.2196296296296296,0.7345360760362543,0.8457958772298391
0.05,0.22,2700,0.7835623583357083,9.14969494896939e-05,0.9654113016010802,0.7500000000003685,1.2396296296296296,0.7266661367019202,0.8905137626394221
0.05,0.23,2700,0.7784900469114817,7.055390131827182e-05,0.9637528332368827,0.7500000000004098,1.2666666666666666,0.7191629913710075,0.9345756869825229
0.05,0.24,2700,0.7764043381725061,7.68782083328687e-05,0.9624451316550922,0.7500000000000367,1.2962962962962963,0.7120648006491815,0.9774384427536298
