beta,radius,finite_ref_count,mean_logZ_inf,mean_logZ_inf_full,sd_logZ_inf,sd_logZ_inf_full,mean_logZ_inf_per_P,mean_logZ_inf_full_per_P,mean_reference_prior_log_weight,mean_theta_ref_norm_sq,aggregate_ref_level_ess,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_weighted_error,mean_weighted_accuracy,mean_weighted_ce_l2_ratio,min_smc_cess_fraction,max_smc_step_count,mean_smc_step_count,mean_smc_mh_acceptance,claim
0.06,0.01,100,-0.014895394148328694,-3.168898620724741,0.006601728367713278,0.7942113746700062,-5.852807130973947e-06,-0.0012451468057857527,-3.1540032265764113,16053.876423273936,102398.91222179694,0.9999661472030992,2.336759767119955e-07,2.5931755179487915e-07,0.003926749776072731,0.9960732502239273,0.005411715353489131,0.9999340291259003,1.0,1.0,0.999873046875,pass
0.06,0.02,100,-0.038992446081607984,-3.19299567265802,0.012200115971886603,0.8011593928320504,-1.5321196888647538e-05,-0.0012546151955434264,-3.1540032265764113,16053.876423273936,102377.39042422335,0.999370099014199,1.0408592341849393e-06,4.919548538417287e-07,0.012401048439425546,0.9875989515605744,0.012907856654023268,0.9989866945404015,1.0,1.0,0.999248046875,pass
0.06,0.03,100,-0.09153942315652332,-3.2455426497329354,0.032301872382371775,0.8173146850463483,-3.5968339157769474e-05,-0.0012752623378125482,-3.1540032265764113,16053.876423273936,102290.51976874274,0.9970819861476886,2.4276283533112513e-06,1.2131641338108296e-06,0.02644676559957949,0.9735532344004204,0.029146914934259343,0.9961698818588196,1.0,1.0,0.99798828125,pass
0.06,0.04,100,-0.17251694931651926,-3.3265201758929313,0.06379275837604696,0.8417304614957057,-6.77866205565891e-05,-0.001307080619211368,-3.1540032265764113,16053.876423273936,102096.91299851969,0.9926048786268882,4.411175858212162e-06,2.5517339821206474e-06,0.04344152549370711,0.9565584745062928,0.05413689056772889,0.9911419700939694,1.0,1.0,0.99689453125,pass
0.06,0.05,100,-0.27733314326090347,-3.4313363698373154,0.10155144145722197,0.8714910294037819,-0.00010897176552491295,-0.0013482657641796917,-3.1540032265764113,16053.876423273936,101774.05683531443,0.9847834545082124,5.237025133593658e-06,4.056088885975999e-06,0.061652485975740835,0.9383475140242591,0.08655031977018636,0.982520529751546,1.0,1.0,0.995419921875,pass
0.06,0.06,100,-0.40135575085939024,-3.555358977435802,0.1427828674411361,0.9046573087507325,-0.00015770363491528103,-0.0013969976335700598,-3.1540032265764113,16053.876423273936,101324.75394881523,0.9769230651115122,6.666070418718955e-06,5.55907014974948e-06,0.07987907169279564,0.9201209283072044,0.12497220467508635,0.9693679999031668,1.0,1.0,0.99365234375,pass
0.06,0.07,100,-0.5403726456286715,-3.6943758722050837,0.18883438003972544,0.9424666725749491,-0.00021232716920576483,-0.0014516211678605438,-3.1540032265764113,16053.876423273936,100750.3699016618,0.9650637336780833,9.277967077130932e-06,7.148160730865799e-06,0.09780266070054246,0.9021973392994576,0.16792788180374202,0.959763403470773,1.0,1.0,0.99201171875,pass
0.06,0.08,100,-0.6914495202251232,-3.845452746801535,0.23645126671275749,0.981455822744093,-0.00027168939890967513,-0.0015109833975644538,-3.1540032265764113,16053.876423273936,100057.15322690236,0.9518156134148902,1.575725604290382e-05,9.432651185857466e-06,0.11519591079420603,0.8848040892057941,0.2146356336316729,0.9413361043031868,1.0,1.0,0.99025390625,pass
0.06,0.09,100,-0.8497284800263956,-4.0037317066028075,0.28570401975612514,1.0226005266502487,-0.0003338815245683283,-0.001573175523223107,-3.1540032265764113,16053.876423273936,99235.01078199764,0.9329862832603164,1.093921428736542e-05,1.1711081106391528e-05,0.13159620195899996,0.8684037980410001,0.26349797006502124,0.918300427668293,1.0,1.0,0.9886328125,pass
0.06,0.1,100,-1.0143168398006248,-4.168320066377037,0.3358654562098223,1.0647399660985295,-0.00039855278577627693,-0.0016378467844310558,-3.1540032265764113,16053.876423273936,98411.49600672205,0.9178445774599064,1.2444559397530257e-05,1.3072665501053726e-05,0.14728559261438845,0.8527144073856116,0.3142098517339251,0.9000751699842903,1.0,1.0,0.9861328125,pass
