beta,radius,finite_ref_count,mean_logZ_inf,mean_logZ_inf_full,sd_logZ_inf,sd_logZ_inf_full,mean_logZ_inf_per_P,mean_logZ_inf_full_per_P,mean_reference_prior_log_weight,mean_theta_ref_norm_sq,aggregate_ref_level_ess,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_weighted_error,mean_weighted_accuracy,mean_weighted_ce_l2_ratio,min_smc_cess_fraction,max_smc_step_count,mean_smc_step_count,mean_smc_mh_acceptance,claim
0.06,0.01,100,-0.014899565563386261,-3.1689027921397983,0.0065937358514740994,0.7942067788983493,-5.854446193864935e-06,-0.0012451484448486438,-3.1540032265764113,16053.876423273936,102398.92661473659,0.9999675748373886,3.3658137787506617e-07,2.593947239191352e-07,0.003926781618792848,0.9960732183812071,0.005412767071093605,0.9999308091032117,1.0,1.0,0.999794921875,pass
0.06,0.02,100,-0.038877128169457674,-3.1928803547458697,0.012002289060530816,0.8009540714126194,-1.5275885331810483e-05,-0.0012545698839865893,-3.1540032265764113,16053.876423273936,102378.05739925512,0.9994385159519049,1.603570706372391e-06,4.836095563433837e-07,0.012376965992714152,0.9876230340072857,0.012880532661541069,0.9990674600564362,1.0,1.0,0.999296875,pass
0.06,0.03,100,-0.091625819895584,-3.245629046471996,0.03261293143996934,0.8174362295156393,-3.6002286795907266e-05,-0.001275296285450686,-3.1540032265764113,16053.876423273936,102290.84106543048,0.997292936056473,3.361648851496501e-06,1.2200661201420365e-06,0.026390289855758437,0.9736097101442417,0.029152982842139963,0.9961557278141462,1.0,1.0,0.99814453125,pass
0.06,0.04,100,-0.17251116015919765,-3.3265143867356097,0.06366879134596767,0.8415847205947955,-6.778434583858454e-05,-0.0013070783444933635,-3.1540032265764113,16053.876423273936,102095.55960638518,0.9922730520103692,3.536332232536319e-06,2.5529978031732027e-06,0.04347926569040692,0.9565207343095932,0.05414027438330339,0.9912377197282711,1.0,1.0,0.99650390625,pass
0.06,0.05,100,-0.2773121306855787,-3.431315357261991,0.10135158172001102,0.8712790041399869,-0.00010896350911024704,-0.001348257507765026,-3.1540032265764113,16053.876423273936,101772.84957199445,0.9853224172110859,5.477349985056401e-06,4.0505786172817745e-06,0.06161762782682259,0.9383823721731774,0.08656266170976133,0.9819539798689483,1.0,1.0,0.995478515625,pass
0.06,0.06,100,-0.40168070782121645,-3.5556839343976288,0.14359303776649104,0.905685661134819,-0.00015783131937965284,-0.0013971253180344318,-3.1540032265764113,16053.876423273936,101315.98804510143,0.9760002112113167,7.637924637251508e-06,5.586504209781714e-06,0.07990799847263358,0.9200920015273664,0.1250219235775234,0.9712496586355129,1.0,1.0,0.993671875,pass
0.06,0.07,100,-0.5408279713057599,-3.694831197882172,0.18991677360427933,0.9430553404798828,-0.0002125060790985304,-0.0014518000777533093,-3.1540032265764113,16053.876423273936,100746.59317122331,0.965619240395608,1.0181022511564566e-05,7.208041855772348e-06,0.09787973998225291,0.9021202600177471,0.1680474044305576,0.9583896865456852,1.0,1.0,0.992236328125,pass
0.06,0.08,100,-0.6911618422021119,-3.8451650687785235,0.23630891643677573,0.9813927073517392,-0.00027157636235839366,-0.0015108703610131724,-3.1540032265764113,16053.876423273936,100051.46791446101,0.9516337689150945,1.2010524913125014e-05,9.42671593480555e-06,0.11517958711933787,0.8848204128806622,0.21453766362552684,0.9364866558880199,1.0,1.0,0.9909375,pass
0.06,0.09,100,-0.8498865896312892,-4.0038898162077015,0.28562033409683973,1.0221670086268733,-0.0003339436501498189,-0.0015732376488045978,-3.1540032265764113,16053.876423273936,99236.56780042265,0.9332717257443054,1.5492080726628666e-05,1.170642651640564e-05,0.13156970581063304,0.8684302941893669,0.2634894077792899,0.920316087789814,1.0,1.0,0.98822265625,pass
0.06,0.1,100,-1.0155136355775367,-4.169516862153948,0.33638685504673393,1.0659013508992594,-0.0003990230395196608,-0.0016383170381744393,-3.1540032265764113,16053.876423273936,98370.21815721928,0.9197959104574903,1.2552241702222863e-05,1.3076375884793983e-05,0.14739410650470003,0.8526058934953,0.31449100082366893,0.896488366583104,1.0,1.0,0.98716796875,pass
