beta,radius,claim,finite_derivative_ref_count,finite_derivative_ref_min,coverage_pass,split_derivative_pass,max_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff_allowed,bootstrap_pass,bootstrap_sd_dphi_full_dr,bootstrap_sd_dphi_full_dr_max,ce_replay_pass,ce_replay_max_abs_diff,ce_replay_max_abs_diff_allowed,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_energy_dr,dphi_entropic_dr,dphi_full_dr
0.06,0.1,pass,100,100,True,True,0.0002189639098278099,0.004,True,0.00019584642198083708,0.012,True,0.0,0.001,-16.688317385762524,5.109711158189359,-0.006557295632912583,9.996070726915521,9.989513431282608
0.06,0.2,pass,100,100,True,True,0.0004091618099742384,0.004,True,0.0001887043416723918,0.012,True,0.0,0.001,-16.265083957999217,4.816812521138717,-0.006390995661296352,4.998035363457761,4.991644367796464
0.06,0.3,pass,100,100,True,True,0.00027373205873285604,0.004,True,0.00015164625146139423,0.012,True,0.0,0.001,-13.762494125348123,4.147501388580939,-0.0054076597742035845,3.332023575638507,3.3266159158643034
0.06,0.4,pass,100,100,True,True,0.00033562619622040847,0.004,True,0.0001289470661401009,0.012,True,0.0,0.001,-11.587691993234078,3.4696540499886925,-0.004553120626025178,2.4990176817288803,2.494464561102855
0.06,0.5,pass,100,100,True,True,0.00032979238903867056,0.004,True,0.0001178458466855025,0.012,True,0.0,0.001,-9.918279891301538,2.9153545367562135,-0.0038971630221224115,1.999214145383104,1.9953169823609815
0.06,0.6,pass,100,100,True,True,0.0004695104304281314,0.004,True,9.776890651796316e-05,0.012,True,0.0,0.001,-8.641828005791961,2.471443830355895,-0.0033956102183858392,1.6660117878192535,1.6626161776008677
0.06,0.7,pass,100,100,True,True,0.0003909183444860767,0.004,True,7.70651511490407e-05,0.012,True,0.0,0.001,-7.650270640008666,2.0948846910816536,-0.0030060002514768827,1.4280101038450743,1.4250041035935974
0.06,0.8,pass,100,100,True,True,0.0006167001486842173,0.004,True,7.462016020289746e-05,0.012,True,0.0,0.001,-6.847748508912085,1.837089890329359,-0.0026906673905352004,1.2495088408644401,1.246818173473905
0.06,0.9,pass,100,100,True,True,0.0004412657852092323,0.004,True,5.796496638363945e-05,0.012,True,0.0,0.001,-6.217819051341926,1.5284636770044393,-0.0024431509042600885,1.1106745252128356,1.1082313743085754
0.06,1.0,pass,100,100,True,True,0.0007366304213707952,0.004,True,5.109060754528295e-05,0.012,True,0.0,0.001,-5.692502826555299,1.298580761938363,-0.002236739813970648,0.999607072691552,0.9973703328775814
0.06,1.1,pass,100,100,True,True,0.000625611653519192,0.004,True,4.3633775470965444e-05,0.012,True,0.0,0.001,-5.275590161568573,1.1410281817879704,-0.002072923442659557,0.9087337024468655,0.9066607790042059
0.06,1.2,pass,100,100,True,True,0.0008716160778329655,0.004,True,3.897326918249413e-05,0.012,True,0.0,0.001,-4.87399575887596,0.9546176018095456,-0.0019151260349217919,0.8330058939096268,0.8310907678747049
0.06,1.3,pass,100,100,True,True,0.0008414561444482461,0.004,True,3.273221630993925e-05,0.012,True,0.0,0.001,-4.615545085501381,0.826891373404005,-0.0018135737074661616,0.7689285174550401,0.7671149437475739
0.06,1.4,pass,100,100,True,True,0.0006279439981559904,0.004,True,2.989913234069846e-05,0.012,True,0.0,0.001,-4.431825620929369,0.7198494740510091,-0.0017413853127423847,0.7140050519225372,0.7122636666097948
0.06,1.5,pass,100,100,True,True,0.0007304222657952846,0.004,True,2.5684377015591984e-05,0.012,True,0.0,0.001,-4.273082984045726,0.63806962089255,-0.0016790109956957668,0.6664047151277014,0.6647257041320056
0.06,1.6,pass,100,100,True,True,0.0005215261896543195,0.004,True,2.3545428340679938e-05,0.012,True,0.0,0.001,-4.137057415740404,0.585076752714026,-0.0016255628352614556,0.6247544204322201,0.6231288575969586
0.06,1.7,pass,100,100,True,True,0.000974136403525393,0.004,True,2.3308559515652083e-05,0.012,True,0.0,0.001,-4.067205937972702,0.5644402667128754,-0.0015981162821110811,0.5880041604067954,0.5864060441246843
0.06,1.8,pass,100,100,True,True,0.0009038219475098742,0.004,True,1.9350295698666656e-05,0.012,True,0.0,0.001,-4.006032627280676,0.5055167643491321,-0.001574079617792014,0.5553372626064178,0.5537631829886258
0.06,1.9,pass,100,100,True,True,0.0005349458267401535,0.004,True,1.7427952554098964e-05,0.012,True,0.0,0.001,-3.9400082004716994,0.4409686916777138,-0.001548136817474145,0.5261089856271327,0.5245608488096586
0.06,2.0,pass,100,100,True,True,0.0009495979378758943,0.004,True,1.775299989571163e-05,0.012,True,0.0,0.001,-3.8765549840814604,0.4479850298701796,-0.001523204315945564,0.499803536345776,0.49828033202983046
0.06,2.1,pass,100,100,True,True,0.0006302282406917225,0.004,True,1.642015081958836e-05,0.012,True,0.0,0.001,-3.9350926072718067,0.39892786978482725,-0.0015462053466686863,0.4760033679483581,0.47445716260168946
0.06,2.2,pass,100,100,True,True,0.0008423502965382062,0.004,True,1.6826964544934796e-05,0.012,True,0.0,0.001,-3.9067194683805098,0.42104767650632813,-0.0015350567655719096,0.45436685122343273,0.4528317944578608
0.06,2.3,pass,100,100,True,True,0.0009030400125752352,0.004,True,1.2040053396961476e-05,0.012,True,0.0,0.001,-3.951697588599377,0.32862211919915446,-0.0015527298972885567,0.4346117707354574,0.4330590408381689
0.06,2.4,pass,100,100,True,True,0.0008695541503032896,0.004,True,1.4897624833844507e-05,0.012,True,0.0,0.001,-3.9880506851278814,0.3886155823136553,-0.00156701402166125,0.4165029469548134,0.4149359329331521
0.06,2.5,pass,100,100,True,True,0.0006081249150033273,0.004,True,1.4359499756780573e-05,0.012,True,0.0,0.001,-3.962154289031086,0.3572402400732342,-0.0015568386204444346,0.39984282907662083,0.3982859904561764
0.06,2.6,pass,100,100,True,True,0.0005349369631910549,0.004,True,1.376636686839307e-05,0.012,True,0.0,0.001,-4.115511649939362,0.3390503999372239,-0.0016170969154968022,0.38446425872752005,0.3828471618120232
0.06,2.7,pass,100,100,True,True,0.0007886049044572609,0.004,True,1.2944208835120122e-05,0.012,True,0.0,0.001,-4.114476885676127,0.35340184413646847,-0.0016166903283599712,0.3702248417376119,0.3686081514092519
0.06,2.8,pass,100,100,True,True,0.0008930289456880891,0.004,True,1.3246197563424687e-05,0.012,True,0.0,0.001,-4.137168412023201,0.33940626869488194,-0.0016256064487321026,0.3570025259612686,0.35537691951253647
0.06,2.9,pass,100,100,True,True,0.0010362806111030736,0.004,True,1.2691595563406342e-05,0.012,True,0.0,0.001,-4.274534118300345,0.30138521375364685,-0.0016795811859726306,0.3446920940315697,0.3430125128455971
0.06,3.0,pass,100,100,True,True,0.0006909552853385669,0.004,True,1.2060605487325629e-05,0.012,True,0.0,0.001,-4.284265548942084,0.28495031498641804,-0.001683404930822037,0.3332023575638507,0.33151895263302866
0.1,0.1,pass,100,100,True,True,0.00018227910942390582,0.004,True,0.00016210516442954575,0.012,True,0.0,0.001,-14.136681540228006,4.22457667632802,-0.005554688227987429,9.996070726915521,9.990516038687534
0.1,0.2,pass,100,100,True,True,0.00025174486574295105,0.004,True,0.00017333374208758243,0.012,True,0.0,0.001,-14.186806817181386,4.262975041861284,-0.005574383818145928,4.998035363457761,4.992460979639614
0.1,0.3,pass,100,100,True,True,0.0002632460888360199,0.004,True,0.0001535631188777236,0.012,True,0.0,0.001,-12.404059888543202,3.7467479120092126,-0.0048738938658323,3.332023575638507,3.3271496817726747
0.1,0.4,pass,100,100,True,True,0.0002415489351795952,0.004,True,0.0001247466960696473,0.012,True,0.0,0.001,-10.788867646558721,3.1566294913024335,-0.004239240725563348,2.4990176817288803,2.494778441003317
0.1,0.5,pass,100,100,True,True,0.0004624644111932927,0.004,True,0.00010307169964622876,0.012,True,0.0,0.001,-9.45851753197726,2.6592124548065414,-0.0037165098357474498,1.999214145383104,1.9954976355473566
0.1,0.6,pass,100,100,True,True,0.00027715238722604395,0.004,True,9.278059576282018e-05,0.012,True,0.0,0.001,-8.404887947390536,2.25990092118184,-0.0033025099989746703,1.6660117878192535,1.6627092778202788
0.1,0.7,pass,100,100,True,True,0.00043351482060809176,0.004,True,7.608004084203702e-05,0.012,True,0.0,0.001,-7.525991725792384,1.925673505254559,-0.002957167672217047,1.4280101038450743,1.4250529361728572
0.1,0.8,pass,100,100,True,True,0.00034638577147906975,0.004,True,6.606385916609017e-05,0.012,True,0.0,0.001,-6.804225423510973,1.6440767827831564,-0.002673565981733192,1.2495088408644401,1.246835274882707
0.1,0.9,pass,100,100,True,True,0.0005153207525522496,0.004,True,5.794042381924853e-05,0.012,True,0.0,0.001,-6.213274841169376,1.4118506499975567,-0.002441365359987967,1.1106745252128356,1.1082331598528476
0.1,1.0,pass,100,100,True,True,0.0005346345247120013,0.004,True,4.775398433100462e-05,0.012,True,0.0,0.001,-5.7260332180257025,1.2471348022703241,-0.002249914820442319,0.999607072691552,0.9973571578711097
0.1,1.1,pass,100,100,True,True,0.0004126753144016068,0.004,True,4.232580341968216e-05,0.012,True,0.0,0.001,-5.362121817298901,1.086564067988018,-0.002106924093241218,0.9087337024468655,0.9066267783536243
0.1,1.2,pass,100,100,True,True,0.00047153436333512876,0.004,True,3.72850336351641e-05,0.012,True,0.0,0.001,-5.051811821345052,0.9619183209146384,-0.0019849948217465826,0.8330058939096268,0.8310208990878801
0.1,1.3,pass,100,100,True,True,0.0015455392931049707,0.004,True,3.0012151566964437e-05,0.012,True,0.0,0.001,-4.709862128519446,0.7723342302991879,-0.001850633449320018,0.7689285174550401,0.7670778840057201
0.1,1.4,pass,100,100,True,True,0.000551895487198447,0.004,True,2.8992765074866764e-05,0.012,True,0.0,0.001,-4.533714262369302,0.7484449694788999,-0.0017814201423847946,0.7140050519225372,0.7122236317801524
0.1,1.5,pass,100,100,True,True,0.0011507929572867337,0.004,True,2.6931280848263787e-05,0.012,True,0.0,0.001,-4.363509981697639,0.6749603280809723,-0.0017145422324941607,0.6664047151277014,0.6646901728952073
0.1,1.6,pass,100,100,True,True,0.0011542493811906608,0.004,True,2.362858422845851e-05,0.012,True,0.0,0.001,-4.186787419255214,0.6040695680726365,-0.0016451031116916364,0.6247544204322201,0.6231093173205284
0.1,1.7,pass,100,100,True,True,0.0010196006087245,0.004,True,2.1420284720384596e-05,0.012,True,0.0,0.001,-4.137557715427018,0.5734992144616098,-0.001625759416670734,0.5880041604067954,0.5863784009901246
0.1,1.8,pass,100,100,True,True,0.0015172990770193759,0.004,True,2.0689406137108947e-05,0.012,True,0.0,0.001,-4.073600626819888,0.5133988117051985,-0.0016006289299881683,0.5553372626064178,0.5537366336764297
