beta,cell_id,dataset_tag,dataset_id,ref_id,radius,n_samples,sampler_method,logZ_inf,logZ_inf_stripped,logZ_inf_full,logZ_CE,reference_prior_log_weight,theta_ref_norm,theta_ref_norm_sq,ess_inf,ess_frac,ce_ref,err_ref,weighted_ce,weighted_gamma_ce,unweighted_l2_penalty,weighted_l2_penalty,weighted_ce_l2_ratio,weighted_error,weighted_accuracy,weighted_h,split_logZ_per_P_diff,smc_completed,smc_step_count,smc_total_step_count,smc_resample_count,smc_min_cess_fraction,smc_mean_cess_fraction,smc_min_ess_fraction,smc_mean_mh_acceptance,smc_min_mh_acceptance,direction_mean_projection,direction_sd_projection,samples_path,theta_path,dataset_path,radial_derivative_methodology_id,dlogZ_inf_dr,dlogZ_inf_stripped_dr,dlogZ_inf_full_dr,dlogZ_dr_split0,dlogZ_dr_split1,split_dlogZ_dr_per_P_diff,weighted_prior_radial_score,weighted_ce_radial_score,weighted_variable_radial_score,weighted_total_radial_score,weighted_radial_grad_ce,weighted_total_radial_score_sd,ce_replay_max_abs_diff,ce_replay_mean_abs_diff
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,0,2.5,1024,exact_shell_l2_vmf_adaptive_ce_smc,-20.70283967014668,-20.70283967014668,-24.63244047949289,-17.58748996682975,-3.9296008093462076,141.42725380764557,20001.668119572198,825.650418638884,0.8062992369520352,0.0021289364216490426,0.0,14.668486982856994,14.668486982856994,7.018811945818705,7.014631123629452,2.091127348584988,0.4761216430945291,0.5238783569054709,5.405762522203127,3.4045254270849334e-05,True,5,10,4,0.7500000000269486,0.7612837167835916,0.7500000001023055,0.7689453125,0.591796875,0.0051064452965337,0.01859967211538031,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_000/r_2p50/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-4.8141119981184834,-4.8141119981184834,-4.8141119981184834,-4.889228572950977,-4.73899542328599,5.903070713751915e-05,0.01598787428670142,-2.330099872405185,-2.3141119981184843,-4.8141119981184834,0.04618815799798283,4.3735335612715724,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,0.5,1024,exact_shell_l2_vmf_adaptive_ce_smc,-11.115768827267102,-11.115768827267102,-17.101488277423304,-10.99135681542527,-5.985719450156202,174.54888140946383,30467.312001295068,991.1149994735455,0.9678857416733843,0.0027401641420640582,0.0,10.205538653802549,10.205538653802549,6.107357984643063,6.106680977358965,1.6712087452481053,0.37416330615417037,0.6258366938458296,4.50985258306728,2.8099077840836183e-05,True,3,6,2,0.7500000000302459,0.8226405274956762,0.7500000000833513,0.8942057291666666,0.841796875,0.0019430567229413139,0.01911029184672467,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_002/r_0p50/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_002/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-16.862815367617905,-16.862815367617905,-16.862815367617905,-16.627712365616752,-17.09791836961906,0.00018475677956868646,0.008076945594473806,-16.370892313212376,-16.362815367617905,-16.862815367617905,0.32451027944570826,4.9864296178800505,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.01,1024,exact_shell_l2_vmf_adaptive_ce_smc,-0.005749051501819477,-0.005749051501819477,-5.993269317184231,-0.005699286767841705,-5.987520265682411,174.57513612288398,30476.47815232347,1023.9807124083586,0.9999811644612877,0.0027657033008148648,0.0,0.005701759311256809,0.005701759311256809,5.987518411338385,5.9875184696119685,0.0009522741917531523,0.0030348054906945386,0.9969651945093054,0.061190326662167005,6.014971565227686e-09,True,1,2,0,0.9999791731304304,0.9999811644652532,0.9999791731304303,1.0,1.0,0.001498465155824792,0.019792863856094176,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_004/r_0p01/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_004/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-1.1216291795070918,-1.1216291795070918,-1.1216291795070918,-1.126146899987279,-1.117111459026905,3.5502714972000467e-06,0.0051796070441758576,-1.116808786551268,-1.111629179507092,-1.1216291795070918,0.02213782391804514,1.2767517384685936,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,5,1.5,1024,exact_shell_l2_vmf_adaptive_ce_smc,-22.537443421379884,-22.537443421379884,-28.48321384106793,-21.417699996407112,-5.945770419688046,173.96543172772041,30263.971436212152,796.5148867894271,0.7778465691302999,0.002850531169831143,0.0,18.355574779192334,18.355574779192334,7.055786836550993,7.0594535731566435,2.600141015019753,0.453934950441444,0.546065049558556,6.050698690086852,0.0001477679172322554,True,5,10,4,0.7500000000888997,0.7555903890055687,0.750000000186239,0.8078125,0.681640625,0.0028967122569248556,0.018894337689798087,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_005/r_1p50/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_005/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-5.602286438745418,-5.602286438745418,-5.602286438745418,-5.440214663157976,-5.764358214332862,0.00012736485311390432,0.007544564354266269,-4.109831003099686,-4.102286438745419,-5.602286438745418,0.08146668988923382,6.022459671411004,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,0.1,1024,exact_shell_l2_vmf_adaptive_ce_smc,-1.5364212183550532,-1.5364212183550532,-6.501868781606336,-1.5314407289545158,-4.965447563251283,158.97838877328275,25274.128096949033,948.7859641892668,0.9265487931535809,0.0028869417160316906,0.0,1.496494298148778,1.496494298148778,4.970582758474433,4.9705338702857675,0.3010731517382742,0.1349571658060688,0.8650428341939311,1.7210915945670486,6.0187818816594114e-06,True,1,2,0,0.9260825867767369,0.926549027968337,0.9260825867767377,0.9853515625,0.984375,-0.0004290097369038635,0.020266929431237278,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_007/r_0p10/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_007/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-26.28051737740303,-26.28051737740303,-26.28051737740303,-25.96179674096443,-26.599238013841642,0.0002504680836452697,-0.000863070344858972,-26.179654307058172,-26.180517377403035,-26.28051737740303,0.5189434254673467,4.670895182948671,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,8,2.5,1024,exact_shell_l2_vmf_adaptive_ce_smc,-19.943443807378877,-19.943443807378877,-24.638308082758183,-16.82997343477421,-4.694864275379307,154.58608980655623,23896.85916168067,827.3554852423783,0.8079643410570101,0.0028913640322981407,0.0,13.822876174787858,13.822876174787858,7.751834360547927,7.733039079329599,1.78750889953943,0.4771915655831167,0.5228084344168833,5.2456138224120075,9.60479627396604e-05,True,5,10,4,0.7500000000259747,0.7616003163075616,0.7500000002089282,0.7806640625,0.619140625,0.008880417825511938,0.021962699300683657,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_008/r_2p50/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_008/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-4.644172464441014,-4.644172464441014,-4.644172464441014,-4.204322226095571,-5.084022702786458,0.0003456583405465176,0.03473007841988307,-2.1789025428608966,-2.144172464441014,-4.644172464441014,0.043191064942629746,4.488367655941426,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,10,0.5,1024,exact_shell_l2_vmf_adaptive_ce_smc,-10.7965615119455,-10.7965615119455,-17.155607191250056,-10.672186172621267,-6.359045679304557,179.9098177078177,32367.542507660193,1000.6499326113739,0.9771971998157948,0.0030290271573554075,0.0,9.910591784950551,9.910591784950551,6.482913127172505,6.482985675288864,1.5287079566944997,0.36833500184381296,0.631664998156187,4.444401020329541,4.411592410832666e-05,True,3,6,2,0.7500000000322203,0.8257714593454115,0.7500000000807527,0.9091796875,0.880859375,0.0006351513528651612,0.019106429403907117,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_010/r_0p50/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_010/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-17.667014329181953,-17.667014329181953,-17.667014329181953,-17.547149233650565,-17.786879424713344,9.41965387280077e-05,0.0021200080313863692,-17.16913433721334,-17.16701432918195,-17.667014329181953,0.34033334744456123,5.104818619400436,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,12,0.01,1024,exact_shell_l2_vmf_adaptive_ce_smc,-0.007211775025580785,-0.007211775025580785,-5.424872759806021,-0.007161987900275668,-5.417660984780441,166.05991211768253,27575.894412532445,1023.9819575764897,0.9999823804457907,0.003058674067037103,0.0,0.0071173678130079954,0.0071173678130079954,5.417719690681673,5.4177196708458135,0.0013137202080256089,0.003086373178591231,0.9969136268214087,0.0806907845415628,1.7012715573175532e-07,True,1,2,0,0.9999802248811851,0.9999823804504374,0.999980224881185,1.0,1.0,-0.0002644799933879001,0.020349428672125153,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_012/r_0p01/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_012/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-1.4794321676738968,-1.4794321676738968,-1.4794321676738968,-1.5384204385302436,-1.4204438968175501,4.635620499516442e-05,-0.0008686065371689266,-1.4685635611367278,-1.4694321676738968,-1.4794321676738968,0.02911044569168938,1.2617594785875084,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,13,1.5,1024,exact_shell_l2_vmf_adaptive_ce_smc,-15.964123482288992,-15.964123482288992,-19.65961116636799,-14.842390612854484,-3.695487684078999,137.14967120617573,18810.032311962106,1022.4025569618415,0.9984399970330483,0.003088804103673239,0.0,12.712783624071546,12.712783624071546,4.8165977714543935,4.817144116696885,2.6390706435390396,0.4695377683645665,0.5304622316354335,5.030213695277431,9.201416340706329e-05,True,5,9,4,0.7500000000904058,0.7777600833959278,0.7500000000904057,0.8237847222222222,0.716796875,0.0009538887125695116,0.01738542036696434,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_013/r_1p50/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_013/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-4.5442761100256615,-4.5442761100256615,-4.5442761100256615,-4.133642814385224,-4.954909405666098,0.00032269807123020577,0.0022290449214093485,-3.04650515494707,-3.044276110025661,-4.5442761100256615,0.060389025854551734,4.954672036144286,0.0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,15,0.1,1024,exact_shell_l2_vmf_adaptive_ce_smc,-1.7859313844326763,-1.7859313844326763,-9.737863575587506,-1.7809626297458045,-7.951932191154829,201.1848275913919,40475.33485297808,901.2750800465432,0.8801514453579523,0.0032150530977478158,0.0,1.7072347408082469,1.7072347408082469,7.956684716239309,7.956771448363794,0.21456375263352795,0.11795822463361975,0.8820417753663803,1.836168249343407,1.2920853484398786e-05,True,1,2,0,0.8750964087400297,0.8801808156799014,0.8750964087400297,0.9775390625,0.970703125,0.0006205543907478951,0.01977532719270459,02_dnn/04_sampling/smoke_runs/36_30_30_dense_backend_bakeoff_20260524_145951/raw_outputs/python_8shards_chunk256/sample_payloads/cell_beta_0p05_p_0p00/dataset_000_seed_001234/ref_015/r_0p10/samples.npz,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_015/theta.npy,02_dnn/01_dataset_gen/raw_outputs/36_beta_cell_30_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_001234/dataset.npz,exact_shell_l2_vmf_ce_smc_radial_score_derivative_v1,-25.64378395468227,-25.64378395468227,-25.64378395468227,-25.546871418877664,-25.740696490486886,7.615916369714029e-05,0.0016074279103464569,-25.54539138259262,-25.54378395468227,-25.64378395468227,0.5063708158060972,5.118256601222356,0.0,0.0
