beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.1,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.1,2.0,-2.2103798499638416,,0.720486356308648,610,581.5504080095259
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.1,4.0,-1.8825510498209552,,1.0,1024,917.6783335399523
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.1,6.0,-1.8825510498209552,,1.0,1024,917.6783335399523
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.1,8.0,-1.8825510498209552,,1.0,1024,917.6783335399523
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,1,0.1,inf,-1.8825510498209552,-10.185809067065833,1.0,1024,917.6783335399523
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,2.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,2.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,2.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,2.5,6.0,-26.245124040146823,,0.5331731625494981,535,534.5814274182604
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,2.5,8.0,-25.61621501539961,,1.0,1024,1022.2816550281145
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,2,2.5,inf,-25.61621501539961,-31.601934465555814,1.0,1024,1022.2816550281145
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.5,4.0,-7.8409896124272604,,0.8447265624999997,865,864.9999999999997
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.5,6.0,-7.672247313759686,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.5,8.0,-7.672247313759686,,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,4,0.5,inf,-7.672247313759686,-13.659767579442097,1.0,1024,1024.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,0.01,1.0,-0.006151716845660652,,1.0,1024,1023.9855488083672
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,0.01,2.0,-0.006151716845660652,,1.0,1024,1023.9855488083672
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,0.01,4.0,-0.006151716845660652,,1.0,1024,1023.9855488083672
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,0.01,6.0,-0.006151716845660652,,1.0,1024,1023.9855488083672
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,0.01,8.0,-0.006151716845660652,,1.0,1024,1023.9855488083672
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,6,0.01,inf,-0.006151716845660652,-4.6167155481516975,1.0,1024,1023.9855488083672
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,1.5,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,1.5,2.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,1.5,4.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,1.5,6.0,-19.55402555475684,,0.8939938449639626,791,685.2148934176172
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,1.5,8.0,-19.441969166096737,,1.0,1024,819.7998102247037
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,7,1.5,inf,-19.441969166096737,-24.40741672934802,1.0,1024,819.7998102247037
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,0.1,1.0,-inf,,0.0,0,0.0
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,0.1,2.0,-1.2496360787017582,,0.9970948759606424,1017,960.6102338467286
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,0.1,4.0,-1.2467267265988737,,1.0,1024,965.0750928432026
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,0.1,6.0,-1.2467267265988737,,1.0,1024,965.0750928432026
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,0.1,8.0,-1.2467267265988737,,1.0,1024,965.0750928432026
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_001234,0,9,0.1,inf,-1.2467267265988737,-6.549824958485411,1.0,1024,965.0750928432026
