metric,n,mean_diff_julia_minus_python,ci95_low,ci95_high,equivalence_tolerance_abs,passed
logZ_inf,6,0.09930787872042962,-0.0023087351465759937,0.20092449258743522,10.18,True
logZ_inf_full,6,0.09930787872042823,-0.0023087351465771733,0.20092449258743364,10.18,True
ess_frac,6,0.014839582232975398,-0.030900173895443944,0.060579338361394744,0.15,True
weighted_ce,6,-0.1337062567677614,-0.2747568624329836,0.007344348897460745,0.08,False
weighted_error,6,-0.0009838814058480327,-0.0024774103804080577,0.000509647568711992,0.03,True
weighted_h,6,-0.024239405838153438,-0.046559587552909384,-0.0019192241233974908,0.15,True
dlogZ_inf_dr,6,0.1285597772808196,-0.00932122395038254,0.26644077851202175,10.18,True
ce_ref,6,2.7321894746634712e-17,0.0,2.7321894746634712e-17,1e-07,True
err_ref,6,0.0,0.0,0.0,1e-07,True
theta_ref_norm,6,2.842170943040401e-14,0.0,2.842170943040401e-14,1e-07,True
theta_ref_norm_sq,6,7.275957614183426e-12,0.0,7.275957614183426e-12,1e-07,True
kappa,6,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1e-07,True
log_prefactor,6,0.0,0.0,0.0,1e-07,True
reference_prior_log_weight,6,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1e-07,True
