run,beta,radius,dataset_count,dphi_energy_dr,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,source
30 dataset,0.29,0.01,30,-5.980330183834681e-05,7.0098670812911565e-06,1.4336787942066928e-05,final_proxy_summary
30 dataset,0.29,0.02,30,-0.00015879099037257184,1.712524209955553e-05,3.502505277070986e-05,final_proxy_summary
30 dataset,0.29,0.03,30,-0.00025648897838804113,2.523751137527462e-05,5.161650635837293e-05,final_proxy_summary
30 dataset,0.29,0.04,30,-0.00034484149520156267,3.132892454668881e-05,6.40748451390268e-05,final_proxy_summary
30 dataset,0.29,0.05,30,-0.0004207889681009585,3.610802064588561e-05,7.384919414370487e-05,final_proxy_summary
30 dataset,0.29,0.06,30,-0.0004864076184383821,3.9837711813390476e-05,8.147726907548636e-05,final_proxy_summary
30 dataset,0.29,0.07,30,-0.0005430344859459221,4.2857570172829435e-05,8.765357290725315e-05,final_proxy_summary
30 dataset,0.29,0.08,30,-0.000590361390153697,4.521213694775143e-05,9.246920266970442e-05,final_proxy_summary
30 dataset,0.29,0.09,30,-0.0006306928933283184,4.708339570933586e-05,9.629635655699743e-05,final_proxy_summary
30 dataset,0.29,0.1,30,-0.0006641127937701736,4.850010674038626e-05,9.919385595203809e-05,final_proxy_summary
30 dataset,0.29,0.11,30,-0.0006940990824961425,4.970285040684625e-05,0.00010165374295056943,final_proxy_summary
30 dataset,0.29,0.12,30,-0.000719210798655361,5.06673075390093e-05,0.0001036262792658356,final_proxy_summary
30 dataset,0.29,0.13,30,-0.0007412707294534448,5.146691619217709e-05,0.00010526166258540017,final_proxy_summary
30 dataset,0.29,0.14,30,-0.0007602256809175589,5.181504519895757e-05,0.00010597366634935382,final_proxy_summary
30 dataset,0.29,0.15,30,-0.0007790323551723979,5.245625184513395e-05,0.00010728508118884624,final_proxy_summary
30 dataset,0.29,0.16,30,-0.0007940115917097051,5.2818132985398486e-05,0.00010802521122384406,final_proxy_summary
30 dataset,0.29,0.17,30,-0.000808902234353519,5.3052370304880705e-05,0.0001085042803329428,final_proxy_summary
30 dataset,0.29,0.18,30,-0.000821291265713446,5.3132160247568835e-05,0.00010866746908887264,final_proxy_summary
30 dataset,0.29,0.19,30,-0.0008343284103937473,5.3330679095172503e-05,0.00010907348572051369,final_proxy_summary
