metric,run,beta,radius,dataset_count,mean,sem,ci95_half_width,ci95_low,ci95_high,source
phi_energy,30 dataset,0.29,0.01,30,-0.0004308731531333269,2.9132677235538707e-05,5.9583015036808375e-05,-0.0004904561681701353,-0.0003712901380965185,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.02,30,-0.0004319631346338129,2.921433093641169e-05,5.975001560622363e-05,-0.0004917131502400365,-0.00037221311902758925,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.03,30,-0.00043404349738538413,2.9376119022133662e-05,6.008090939488612e-05,-0.0004941244067802702,-0.000373962587990498,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.04,30,-0.0004370657554147866,2.9600902711527244e-05,6.054064365950182e-05,-0.0004976063990742884,-0.00037652511175528477,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.05,30,-0.0004408966926588812,2.9876224103280654e-05,6.110373913102913e-05,-0.0005020004317899103,-0.00037979295352785205,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.06,30,-0.0004454374695176926,3.0183402592237016e-05,6.173198968206821e-05,-0.0005071694591997608,-0.0003837054798356244,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.07,30,-0.00045061289679295465,3.051968726914425e-05,6.24197690714739e-05,-0.0005130326658644286,-0.00038819312772148075,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.08,30,-0.00045628546675716234,3.086901617504688e-05,6.313422690467976e-05,-0.0005194196936618421,-0.00039315123985248255,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.09,30,-0.00046238349333717365,3.123412307727409e-05,6.388095436366209e-05,-0.0005262644477008357,-0.00039850253897351156,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.1,30,-0.00046881274411109613,3.1616721585447986e-05,6.466345617361509e-05,-0.0005334762002847112,-0.000404149287937481,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.11,30,-0.00047564737846027364,3.199786678578632e-05,6.544298563530365e-05,-0.0005410903640955773,-0.00041020439282497,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.12,30,-0.0004827226912500579,3.2384543718872355e-05,6.623382876078018e-05,-0.0005489565200108381,-0.0004164888624892777,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.13,30,-0.0004900323180643156,3.27927271195435e-05,6.706865755125933e-05,-0.0005571009756155749,-0.00042296366051305625,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.14,30,-0.0004975172964142544,3.3172026877446835e-05,6.7844412659377e-05,-0.0005653617090736314,-0.0004296728837548774,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.15,30,-0.0005052869214078055,3.358078634509478e-05,6.868041963911295e-05,-0.0005739673410469185,-0.00043660650176869254,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.16,30,-0.0005131296828328386,3.3988796660573916e-05,6.95148944306268e-05,-0.0005826445772634654,-0.00044361478840221184,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.17,30,-0.0005211738528311413,3.438970598456604e-05,7.033484606386287e-05,-0.0005915086988950042,-0.00045083900676727844,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.18,30,-0.0005292691738556218,3.478030043570295e-05,7.113370141338064e-05,-0.0006004028752690024,-0.0004581354724422412,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
