metric,beta,run,window,n_radius,dataset_count_min,dataset_count_max,mean_ci95_half_width,max_ci95_half_width
phi_energy,0.29,30 dataset,d_0p01_to_0p10,10,30,30,6.168887190239482e-05,6.466345617361509e-05
phi_energy,0.29,30 dataset,d_0p01_to_0p30,30,30,30,6.932378133374816e-05,8.079466225915043e-05
phi_energy,0.29,60 dataset,d_0p01_to_0p10,10,60,60,4.425589602446716e-05,4.614165926863765e-05
phi_energy,0.29,60 dataset,d_0p01_to_0p30,30,60,60,4.898006736231754e-05,5.59218935272896e-05
phi_energy,0.29,90 dataset,d_0p01_to_0p10,10,90,90,3.317245033121286e-05,3.462245722104737e-05
phi_energy,0.29,90 dataset,d_0p01_to_0p30,30,90,90,3.682861331679678e-05,4.222274861338641e-05
phi_energy,0.31,30 dataset,d_0p01_to_0p10,10,30,30,5.4525114512013855e-05,5.7215902456211e-05
phi_energy,0.31,30 dataset,d_0p01_to_0p30,30,30,30,6.245997355428517e-05,7.554237494346349e-05
phi_energy,0.31,60 dataset,d_0p01_to_0p10,10,60,60,3.418426961682119e-05,3.581685185829645e-05
phi_energy,0.31,60 dataset,d_0p01_to_0p30,30,60,60,3.9129770895721855e-05,4.742616206724793e-05
phi_energy,0.31,90 dataset,d_0p01_to_0p10,10,90,90,2.444925681780774e-05,2.5602833478494016e-05
phi_energy,0.31,90 dataset,d_0p01_to_0p30,30,90,90,2.799757169868607e-05,3.4003797063402916e-05
phi_energy,0.33,30 dataset,d_0p01_to_0p10,10,30,30,6.107361415655613e-05,6.316080323918592e-05
phi_energy,0.33,30 dataset,d_0p01_to_0p30,30,30,30,6.696423795833276e-05,7.719492632180303e-05
phi_energy,0.33,60 dataset,d_0p01_to_0p10,10,60,60,3.5489296087245845e-05,3.670672108195528e-05
phi_energy,0.33,60 dataset,d_0p01_to_0p30,30,60,60,3.8982500261356334e-05,4.506203176944532e-05
phi_energy,0.33,90 dataset,d_0p01_to_0p10,10,90,90,2.565146960806023e-05,2.6562013272869207e-05
phi_energy,0.33,90 dataset,d_0p01_to_0p30,30,90,90,2.8628363657436234e-05,3.411724480043178e-05
phi_energy,0.35,30 dataset,d_0p01_to_0p10,10,30,30,5.335359297614655e-05,5.555167752283209e-05
phi_energy,0.35,30 dataset,d_0p01_to_0p30,30,30,30,6.0032501948444286e-05,7.152866495710783e-05
phi_energy,0.35,60 dataset,d_0p01_to_0p10,10,60,60,3.361563736619362e-05,3.5013344985196685e-05
phi_energy,0.35,60 dataset,d_0p01_to_0p30,30,60,60,3.811329903462285e-05,4.61098774945845e-05
phi_energy,0.35,90 dataset,d_0p01_to_0p10,10,90,90,2.4203513699379196e-05,2.520688772668959e-05
phi_energy,0.35,90 dataset,d_0p01_to_0p30,30,90,90,2.7607470635558186e-05,3.3877197098766264e-05
phi_energy,0.37,30 dataset,d_0p01_to_0p10,10,30,30,4.5344021014088e-05,4.7436569500210795e-05
phi_energy,0.37,30 dataset,d_0p01_to_0p30,30,30,30,5.208785046573741e-05,6.416565372073077e-05
phi_energy,0.37,60 dataset,d_0p01_to_0p10,10,60,60,2.8731913360532538e-05,2.989021510980429e-05
phi_energy,0.37,60 dataset,d_0p01_to_0p30,30,60,60,3.260832840666797e-05,3.983680065470553e-05
phi_energy,0.37,90 dataset,d_0p01_to_0p10,10,90,90,2.0719772011964572e-05,2.1558834089215745e-05
phi_energy,0.37,90 dataset,d_0p01_to_0p30,30,90,90,2.366150831547103e-05,2.9286986775447165e-05
phi_energy,0.39,30 dataset,d_0p01_to_0p10,10,30,30,4.5525696456486044e-05,4.713961001811966e-05
phi_energy,0.39,30 dataset,d_0p01_to_0p30,30,30,30,5.071844275364405e-05,6.0667066552216246e-05
phi_energy,0.39,60 dataset,d_0p01_to_0p10,10,60,60,2.724738012759594e-05,2.829838635723251e-05
phi_energy,0.39,60 dataset,d_0p01_to_0p30,30,60,60,3.0625049000164e-05,3.6910747626627243e-05
phi_energy,0.39,90 dataset,d_0p01_to_0p10,10,90,90,2.026416441983073e-05,2.1060714035603964e-05
phi_energy,0.39,90 dataset,d_0p01_to_0p30,30,90,90,2.2914942198809967e-05,2.787687549152208e-05
dphi_energy_dr,0.29,30 dataset,d_0p01_to_0p10,10,30,30,6.959926435153609e-05,9.919385595203809e-05
dphi_energy_dr,0.29,30 dataset,d_0p01_to_0p30,30,30,30,9.496274635182861e-05,0.00010949090964023199
dphi_energy_dr,0.29,60 dataset,d_0p01_to_0p10,10,60,60,4.2547494605784786e-05,6.036702647931323e-05
dphi_energy_dr,0.29,60 dataset,d_0p01_to_0p30,30,60,60,5.8524661045080603e-05,6.804514463760032e-05
dphi_energy_dr,0.29,90 dataset,d_0p01_to_0p10,10,90,90,3.197061016983362e-05,4.5778116273659234e-05
dphi_energy_dr,0.29,90 dataset,d_0p01_to_0p30,30,90,90,4.452916616354409e-05,5.26152119587244e-05
dphi_energy_dr,0.31,30 dataset,d_0p01_to_0p10,10,30,30,6.92703505923057e-05,0.00010944939228159622
dphi_energy_dr,0.31,30 dataset,d_0p01_to_0p30,30,30,30,0.00011658177974032752,0.00015266099775899225
dphi_energy_dr,0.31,60 dataset,d_0p01_to_0p10,10,60,60,4.1526210087407244e-05,6.529809051408288e-05
dphi_energy_dr,0.31,60 dataset,d_0p01_to_0p30,30,60,60,7.016405608379278e-05,9.305135496362898e-05
dphi_energy_dr,0.31,90 dataset,d_0p01_to_0p10,10,90,90,2.999852085563592e-05,4.730282676669016e-05
dphi_energy_dr,0.31,90 dataset,d_0p01_to_0p30,30,90,90,5.106797010570169e-05,6.835409194673624e-05
dphi_energy_dr,0.33,30 dataset,d_0p01_to_0p10,10,30,30,5.773980534979656e-05,8.516917641245014e-05
dphi_energy_dr,0.33,30 dataset,d_0p01_to_0p30,30,30,30,0.00010093677492212754,0.00013938212201243422
dphi_energy_dr,0.33,60 dataset,d_0p01_to_0p10,10,60,60,3.351752644563541e-05,5.078864056703902e-05
dphi_energy_dr,0.33,60 dataset,d_0p01_to_0p30,30,60,60,5.943471131184614e-05,8.325518204701089e-05
dphi_energy_dr,0.33,90 dataset,d_0p01_to_0p10,10,90,90,3.384417894096532e-05,5.153277019808853e-05
dphi_energy_dr,0.33,90 dataset,d_0p01_to_0p30,30,90,90,5.626861204590891e-05,7.50130046762887e-05
dphi_energy_dr,0.35,30 dataset,d_0p01_to_0p10,10,30,30,6.154292527632823e-05,9.602504483091477e-05
dphi_energy_dr,0.35,30 dataset,d_0p01_to_0p30,30,30,30,0.00010657235866250923,0.0001519465200023921
dphi_energy_dr,0.35,60 dataset,d_0p01_to_0p10,10,60,60,3.9537762310633655e-05,6.336989342450992e-05
dphi_energy_dr,0.35,60 dataset,d_0p01_to_0p30,30,60,60,7.19072546680026e-05,0.00010156413287810804
dphi_energy_dr,0.35,90 dataset,d_0p01_to_0p10,10,90,90,3.0659021068414475e-05,5.04755595015518e-05
dphi_energy_dr,0.35,90 dataset,d_0p01_to_0p30,30,90,90,5.817776351170373e-05,8.319759293269465e-05
dphi_energy_dr,0.37,30 dataset,d_0p01_to_0p10,10,30,30,5.9045937579789734e-05,9.812778040203403e-05
dphi_energy_dr,0.37,30 dataset,d_0p01_to_0p30,30,30,30,0.00011479457874172674,0.0001673626599453276
dphi_energy_dr,0.37,60 dataset,d_0p01_to_0p10,10,60,60,3.5541013121206125e-05,6.0645911182624855e-05
dphi_energy_dr,0.37,60 dataset,d_0p01_to_0p30,30,60,60,7.183578609750971e-05,0.0001048800020914759
dphi_energy_dr,0.37,90 dataset,d_0p01_to_0p10,10,90,90,2.9173010832859698e-05,4.925755667886573e-05
dphi_energy_dr,0.37,90 dataset,d_0p01_to_0p30,30,90,90,5.621367934889781e-05,7.982494576701389e-05
dphi_energy_dr,0.39,30 dataset,d_0p01_to_0p10,10,30,30,6.490087637007695e-05,0.00010569050002006713
dphi_energy_dr,0.39,30 dataset,d_0p01_to_0p30,30,30,30,0.00011994754539361597,0.00016536921399902215
dphi_energy_dr,0.39,60 dataset,d_0p01_to_0p10,10,60,60,3.643251237269467e-05,5.993034791789042e-05
dphi_energy_dr,0.39,60 dataset,d_0p01_to_0p30,30,60,60,6.85490487286405e-05,9.658362588456877e-05
dphi_energy_dr,0.39,90 dataset,d_0p01_to_0p10,10,90,90,2.6786271542037744e-05,4.426570189168193e-05
dphi_energy_dr,0.39,90 dataset,d_0p01_to_0p30,30,90,90,5.095707985481362e-05,7.229537075497373e-05
d2phi_energy_dr2,0.29,30 dataset,d_0p01_to_0p10,10,30,30,0.005198735975371426,0.007001155572834533
d2phi_energy_dr2,0.29,30 dataset,d_0p01_to_0p30,30,30,30,0.007058200419138596,0.015217738643849201
d2phi_energy_dr2,0.29,60 dataset,d_0p01_to_0p10,10,60,60,0.0031785621203487486,0.0042735448348418985
d2phi_energy_dr2,0.29,60 dataset,d_0p01_to_0p30,30,60,60,0.004353345946829377,0.009611710416729152
d2phi_energy_dr2,0.29,90 dataset,d_0p01_to_0p10,10,90,90,0.0023867943297602866,0.0032291761902398237
d2phi_energy_dr2,0.29,90 dataset,d_0p01_to_0p30,30,90,90,0.0033134680911856796,0.007435768307598782
d2phi_energy_dr2,0.31,30 dataset,d_0p01_to_0p10,10,30,30,0.005153260923826919,0.007758408181240546
d2phi_energy_dr2,0.31,30 dataset,d_0p01_to_0p30,30,30,30,0.008682297429801837,0.021536071072690188
d2phi_energy_dr2,0.31,60 dataset,d_0p01_to_0p10,10,60,60,0.0030906463989247932,0.004607787487151978
d2phi_energy_dr2,0.31,60 dataset,d_0p01_to_0p30,30,60,60,0.005228958328342434,0.01314472186149394
d2phi_energy_dr2,0.31,90 dataset,d_0p01_to_0p10,10,90,90,0.0022323909360362306,0.0033299269403240634
d2phi_energy_dr2,0.31,90 dataset,d_0p01_to_0p30,30,90,90,0.0038068847845684284,0.009643361958461142
d2phi_energy_dr2,0.33,30 dataset,d_0p01_to_0p10,10,30,30,0.004334514080208133,0.006035008949570314
d2phi_energy_dr2,0.33,30 dataset,d_0p01_to_0p30,30,30,30,0.00754462935646824,0.019669770597054465
d2phi_energy_dr2,0.33,60 dataset,d_0p01_to_0p10,10,60,60,0.0025090715235260293,0.0035781361222134763
d2phi_energy_dr2,0.33,60 dataset,d_0p01_to_0p30,30,60,60,0.004442986995223204,0.011754720078810852
d2phi_energy_dr2,0.33,90 dataset,d_0p01_to_0p10,10,90,90,0.0025261917833143146,0.003637384800367258
d2phi_energy_dr2,0.33,90 dataset,d_0p01_to_0p30,30,90,90,0.004197639990433428,0.01059473958300874
d2phi_energy_dr2,0.35,30 dataset,d_0p01_to_0p10,10,30,30,0.004583805194453159,0.006787646518039239
d2phi_energy_dr2,0.35,30 dataset,d_0p01_to_0p30,30,30,30,0.00796486962083309,0.02132266331623512
d2phi_energy_dr2,0.35,60 dataset,d_0p01_to_0p10,10,60,60,0.0029449789372443793,0.004476795603484149
d2phi_energy_dr2,0.35,60 dataset,d_0p01_to_0p30,30,60,60,0.005369998033311824,0.014312900615832803
d2phi_energy_dr2,0.35,90 dataset,d_0p01_to_0p10,10,90,90,0.0022828143218429665,0.0035768159307819165
d2phi_energy_dr2,0.35,90 dataset,d_0p01_to_0p30,30,90,90,0.00434472219486089,0.011720041918369414
d2phi_energy_dr2,0.37,30 dataset,d_0p01_to_0p10,10,30,30,0.004393255118701511,0.006941335859827888
d2phi_energy_dr2,0.37,30 dataset,d_0p01_to_0p30,30,30,30,0.008578389084110311,0.023577219363961375
d2phi_energy_dr2,0.37,60 dataset,d_0p01_to_0p10,10,60,60,0.0026447008812853405,0.004296538220847757
d2phi_energy_dr2,0.37,60 dataset,d_0p01_to_0p30,30,60,60,0.005366658726018851,0.014786908713350096
d2phi_energy_dr2,0.37,90 dataset,d_0p01_to_0p10,10,90,90,0.0021697683241358686,0.00347576134712152
d2phi_energy_dr2,0.37,90 dataset,d_0p01_to_0p30,30,90,90,0.004195819906602037,0.011267751974534744
d2phi_energy_dr2,0.39,30 dataset,d_0p01_to_0p10,10,30,30,0.004833436078988234,0.007468464043185028
d2phi_energy_dr2,0.39,30 dataset,d_0p01_to_0p30,30,30,30,0.008947596777925046,0.0233716841523554
d2phi_energy_dr2,0.39,60 dataset,d_0p01_to_0p10,10,60,60,0.0027115774698185675,0.004245102058774616
d2phi_energy_dr2,0.39,60 dataset,d_0p01_to_0p30,30,60,60,0.005116604813015672,0.013639627918535235
d2phi_energy_dr2,0.39,90 dataset,d_0p01_to_0p10,10,90,90,0.0019937184987544815,0.003137720636108906
d2phi_energy_dr2,0.39,90 dataset,d_0p01_to_0p30,30,90,90,0.0038039320542547304,0.010192179770647356
