beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.05,0.01,1800,-4.605274611369146,-0.0019139225071797502,-4.605274611369146,-0.0019139225071797502,-4.603364767185276,-4.078323310273049e-06,-4.604797984115958,-0.0014372952539916915,-4.603364755318727,-0.0019098441838694769,24740.2170500544,-4.603360688861966,1800,-1.8823036212882849,1.8458118172116749,99.95996766065961,-0.0007396084955946109,99.96070726915521,pass
0.05,0.02,1800,-3.9124145405114126,-0.0019286757533757532,-3.9124145405114126,-0.0019286757533757532,-3.910504696327543,-1.883156950627645e-05,-3.911931870225721,-0.0014460054676842815,-3.91050444420388,-0.0019098441838694769,24740.2170500544,-3.9104858647580367,1800,-5.772197027581136,3.970770765799552,49.97808558073572,-0.0022680538418786388,49.980353634577604,pass
0.05,0.03,1800,-3.507139490442184,-0.0019594154787136234,-3.507139490442184,-0.0019594154787136234,-3.505229646258315,-4.957129484414642e-05,-3.506645990602661,-0.0014659156391904338,-3.505228372775464,-0.0019098441838694769,24740.217050054398,-3.5051800749634707,1800,-9.793599514938728,5.367913068154562,33.31638758368765,-0.003848172697421897,33.320235756385074,pass
0.05,0.04,1800,-3.219615819253243,-0.0020047785991362736,-3.219615819253243,-0.0020047785991362736,-3.2177059750693737,-9.493441526679649e-05,-3.2191085270040145,-0.001497486349907721,-3.2177024570994077,-0.0019098441838694769,24740.217050054398,-3.217611040654107,1800,-13.205213800663632,6.149163855637449,24.984988128172628,-0.005188689116174315,24.990176817288802,pass
0.05,0.05,1800,-2.9966173894155905,-0.002062220880678154,-2.9966173894155905,-0.002062220880678154,-2.994707545231721,-0.0001523766968086772,-2.996094567390621,-0.0015393988557088419,-2.994700354707392,-0.0019098441838694769,24740.217050054398,-2.9945551685349123,1800,-15.91612973543145,6.591234114774117,19.98588757181319,-0.0062538820178512575,19.992141453831042,pass
0.05,0.06,1800,-2.8144342838273713,-0.0021290329678301544,-2.8144342838273713,-0.0021290329678301544,-2.812524439643502,-0.00021918878396067734,-2.813894803225352,-0.001589552365810919,-2.812512115468534,-0.0019098441838694769,24740.217050054398,-2.812305250859541,1800,-17.981105522561567,6.833633540753664,16.65305261079664,-0.007065267395898455,16.660117878192537,pass
0.05,0.07,1800,-2.6604180376030393,-0.002202896559036964,-2.6604180376030393,-0.002202896559036964,-2.65850819341917,-0.0002930523751674869,-2.6598612430638107,-0.001646102019808257,-2.6584893530038674,-0.0019098441838694769,24740.217050054398,-2.6582151410440025,1800,-19.522541744647693,6.969788968844754,14.272430098668956,-0.007670939781786913,14.280101038450743,pass
0.05,0.08,1800,-2.527018113779063,-0.0022818972288853605,-2.527018113779063,-0.0022818972288853605,-2.5251082695951936,-0.00037205304501588345,-2.5264437446969543,-0.0017075281467768444,-2.5250817159144883,-0.0019098441838694769,24740.217050054398,-2.5247362165501777,1800,-20.636153672915153,7.023017438350474,12.486979900324984,-0.008108508319416563,12.495088408644401,pass
0.05,0.09,1800,-2.4093641832614416,-0.0023647221964660913,-2.4093641832614416,-0.0023647221964660913,-2.4074543390775722,-0.00045487801259661427,-2.40877162639762,-0.0017721653326447948,-2.4074188058140837,-0.0019098441838694769,24740.217050054398,-2.4069994610649754,1800,-21.42709978074555,7.05819739317199,11.098325959483663,-0.008419292644693733,11.106745252128357,pass
0.05,0.1,1800,-2.3041303113886906,-0.002449966957707781,-2.3041303113886906,-0.002449966957707781,-2.302220467204821,-0.0005401227738383043,-2.303519556767144,-0.0018392123361609099,-2.3021750477112066,-0.0019098441838694769,24740.217050054398,-2.301680344430983,1800,-21.949461020140102,7.047585883513197,9.987446184274994,-0.008624542640526563,9.996070726915521,pass
