beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.05,0.01,1800,-2.3011442999804554,0.0005360444505280312,-2.3011442999804554,0.0005360444505280313,-1.0842021724855044e-19,-2.3016803444309835,pass
0.05,0.02,1800,-1.6082842291227217,0.0005212912043320279,-1.6082842291227217,0.0005212912043320279,0.0,-1.6088055203270537,pass
0.05,0.03,1800,-1.2030091790534936,0.0004905514789941579,-1.2030091790534936,0.0004905514789941579,0.0,-1.2034997305324877,pass
0.05,0.04,1800,-0.9154855078645524,0.00044518835857150783,-0.9154855078645524,0.00044518835857150783,0.0,-0.915930696223124,pass
0.05,0.05,1800,-0.6924870780268999,0.000387746077029627,-0.6924870780268999,0.000387746077029627,0.0,-0.6928748241039295,pass
0.05,0.06,1800,-0.5103039724386804,0.00032093398987762694,-0.5103039724386804,0.0003209339898776269,5.421010862427522e-20,-0.5106249064285581,pass
0.05,0.07,1800,-0.3562877262143488,0.00024707039867081734,-0.3562877262143488,0.00024707039867081734,0.0,-0.3565347966130196,pass
0.05,0.08,1800,-0.222887802390372,0.00016806972882242078,-0.222887802390372,0.00016806972882242078,0.0,-0.22305587211919442,pass
0.05,0.09,1800,-0.10523387187275059,8.524476124169e-05,-0.10523387187275059,8.524476124169e-05,0.0,-0.10531911663399228,pass
0.05,0.1,1800,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.05,0.11,1800,0.09518588474898892,-8.68450829176073e-05,0.09518588474898892,-8.68450829176073e-05,0.0,0.09527272983190653,pass
0.05,0.12,1800,0.1820750785858446,-0.00017483908952689969,0.1820750785858446,-0.00017483908952689977,8.131516293641283e-20,0.1822499176753715,pass
0.05,0.13,1800,0.26199794147603056,-0.0002632329071903555,0.26199794147603056,-0.0002632329071903555,0.0,0.26226117438322094,pass
0.05,0.14,1800,0.3359886610530273,-0.00035136643788263183,0.3359886610530273,-0.0003513664378826317,-1.0842021724855044e-19,0.33634002749090997,pass
0.05,0.15,1800,0.40486645139786925,-0.00043933839669644213,0.40486645139786925,-0.00043933839669644213,0.0,0.4053057897945657,pass
0.05,0.16,1800,0.4692926517729917,-0.0005263002117434747,0.4692926517729917,-0.0005263002117434747,0.0,0.46981895198473517,pass
0.05,0.17,1800,0.5298069020625054,-0.0006128506691887039,0.5298069020625054,-0.000612850669188704,1.0842021724855044e-19,0.5304197527316941,pass
0.05,0.18,1800,0.5868574006019411,-0.0006983068679962018,0.5868574006019411,-0.0006983068679962018,0.0,0.5875557074699373,pass
0.05,0.19,1800,0.6408190976661042,-0.000782586586379893,0.6408190976661042,-0.0007825865863798929,-1.0842021724855044e-19,0.6416016842524841,pass
0.05,0.2,1800,0.6920092121223012,-0.0008656119816283863,0.6920092121223012,-0.0008656119816283863,0.0,0.6928748241039295,pass
0.05,0.21,1800,0.7406980626294847,-0.0009477546559908483,0.7406980626294847,-0.0009477546559908483,0.0,0.7416458172854755,pass
0.05,0.22,1800,0.7871192950221682,-0.0010282589136679503,0.7871192950221682,-0.0010282589136679503,0.0,0.7881475539358361,pass
0.05,0.23,1800,0.8314734939879106,-0.0011083562073366275,0.8314734939879106,-0.0011083562073366275,0.0,0.8325818501952472,pass
0.05,0.24,1800,0.8739383221074303,-0.0011864196718707211,0.8739383221074303,-0.001186419671870721,-2.168404344971009e-19,0.875124741779301,pass
0.05,0.25,1800,0.9146674664239571,-0.0012632297991668417,0.9146674664239571,-0.0012632297991668417,0.0,0.915930696223124,pass
0.05,0.26,1800,0.953797047606576,-0.001338950880574408,0.953797047606576,-0.001338950880574408,0.0,0.9551359984871505,pass
0.05,0.27,1800,0.9914482029394606,-0.0014132943250427345,0.9914482029394606,-0.0014132943250427345,0.0,0.9928614972645033,pass
0.05,0.28,1800,1.0277288944325529,-0.0014859571622866468,1.0277288944325529,-0.0014859571622866468,0.0,1.0292148515948396,pass
0.05,0.29,1800,1.062734815001967,-0.001557568066299123,1.062734815001967,-0.001557568066299123,0.0,1.0642923830682662,pass
0.05,0.3,1800,1.0965521329917631,-0.0016284809067320732,1.0965521329917631,-0.0016284809067320732,0.0,1.0981806138984953,pass
0.05,0.31,1800,1.1292597918343827,-0.001697760870276957,1.1292597918343827,-0.0016977608702769566,-4.336808689942018e-19,1.1309575527046598,pass
0.05,0.32,1800,1.160927616501385,-0.0017661595872797483,1.160927616501385,-0.0017661595872797483,0.0,1.1626937760886649,pass
0.05,0.33,1800,1.1916207671236856,-0.0018325766067165273,1.1916207671236856,-0.0018325766067165273,0.0,1.193453343730402,pass
0.05,0.34,1800,1.2213957657249164,-0.0018988111107071236,1.2213957657249164,-0.0018988111107071236,0.0,1.2232945768356236,pass
