beta,radius,ref_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,claim
0.05,0.01,1800,99.95996766065961,-0.0007396084955946109,99.96070726915521,-1.8823036212882849,1.8458118172116749,pass
0.05,0.02,1800,49.97808558073572,-0.0022680538418786388,49.980353634577604,-5.772197027581136,3.970770765799552,pass
0.05,0.03,1800,33.31638758368765,-0.003848172697421897,33.320235756385074,-9.793599514938728,5.367913068154562,pass
0.05,0.04,1800,24.984988128172628,-0.005188689116174315,24.990176817288802,-13.205213800663632,6.149163855637449,pass
0.05,0.05,1800,19.98588757181319,-0.0062538820178512575,19.992141453831042,-15.91612973543145,6.591234114774117,pass
0.05,0.06,1800,16.65305261079664,-0.007065267395898455,16.660117878192537,-17.981105522561567,6.833633540753664,pass
0.05,0.07,1800,14.272430098668956,-0.007670939781786913,14.280101038450743,-19.522541744647693,6.969788968844754,pass
0.05,0.08,1800,12.486979900324984,-0.008108508319416563,12.495088408644401,-20.636153672915153,7.023017438350474,pass
0.05,0.09,1800,11.098325959483663,-0.008419292644693733,11.106745252128357,-21.42709978074555,7.05819739317199,pass
0.05,0.1,1800,9.987446184274994,-0.008624542640526563,9.996070726915521,-21.949461020140102,7.047585883513197,pass
0.05,0.11,1800,9.078586662529133,-0.008750361939523185,9.087337024468656,-22.269671136086505,7.023816508447795,pass
0.05,0.12,1800,8.321244805671165,-0.008814133425103822,8.330058939096268,-22.431969566889226,6.996673204481357,pass
0.05,0.13,1800,7.680451596004002,-0.008833578546397401,7.6892851745504,-22.481457400581387,6.952440092560104,pass
0.05,0.14,1800,7.131239433759281,-0.008811085466090733,7.140050519225372,-22.424212511200917,6.911000288328754,pass
0.05,0.15,1800,6.655285961348655,-0.008761189928359229,6.664047151277014,-22.297228367674236,6.848327906808564,pass
0.05,0.16,1800,6.238857906897356,-0.008686297424844896,6.2475442043222005,-22.10662694623026,6.789720148463493,pass
0.05,0.17,1800,5.871445338795899,-0.008596265272053634,5.880041604067953,-21.877495117376498,6.722424571797916,pass
0.05,0.18,1800,5.544878536246614,-0.008494089817564566,5.553372626064179,-21.617458585701822,6.649164621858626,pass
0.05,0.19,1800,5.2527083248496425,-0.00838153142168459,5.261089856271327,-21.33099746818728,6.590189363870889,pass
