beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.06,0.01,100,-2.301287644452338,0.00039269997864530297,-2.301287644452338,0.0003926999786453029,5.421010862427522e-20,-2.3016803444309835,pass
0.06,0.02,100,-1.608422288738166,0.00038323158888762946,-1.608422288738166,0.00038323158888762946,0.0,-1.6088055203270537,pass
0.06,0.03,100,-1.2031371460858693,0.00036258444661850753,-1.2031371460858693,0.00036258444661850753,0.0,-1.2034997305324877,pass
0.06,0.04,100,-0.9155999300579043,0.00033076616521968794,-0.9155999300579043,0.0003307661652196879,5.421010862427522e-20,-0.915930696223124,pass
0.06,0.05,100,-0.6925852430836782,0.0002895810202513639,-0.6925852430836782,0.0002895810202513639,0.0,-0.6928748241039295,pass
0.06,0.06,100,-0.5103840572776971,0.00024084915086099596,-0.5103840572776971,0.00024084915086099596,0.0,-0.5106249064285581,pass
0.06,0.07,100,-0.3563485709964491,0.00018622561657051213,-0.3563485709964491,0.00018622561657051216,-2.710505431213761e-20,-0.3565347966130196,pass
0.06,0.08,100,-0.22292900873232782,0.00012686338686660183,-0.22292900873232782,0.00012686338686660183,0.0,-0.22305587211919442,pass
0.06,0.09,100,-0.10525444537278433,6.467126120794867e-05,-0.10525444537278433,6.467126120794865e-05,1.3552527156068805e-20,-0.10531911663399228,pass
0.06,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.1,0.01,100,-2.3013482953476654,0.0003320490833182359,-2.3013482953476654,0.0003320490833182359,0.0,-2.3016803444309835,pass
0.1,0.02,100,-1.6084817613064466,0.0003237590206070611,-1.6084817613064466,0.00032375902060706116,-5.421010862427522e-20,-1.6088055203270537,pass
0.1,0.03,100,-1.2031936031490418,0.0003061273834459839,-1.2031936031490418,0.00030612738344598385,5.421010862427522e-20,-1.2034997305324877,pass
0.1,0.04,100,-0.9156514373045246,0.0002792589185993462,-0.9156514373045246,0.0002792589185993462,0.0,-0.915930696223124,pass
0.1,0.05,100,-0.6926301716455361,0.00024465245839345285,-0.6926301716455361,0.00024465245839345285,0.0,-0.6928748241039295,pass
0.1,0.06,100,-0.5104214704650626,0.00020343596349551996,-0.5104214704650626,0.00020343596349551996,0.0,-0.5106249064285581,pass
