beta,radius,ref_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,claim
0.06,0.01,100,99.96024132932945,-0.00046593982576565633,99.96070726915521,-1.1858168565735954,0.5629316247100065,pass
0.06,0.02,100,49.978867463278014,-0.0014861712995870092,49.980353634577604,-3.7823059574489384,1.7351479849644336,pass
0.06,0.03,100,33.3175920403757,-0.0026437160093711037,33.320235756385074,-6.728257243849459,2.7767365011994465,pass
0.06,0.04,100,24.98649420979167,-0.003682607497132273,24.990176817288802,-9.372236080201635,3.5833778454178495,pass
0.06,0.05,100,19.987607234696103,-0.0045342191349402065,19.992141453831042,-11.539587698422825,4.123228440979417,pass
0.06,0.06,100,16.654920314659318,-0.005197563533220474,16.660117878192537,-13.227799192046106,4.460244320186364,pass
0.06,0.07,100,14.274395990870923,-0.005705047579819217,14.280101038450743,-14.519346090639909,4.724067498173947,pass
0.06,0.08,100,12.488995807876536,-0.0060926007678638655,12.495088408644401,-15.505668954213538,4.901540909513278,pass
0.06,0.09,100,11.100380466590831,-0.006364785537525515,11.106745252128357,-16.198379193002435,5.018697744392535,pass
0.06,0.1,100,9.989516213953998,-0.006554512961522857,9.996070726915521,-16.68123548707567,5.091254588016533,pass
0.1,0.01,100,99.96029045887622,-0.00041681027898574324,99.96070726915521,-1.0607821600187166,0.5725640056056464,pass
0.1,0.02,100,49.97907101126988,-0.0012826233077228282,49.980353634577604,-3.264276318154598,1.4667179430236086,pass
0.1,0.03,100,33.31799138402367,-0.002244372361400055,33.320235756385074,-5.71192765976314,2.2210023658812723,pass
0.1,0.04,100,24.987068835104726,-0.003107982184077252,24.990176817288802,-7.9098146584766065,2.8078843925927317,pass
0.1,0.05,100,19.988328211378022,-0.003813242453019161,19.992141453831042,-9.704702042933764,3.2228218889417644,pass
0.1,0.06,100,16.65573754804347,-0.004380330149069229,16.660117878192537,-11.147940229381188,3.5562352368542123,pass
0.1,0.07,100,14.275290413208541,-0.004810625242202524,14.280101038450743,-12.243041241405423,3.785550007739264,pass
0.1,0.08,100,12.489954102673407,-0.005134305970994513,12.495088408644401,-13.066808696181035,3.9537934388044227,pass
0.1,0.09,100,11.101368289497108,-0.0053769626312497034,11.106745252128357,-13.684369896530495,4.109573202963171,pass
0.1,0.1,100,9.990517608314498,-0.00555311860102238,9.996070726915521,-14.13268683960196,4.216731741379531,pass
0.14,0.01,100,99.96043037183018,-0.0002768973250188417,99.96070726915521,-0.7047036921729521,0.20997963523628094,pass
0.14,0.02,100,49.9795972032457,-0.0007564313319024394,49.980353634577604,-1.925117739691708,0.5912327775696365,pass
0.14,0.03,100,33.318925004262425,-0.0013107521226515702,33.320235756385074,-3.3358641521482464,1.0529002116186665,pass
0.14,0.04,100,24.988343478059296,-0.0018333392295048097,24.990176817288802,-4.665848339089741,1.4884422956947916,pass
0.14,0.05,100,19.98986356472953,-0.0022778891015125726,19.992141453831042,-5.797227763349497,1.8079422038104005,pass
0.14,0.06,100,16.657466440367262,-0.0026514378252732993,16.660117878192537,-6.747909265320547,2.059543394197968,pass
0.14,0.07,100,14.27715178016114,-0.0029492582896034534,14.280101038450743,-7.505862347040789,2.2586812240344663,pass
0.14,0.08,100,12.491908348238699,-0.0031800604057018807,12.495088408644401,-8.093253732511286,2.398097745106665,pass
0.14,0.09,100,11.10338614672969,-0.0033591053986680957,11.106745252128357,-8.548923239610303,2.488012270084333,pass
0.14,0.1,100,9.992578015259896,-0.0034927116556239344,9.996070726915521,-8.888951163562913,2.588836868224482,pass
0.18,0.01,100,99.96052780747118,-0.00017946168403219046,99.96070726915521,-0.4567299858619247,0.20218789882775542,pass
0.18,0.02,100,49.97993661694987,-0.0004170176277313414,49.980353634577604,-1.0613098625762638,0.45171207209441966,pass
0.18,0.03,100,33.319552351178096,-0.0006834052069759817,33.320235756385074,-1.7392662517538735,0.6877952879764183,pass
0.18,0.04,100,24.98923259567458,-0.0009442216142208638,24.990176817288802,-2.4030440081920985,0.8871290598689031,pass
0.18,0.05,100,19.990964476715718,-0.0011769771153246503,19.992141453831042,-2.995406758501235,1.0453952392915917,pass
0.18,0.06,100,16.658744394038383,-0.0013734841541556359,16.660117878192537,-3.4955171723260934,1.1827671062645568,pass
0.18,0.07,100,14.27856919495934,-0.0015318434914020514,14.280101038450743,-3.8985416856182207,1.2781104670318435,pass
0.18,0.08,100,12.49343042091602,-0.001657987728379941,12.495088408644401,-4.21957876872695,1.3513994531808855,pass
0.18,0.09,100,11.104986189988642,-0.0017590621397160057,11.106745252128357,-4.476813145577235,1.4163148126298073,pass
0.18,0.1,100,9.994239882895373,-0.0018308440201475706,9.996070726915521,-4.659498031275567,1.4609373636468093,pass
0.22,0.01,100,99.96060753332317,-9.973583203601634e-05,99.96070726915521,-0.2538276925316616,0.11286263309705719,pass
0.22,0.02,100,49.980122668003446,-0.0002309665741543018,49.980353634577604,-0.5878099312226981,0.2541979647478168,pass
0.22,0.03,100,33.31985988912335,-0.0003758672617248539,33.320235756385074,-0.9565821810897532,0.42530583838778535,pass
0.22,0.04,100,24.989666253691848,-0.0005105635969550856,24.990176817288802,-1.2993843542506929,0.5761679146949902,pass
0.22,0.05,100,19.991515342694736,-0.0006261111363055393,19.992141453831042,-1.5934528418975975,0.692616868202645,pass
0.22,0.06,100,16.659401955431452,-0.0007159227610866209,16.660117878192537,-1.8220234269654503,0.7740117277928823,pass
0.22,0.07,100,14.279308170954188,-0.0007928674965558078,14.280101038450743,-2.017847778734531,0.8377068461477766,pass
0.22,0.08,100,12.494237344517686,-0.000851064126715928,12.495088408644401,-2.1659582024920367,0.8797769200742365,pass
0.22,0.09,100,11.105847992266677,-0.0008972598616805373,11.106745252128357,-2.2835263479769674,0.9067738398390617,pass
0.22,0.1,100,9.99513913094989,-0.0009315959656328582,9.996070726915521,-2.370911732535624,0.9316815843714327,pass
0.26,0.01,100,99.96065502071465,-5.224844054667865e-05,99.96070726915521,-0.13297228119129717,0.09819625263427718,pass
0.26,0.02,100,49.98023587372053,-0.00011776085707281907,49.980353634577604,-0.29970138125032453,0.21053175769200208,pass
0.26,0.03,100,33.32004597539604,-0.0001897809890346279,33.320235756385074,-0.48299261709312796,0.3151502503462028,pass
0.26,0.04,100,24.98992005997582,-0.0002567573129809639,24.990176817288802,-0.653447361536553,0.39237450788677614,pass
0.26,0.05,100,19.99182442379101,-0.0003170300400349996,19.992141453831042,-0.8068414518890741,0.4453873514682938,pass
0.26,0.06,100,16.659748540643527,-0.000369337549010433,16.660117878192537,-0.939964062231552,0.4869315198096765,pass
0.26,0.07,100,14.279687904803238,-0.00041313364750539315,14.280101038450743,-1.0514251329012256,0.517620095198971,pass
0.26,0.08,100,12.494638381169086,-0.0004500274753155337,12.495088408644401,-1.1453199246780332,0.5374878780475184,pass
0.26,0.09,100,11.106263817804695,-0.00048143432366276406,11.106745252128357,-1.2252503537217345,0.5599459316551589,pass
0.26,0.1,100,9.995563531013861,-0.000507195901659509,9.996070726915521,-1.2908135697234504,0.5743279416694059,pass
0.3,0.01,100,99.96067026174342,-3.70074117882518e-05,99.96070726915521,-0.09418386300110082,0.05997271753556541,pass
0.3,0.02,100,49.98027114113762,-8.249343998200737e-05,49.980353634577604,-0.20994580475420876,0.13690519880508,pass
0.3,0.03,100,33.32010456053942,-0.00013119584565370897,33.320235756385074,-0.3338934271886893,0.2040425792289705,pass
0.3,0.04,100,24.98999805301177,-0.00017876427703069072,24.990176817288802,-0.4549550850431079,0.25786090666381173,pass
0.3,0.05,100,19.991919578915862,-0.00022187491517895914,19.992141453831042,-0.564671659130451,0.29771005669273126,pass
0.3,0.06,100,16.659857667182763,-0.00026021100977555053,16.660117878192537,-0.6622370198787761,0.3265780542641073,pass
0.3,0.07,100,14.279807042955195,-0.00029399549554853024,14.280101038450743,-0.7482185361710094,0.3494604837971313,pass
0.3,0.08,100,12.494765735106864,-0.00032267353753695006,12.495088408644401,-0.8212041530315379,0.36413579934319285,pass
0.3,0.09,100,11.106394668621675,-0.0003505835066826894,11.106745252128357,-0.8922350245074446,0.37195317340293815,pass
0.3,0.1,100,9.995697722962731,-0.00037300395278978935,9.996070726915521,-0.949295059850014,0.3829350967826852,pass
0.34,0.01,100,99.96066802292675,-3.92462284581837e-05,99.96070726915521,-0.09988165142607752,0.05447092852449302,pass
0.34,0.02,100,49.98026918757513,-8.444700247471118e-05,49.980353634577604,-0.21491762129813996,0.11212837426621605,pass
0.34,0.03,100,33.32010063664056,-0.0001351197445102869,33.320235756385074,-0.34387974977868013,0.16222878500694124,pass
0.34,0.04,100,24.989989636720566,-0.0001871805682349562,24.990176817288802,-0.4763745461579635,0.19984051560289498,pass
0.34,0.05,100,19.9919036926551,-0.00023776117594328277,19.992141453831042,-0.6051021927756547,0.2323682368359081,pass
0.34,0.06,100,16.659833997877666,-0.00028388031487145814,16.660117878192537,-0.722475401347861,0.25617039729666957,pass
0.34,0.07,100,14.279772788206294,-0.00032825024444953,14.280101038450743,-0.8353968721240538,0.2827218389640055,pass
0.34,0.08,100,12.494722915231991,-0.0003654934124098523,12.495088408644401,-0.9301807345830742,0.2997759563528444,pass
0.34,0.09,100,11.10634390390252,-0.00040134822583746103,11.106745252128357,-1.0214312347563383,0.31880306285234483,pass
0.34,0.1,100,9.995637848996173,-0.0004328779193471671,9.996070726915521,-1.1016743047385402,0.322368346538111,pass
0.38,0.01,100,99.96067167041575,-3.559873945518013e-05,99.96070726915521,-0.09059879191343344,0.04151597703088874,pass
0.38,0.02,100,49.980274823487335,-7.88110902722958e-05,49.980353634577604,-0.2005742247429928,0.1008096657840783,pass
0.38,0.03,100,33.32010639006889,-0.00012936631618497366,33.320235756385074,-0.329237274690758,0.17069917574088428,pass
0.38,0.04,100,24.98999522211613,-0.00018159517267202354,24.990176817288802,-0.4621597144502999,0.23404060859351875,pass
0.38,0.05,100,19.99190865283099,-0.00023280100005184287,19.992141453831042,-0.5924785451319401,0.2895657108323161,pass
0.38,0.06,100,16.659835339864603,-0.00028253832793363027,16.660117878192537,-0.719060044591089,0.34593548175717054,pass
0.38,0.07,100,14.279771570742842,-0.0003294677079013257,14.280101038450743,-0.8384953166088739,0.39004342717944346,pass
0.38,0.08,100,12.494713990947664,-0.00037441769673721175,12.495088408644401,-0.952893038196204,0.4338946412926196,pass
0.38,0.09,100,11.1063280058291,-0.0004172462992566104,11.106745252128357,-1.0618918316080734,0.48375231994744705,pass
0.38,0.1,100,9.995611889860468,-0.0004588370550528998,9.996070726915521,-1.16774030510963,0.5215027493292087,pass
