q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.5,0.06,0.01,1.0,1.0,1.0,0,
0.9,0.06,0.01,1.0,1.0,1.0,0,
0.99,0.06,0.01,1.0,1.0,1.0,0,
0.5,0.06,0.02,1.0,1.0,1.0,0,
0.9,0.06,0.02,1.0,1.0,1.0,0,
0.99,0.06,0.02,1.0,1.0,1.0,0,
0.5,0.06,0.03,1.0,1.0,1.0,0,
0.9,0.06,0.03,1.0,1.0,1.0,0,
0.99,0.06,0.03,1.0,1.0,1.0,0,
0.5,0.06,0.04,1.0,1.0,1.0,0,
0.9,0.06,0.04,1.0,1.0,1.0,0,
0.99,0.06,0.04,1.0,1.0,1.0,0,
0.5,0.06,0.05,1.0,1.0,1.0,0,
0.9,0.06,0.05,1.0,1.0,1.0,0,
0.99,0.06,0.05,1.0,1.0,1.0,0,
0.5,0.06,0.06,1.0,1.0,0.9992896434835399,0,
0.9,0.06,0.06,1.0,1.0,0.9992896434835399,0,
0.99,0.06,0.06,1.0,1.0,0.9992896434835399,0,
0.5,0.06,0.07,1.0,1.0,0.9790925860564288,0,
0.9,0.06,0.07,1.0,1.0,0.9790925860564288,0,
0.99,0.06,0.07,1.0,1.0,1.0,0,
0.5,0.06,0.08,1.0,1.0,0.833737146853069,0,
0.9,0.06,0.08,1.0,1.0,0.9992477146539887,0,
0.99,0.06,0.08,1.0,1.0,0.9992477146539887,0,
0.5,0.06,0.09,1.0,1.0,0.9905170144341414,0,
0.9,0.06,0.09,1.0,1.0,0.9905170144341414,0,
0.99,0.06,0.09,1.0,1.0,0.9905170144341414,0,
0.5,0.06,0.1,1.0,1.0,0.9275317918302006,0,
0.9,0.06,0.1,1.0,1.0,0.9275317918302006,0,
0.99,0.06,0.1,2.0,2.0,1.0,0,
0.5,0.06,0.11,1.0,1.0,0.7546219292114879,0,
0.9,0.06,0.11,2.0,2.0,1.0,0,
0.99,0.06,0.11,2.0,2.0,1.0,0,
0.5,0.06,0.12,2.0,2.0,1.0,0,
0.9,0.06,0.12,2.0,2.0,1.0,0,
0.99,0.06,0.12,2.0,2.0,1.0,0,
0.5,0.06,0.13,2.0,2.0,1.0,0,
0.9,0.06,0.13,2.0,2.0,1.0,0,
0.99,0.06,0.13,2.0,2.0,1.0,0,
0.5,0.06,0.14,2.0,2.0,0.9992012279138386,0,
0.9,0.06,0.14,2.0,2.0,0.9992012279138386,0,
0.99,0.06,0.14,2.0,2.0,0.9992012279138386,0,
0.5,0.06,0.15,2.0,2.0,0.9992709558290577,0,
0.9,0.06,0.15,2.0,2.0,0.9992709558290577,0,
0.99,0.06,0.15,2.0,2.0,0.9992709558290577,0,
0.5,0.06,0.16,2.0,2.0,0.9945672099783055,0,
0.9,0.06,0.16,2.0,2.0,0.9945672099783055,0,
0.99,0.06,0.16,2.0,2.0,0.9945672099783055,0,
0.5,0.06,0.17,2.0,2.0,0.981212275318211,0,
0.9,0.06,0.17,2.0,2.0,0.981212275318211,0,
0.99,0.06,0.17,2.0,2.0,1.0,0,
0.5,0.06,0.18,2.0,2.0,0.9576708044370752,0,
0.9,0.06,0.18,2.0,2.0,0.9576708044370752,0,
0.99,0.06,0.18,2.0,2.0,1.0,0,
0.5,0.06,0.19,2.0,2.0,0.8994885985507219,0,
0.9,0.06,0.19,2.0,2.0,1.0,0,
0.99,0.06,0.19,2.0,2.0,1.0,0,
0.5,0.06,0.2,2.0,2.0,0.8253864392001414,0,
0.9,0.06,0.2,2.0,2.0,1.0,0,
0.99,0.06,0.2,2.0,2.0,1.0,0,
0.5,0.06,0.21,2.0,2.0,0.7280146937943112,0,
0.9,0.06,0.21,2.0,2.0,0.9995911824324943,0,
0.99,0.06,0.21,2.0,2.0,0.9995911824324943,0,
0.5,0.06,0.22,2.0,2.0,0.5960116089822286,0,
0.9,0.06,0.22,2.0,2.0,0.9972426735887149,0,
0.99,0.06,0.22,2.0,2.0,0.9972426735887149,0,
0.5,0.06,0.23,2.0,2.0,0.9980703233837391,0,
0.9,0.06,0.23,2.0,2.0,0.9980703233837391,0,
0.99,0.06,0.23,2.0,2.0,0.9980703233837391,0,
0.5,0.06,0.24,2.0,2.0,0.9928931191023607,0,
0.9,0.06,0.24,2.0,2.0,0.9928931191023607,0,
0.99,0.06,0.24,2.0,2.0,0.9928931191023607,0,
0.5,0.06,0.25,2.0,2.0,0.9856677760997351,0,
0.9,0.06,0.25,2.0,2.0,0.9856677760997351,0,
0.99,0.06,0.25,4.0,4.0,1.0,0,
0.5,0.06,0.26,2.0,2.0,0.9724404941585564,0,
0.9,0.06,0.26,2.0,2.0,0.9724404941585564,0,
0.99,0.06,0.26,4.0,4.0,1.0,0,
0.5,0.06,0.27,2.0,2.0,0.9571911648210376,0,
0.9,0.06,0.27,2.0,2.0,0.9571911648210376,0,
0.99,0.06,0.27,4.0,4.0,1.0,0,
0.5,0.06,0.28,2.0,2.0,0.9291126001940392,0,
0.9,0.06,0.28,2.0,2.0,0.9291126001940392,0,
0.99,0.06,0.28,4.0,4.0,1.0,0,
0.5,0.06,0.29,2.0,2.0,0.88287798374498,0,
0.9,0.06,0.29,4.0,4.0,1.0,0,
0.99,0.06,0.29,4.0,4.0,1.0,0,
0.5,0.06,0.3,2.0,2.0,0.8386918235230695,0,
0.9,0.06,0.3,4.0,4.0,1.0,0,
0.99,0.06,0.3,4.0,4.0,1.0,0,
0.5,0.06,0.31,2.0,2.0,0.7766176071543324,0,
0.9,0.06,0.31,4.0,4.0,1.0,0,
0.99,0.06,0.31,4.0,4.0,1.0,0,
0.5,0.06,0.32,2.0,2.0,0.6813517240918854,0,
0.9,0.06,0.32,4.0,4.0,1.0,0,
0.99,0.06,0.32,4.0,4.0,1.0,0,
0.5,0.06,0.33,2.0,2.0,0.5885097859314449,0,
0.9,0.06,0.33,4.0,4.0,1.0,0,
0.99,0.06,0.33,4.0,4.0,1.0,0,
0.5,0.06,0.34,2.0,2.0,0.523548102672907,0,
0.9,0.06,0.34,4.0,4.0,1.0,0,
0.99,0.06,0.34,4.0,4.0,1.0,0,
0.5,0.06,0.35,4.0,4.0,1.0,0,
0.9,0.06,0.35,4.0,4.0,1.0,0,
0.99,0.06,0.35,4.0,4.0,1.0,0,
0.5,0.06,0.36,4.0,4.0,1.0,0,
0.9,0.06,0.36,4.0,4.0,1.0,0,
0.99,0.06,0.36,4.0,4.0,1.0,0,
0.5,0.06,0.37,4.0,4.0,1.0,0,
0.9,0.06,0.37,4.0,4.0,1.0,0,
0.99,0.06,0.37,4.0,4.0,1.0,0,
0.5,0.06,0.38,4.0,4.0,1.0,0,
0.9,0.06,0.38,4.0,4.0,1.0,0,
0.99,0.06,0.38,4.0,4.0,1.0,0,
0.5,0.06,0.39,4.0,4.0,1.0,0,
0.9,0.06,0.39,4.0,4.0,1.0,0,
0.99,0.06,0.39,4.0,4.0,1.0,0,
0.5,0.06,0.4,4.0,4.0,1.0,0,
0.9,0.06,0.4,4.0,4.0,1.0,0,
0.99,0.06,0.4,4.0,4.0,1.0,0,
0.5,0.06,0.41,4.0,4.0,1.0,0,
0.9,0.06,0.41,4.0,4.0,1.0,0,
0.99,0.06,0.41,4.0,4.0,1.0,0,
0.5,0.06,0.42,4.0,4.0,1.0,0,
0.9,0.06,0.42,4.0,4.0,1.0,0,
0.99,0.06,0.42,4.0,4.0,1.0,0,
0.5,0.06,0.43,4.0,4.0,1.0,0,
0.9,0.06,0.43,4.0,4.0,1.0,0,
0.99,0.06,0.43,4.0,4.0,1.0,0,
0.5,0.06,0.44,4.0,4.0,1.0,0,
0.9,0.06,0.44,4.0,4.0,1.0,0,
0.99,0.06,0.44,4.0,4.0,1.0,0,
0.5,0.06,0.45,4.0,4.0,1.0,0,
0.9,0.06,0.45,4.0,4.0,1.0,0,
0.99,0.06,0.45,4.0,4.0,1.0,0,
0.5,0.06,0.46,4.0,4.0,1.0,0,
0.9,0.06,0.46,4.0,4.0,1.0,0,
