beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.06,0.01,100,-4.604605835921026,-0.0012451470590603842,-4.604605835921026,-0.0012451470590603842,-4.603366541922371,-5.8530604056055135e-06,-4.6044987389007845,-0.0011380500388181974,-4.603366533406839,-0.0012392939986547785,16053.876423273936,-4.603360688861966,100,-1.1836931229960408,0.5671923013123485,99.96024216380236,-0.0004651053528471673,99.96070726915521,pass
0.06,0.02,100,-3.911740494866397,-0.0012546301083605246,-3.911740494866397,-0.0012546301083605246,-3.9105012008677424,-1.5336109705745915e-05,-3.9116316829228635,-0.001145818164826651,-3.910501172395696,-0.0012392939986547785,16053.876423273936,-3.9104858647580367,100,-3.784623831172248,1.7280726718851547,49.978866552522135,-0.0014870820554704314,49.980353634577604,pass
0.06,0.03,100,-3.50645534423348,-0.0012752692700092395,-3.50645534423348,-0.0012752692700092395,-3.505216050234825,-3.5975271354460644e-05,-3.5063424255286995,-0.001162350565228612,-3.5052158449404915,-0.0012392939986547785,16053.876423273936,-3.5051800749634707,100,-6.722237111171456,2.793715831785252,33.31759440585023,-0.0026413505348414365,33.320235756385074,pass
0.06,0.04,100,-3.2189181189986003,-0.0013070783444933635,-3.2189181189986003,-0.0013070783444933635,-3.2176788249999455,-6.778434583858454e-05,-3.2187989196195868,-0.0011878789654796397,-3.2176780492841965,-0.0012392939986547785,16053.876423273936,-3.217611040654107,100,-9.377443479936952,3.5857184382427687,24.986492163662106,-0.0036846536266942837,24.990176817288802,pass
0.06,0.05,100,-2.995903453335578,-0.0013482848006659627,-2.995903453335578,-0.0013482848006659627,-2.9946641593369234,-0.00010899080201118404,-2.995776238586672,-0.0012210700517598472,-2.994662199024645,-0.0012392939986547785,16053.876423273936,-2.9945551685349123,100,-11.547385053704438,4.129555531150467,19.987604170902276,-0.004537282928764023,19.992141453831042,pass
0.06,0.06,100,-2.8137023761775755,-0.0013971253180344318,-2.8137023761775755,-0.0013971253180344318,-2.8124630821789207,-0.00015783131937965284,-2.8135658945588564,-0.0012606436993155747,-2.812459180083059,-0.0012392939986547785,16053.876423273936,-2.812305250859541,100,-13.238116367453031,4.491233712318701,16.654916260759354,-0.005201617433183902,16.660117878192537,pass
0.06,0.07,100,-2.6596669725901783,-0.0014518315461757004,-2.6596669725901783,-0.0014518315461757004,-2.6584276785915235,-0.0002125375475209218,-2.6595202020127657,-0.0013050609687631765,-2.6584209705482182,-0.0012392939986547785,16053.876423273936,-2.6582151410440025,100,-14.537255693778956,4.735819463967452,14.274388953698768,-0.0057120847519760145,14.280101038450743,pass
0.06,0.08,100,-2.526247086911191,-0.0015108703610131724,-2.526247086911191,-0.0015108703610131724,-2.525007792912536,-0.00027157636235839366,-2.5260889778342572,-0.0013527612840797147,-2.52499736638401,-0.0012392939986547785,16053.876423273936,-2.5247362165501777,100,-15.50733006154687,4.905817754748388,12.488995155182103,-0.006093253462297395,12.495088408644401,pass
0.06,0.09,100,-2.40857269871378,-0.0015732376488045978,-2.40857269871378,-0.0015732376488045978,-2.4073334047151254,-0.0003339436501498189,-2.4084022867982315,-0.0014028257332560786,-2.4073182623247584,-0.0012392939986547785,16053.876423273936,-2.4069994610649754,100,-16.187212247351543,4.993863455907988,11.10038485438873,-0.006360397739627325,11.106745252128357,pass
0.06,0.1,100,-2.3033182219541595,-0.0016378775231766624,-2.3033182219541595,-0.0016378775231766624,-2.3020789279555047,-0.0003985835245218838,-2.303134910242466,-0.0014545658114828441,-2.3020581641995133,-0.0012392939986547785,16053.876423273936,-2.301680344430983,100,-16.67829667395953,5.069063252085346,9.989517368693926,-0.0065533582215951,9.996070726915521,pass
