beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.06,0.01,100,-2.301287613966867,0.00039273046411627817,-2.301287613966867,0.00039273046411627817,0.0,-2.3016803444309835,pass
0.06,0.02,100,-1.6084222729122375,0.00038324741481613785,-1.6084222729122375,0.00038324741481613785,0.0,-1.6088055203270537,pass
0.06,0.03,100,-1.2031371222793203,0.0003626082531674231,-1.2031371222793203,0.0003626082531674231,0.0,-1.2034997305324877,pass
0.06,0.04,100,-0.9155998970444407,0.0003307991786832991,-0.9155998970444407,0.0003307991786832991,0.0,-0.915930696223124,pass
0.06,0.05,100,-0.6925852313814188,0.00028959272251069974,-0.6925852313814188,0.0002895927225106997,5.421010862427522e-20,-0.6928748241039295,pass
0.06,0.06,100,-0.5103841542234159,0.00024075220514223092,-0.5103841542234159,0.00024075220514223092,0.0,-0.5106249064285581,pass
0.06,0.07,100,-0.3563487506360187,0.00018604597700096193,-0.3563487506360187,0.00018604597700096196,-2.710505431213761e-20,-0.3565347966130196,pass
0.06,0.08,100,-0.22292886495703093,0.00012700716216349013,-0.22292886495703093,0.00012700716216349013,0.0,-0.22305587211919442,pass
0.06,0.09,100,-0.10525447675962021,6.463987437206474e-05,-0.10525447675962021,6.463987437206474e-05,0.0,-0.10531911663399228,pass
0.06,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.06,0.11,100,0.09520633496653978,-6.639486536675337e-05,0.09520633496653978,-6.639486536675333e-05,-4.0657581468206416e-20,0.09527272983190653,pass
0.06,0.12,100,0.18211671328811893,-0.0001332043872525653,0.18211671328811893,-0.00013320438725256527,-2.710505431213761e-20,0.1822499176753715,pass
0.06,0.13,100,0.26205995144032185,-0.00020122294289907935,0.26205995144032185,-0.00020122294289907935,0.0,0.26226117438322094,pass
0.06,0.14,100,0.33607080263232525,-0.0002692248585847367,0.33607080263232525,-0.0002692248585847367,0.0,0.33634002749090997,pass
0.06,0.15,100,0.40496932019318643,-0.00033646960137929987,0.40496932019318643,-0.0003364696013792998,-5.421010862427522e-20,0.4053057897945657,pass
0.06,0.16,100,0.46941436274516063,-0.0004045892395745392,0.46941436274516063,-0.0004045892395745392,0.0,0.46981895198473517,pass
0.06,0.17,100,0.5299501133131561,-0.0004696394185379655,0.5299501133131561,-0.0004696394185379655,0.0,0.5304197527316941,pass
0.06,0.18,100,0.5870191828713909,-0.0005365245985464879,0.5870191828713909,-0.0005365245985464878,-1.0842021724855044e-19,0.5875557074699373,pass
0.06,0.19,100,0.6409992774615586,-0.0006024067909254506,0.6409992774615586,-0.0006024067909254505,-1.0842021724855044e-19,0.6416016842524841,pass
0.06,0.2,100,0.6922091846541871,-0.0006656394497424407,0.6922091846541871,-0.0006656394497424407,0.0,0.6928748241039295,pass
0.06,0.21,100,0.7409165580088254,-0.0007292592766501344,0.7409165580088254,-0.0007292592766501344,0.0,0.7416458172854755,pass
0.06,0.22,100,0.787355645718505,-0.0007919082173310717,0.787355645718505,-0.0007919082173310717,0.0,0.7881475539358361,pass
0.06,0.23,100,0.831728612003175,-0.0008532381920721522,0.831728612003175,-0.0008532381920721522,0.0,0.8325818501952472,pass
0.06,0.24,100,0.8742110621907787,-0.0009136795885223252,0.8742110621907787,-0.0009136795885223252,0.0,0.875124741779301,pass
0.06,0.25,100,0.9149574583592344,-0.0009732378638895847,0.9149574583592344,-0.0009732378638895847,0.0,0.915930696223124,pass
0.06,0.26,100,0.9541032658311869,-0.0010327326559635916,0.9541032658311869,-0.0010327326559635916,0.0,0.9551359984871505,pass
0.06,0.27,100,0.9917729744872226,-0.0010885227772807666,0.9917729744872226,-0.0010885227772807666,0.0,0.9928614972645033,pass
0.06,0.28,100,1.0280678827055456,-0.0011469688892939143,1.0280678827055456,-0.0011469688892939143,0.0,1.0292148515948396,pass
0.06,0.29,100,1.0630912780680672,-0.0012011050001990516,1.0630912780680672,-0.0012011050001990516,0.0,1.0642923830682662,pass
0.06,0.3,100,1.0969246786817202,-0.0012559352167750288,1.0969246786817202,-0.0012559352167750288,0.0,1.0981806138984953,pass
0.06,0.31,100,1.129648004615524,-0.001309548089135889,1.129648004615524,-0.001309548089135889,0.0,1.1309575527046598,pass
0.06,0.32,100,1.1613324788830353,-0.0013612972056295078,1.1613324788830353,-0.0013612972056295078,0.0,1.1626937760886649,pass
0.06,0.33,100,1.1920409544897912,-0.001412389240610828,1.1920409544897912,-0.001412389240610828,0.0,1.193453343730402,pass
0.06,0.34,100,1.2218294049291791,-0.0014651719064443917,1.2218294049291791,-0.0014651719064443917,0.0,1.2232945768356236,pass
0.06,0.35,100,1.250757737088065,-0.0015129866259685767,1.250757737088065,-0.0015129866259685767,0.0,1.2522707237140336,pass
0.06,0.36,100,1.2788674568816742,-0.0015630746921927049,1.2788674568816742,-0.0015630746921927049,0.0,1.2804305315738669,pass
0.06,0.37,100,1.3062063069196974,-0.0016124330371019282,1.3062063069196974,-0.0016124330371019282,0.0,1.3078187399567993,pass
