beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.06,0.1,100,-2.3033184733793326,-0.00163812894834951,-2.3033184733793326,-0.00163812894834951,-2.302079179380678,-0.0003988349496947311,-2.303134563056321,-0.0014542186253381133,-2.302058223253842,-0.0012392939986547785,16053.876423273936,-2.301680344430983,100,-16.688317385762524,5.109711158189359,9.989513431282608,-0.006557295632912583,9.996070726915521,pass
0.06,0.2,100,-1.6111100640220555,-0.0023045436950019406,-1.6111100640220555,-0.0023045436950019406,-1.6098707700234007,-0.0010652496963471619,-1.610768775657451,-0.0019632553303973363,-1.609750692828161,-0.0012392939986547785,16053.876423273936,-1.6088055203270535,100,-16.265083957999217,4.816812521138717,4.991644367796464,-0.006390995661296352,4.998035363457761,pass
0.06,0.3,100,-1.2063932104736952,-0.00289347994120748,-1.2063932104736952,-0.00289347994120748,-1.2051539164750404,-0.001654185942552702,-1.2058752710553262,-0.002375540522838584,-1.204892202466152,-0.0012392939986547785,16053.876423273936,-1.2034997305324877,100,-13.762494125348123,4.147501388580939,3.3266159158643034,-0.0054076597742035845,3.332023575638507,pass
0.06,0.4,100,-0.9193219412863272,-0.0033912450632033134,-0.9193219412863272,-0.0033912450632033134,-0.9180826472876724,-0.002151951064548534,-0.9186414697835523,-0.0027107735604285266,-0.9176788745745986,-0.0012392939986547785,16053.876423273936,-0.9159306962231238,100,-11.587691993234078,3.4696540499886925,2.494464561102855,-0.004553120626025178,2.4990176817288803,pass
0.06,0.5,100,-0.6966833361133737,-0.003808512009444175,-0.6966833361133737,-0.003808512009444175,-0.6954440421147189,-0.0025692180107893953,-0.6958595071711218,-0.002984683067192197,-0.6949097393628267,-0.0012392939986547785,16053.876423273936,-0.6928748241039295,100,-9.918279891301538,2.9153545367562135,1.9953169823609815,-0.0038971630221224115,1.999214145383104,pass
0.06,0.6,100,-0.5147994069915794,-0.004174500563021377,-0.5147994069915794,-0.004174500563021377,-0.5135601129929247,-0.0029352065643665987,-0.5138467284369823,-0.0032218220084242024,-0.512907097707283,-0.0012392939986547785,16053.876423273936,-0.5106249064285581,100,-8.641828005791961,2.471443830355895,1.6626161776008677,-0.0033956102183858392,1.6660117878192535,pass
0.06,0.7,100,-0.36102966118358054,-0.0044948645705607405,-0.36102966118358054,-0.0044948645705607405,-0.35979036718492574,-0.0032555705719059616,-0.35996932548399085,-0.003434528870971068,-0.3590367214900534,-0.0012392939986547785,16053.876423273936,-0.3565347966130198,100,-7.650270640008666,2.0948846910816536,1.4250041035935974,-0.0030060002514768827,1.4280101038450743,pass
0.06,0.8,100,-0.22783318350676343,-0.004777311387569158,-0.22783318350676343,-0.004777311387569158,-0.22659388950810866,-0.0035380173889143804,-0.22667852500512303,-0.0036226528859287627,-0.22575168420661132,-0.0012392939986547785,16053.876423273936,-0.22305587211919428,100,-6.847748508912085,1.837089890329359,1.246818173473905,-0.0026906673905352004,1.2495088408644401,pass
0.06,0.9,100,-0.11035083913971896,-0.0050317225057268065,-0.11035083913971896,-0.0050317225057268065,-0.10911154514106418,-0.0037924285070720276,-0.1091185658968561,-0.0037994492628639553,-0.10819444603381044,-0.0012392939986547785,16053.876423273936,-0.10531911663399215,100,-6.217819051341926,1.5284636770044393,1.1082313743085754,-0.0024431509042600885,1.1106745252128356,pass
0.06,1.0,100,-0.005266445411328759,-0.005266445411328759,-0.005266445411328759,-0.005266445411328759,-0.004027151412673981,-0.004027151412673981,-0.003971054437587807,-0.003971054437587807,-0.003050386847900723,-0.0012392939986547785,16053.876423273936,0.0,100,-5.692502826555299,1.298580761938363,0.9973703328775814,-0.002236739813970648,0.999607072691552,pass
0.06,1.1,100,0.0897900911513458,-0.005482638680560926,0.0897900911513458,-0.005482638680560926,0.09102938515000057,-0.0042433446819061475,0.09114881776546137,-0.004123912066445352,0.09206419574518637,-0.0012392939986547785,16053.876423273936,0.09527272983190672,100,-5.275590161568573,1.1410281817879704,0.9066607790042059,-0.002072923442659557,0.9087337024468655,pass
0.06,1.2,100,0.1765747023650755,-0.005675215310295989,0.1765747023650755,-0.005675215310295989,0.17781399636373027,-0.004435921311641211,0.17797041551147433,-0.0042795021638971625,0.17888574285154615,-0.0012392939986547785,16053.876423273936,0.1822499176753715,100,-4.87399575887596,0.9546176018095456,0.8310907678747049,-0.0019151260349217919,0.8330058939096268,pass
0.06,1.3,100,0.2563949229348008,-0.005866251448420139,0.2563949229348008,-0.005866251448420139,0.25763421693345556,-0.00462695744976536,0.25783832556684855,-0.0044228488163723925,0.2587529540463099,-0.0012392939986547785,16053.876423273936,0.26226117438322094,100,-4.615545085501381,0.826891373404005,0.7671149437475739,-0.0018135737074661616,0.7689285174550401,pass
