q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.5,0.06,0.1,1.0,1.0,0.9306388609109099,0,
0.9,0.06,0.1,1.0,1.0,0.9306388609109099,0,
0.99,0.06,0.1,2.0,2.0,1.0,0,
0.5,0.06,0.2,2.0,2.0,0.8141189699094701,0,
0.9,0.06,0.2,2.0,2.0,1.0,0,
0.99,0.06,0.2,2.0,2.0,1.0,0,
0.5,0.06,0.3,2.0,2.0,0.8370380838066276,0,
0.9,0.06,0.3,4.0,4.0,1.0,0,
0.99,0.06,0.3,4.0,4.0,1.0,0,
0.5,0.06,0.4,4.0,4.0,0.9999933163453452,0,
0.9,0.06,0.4,4.0,4.0,0.9999933163453452,0,
0.99,0.06,0.4,4.0,4.0,0.9999933163453452,0,
0.5,0.06,0.5,4.0,4.0,1.0,0,
0.9,0.06,0.5,4.0,4.0,1.0,0,
0.99,0.06,0.5,4.0,4.0,1.0,0,
0.5,0.06,0.6,4.0,4.0,1.0,0,
0.9,0.06,0.6,4.0,4.0,1.0,0,
0.99,0.06,0.6,4.0,4.0,1.0,0,
0.5,0.06,0.7,4.0,4.0,0.9951171875000002,0,
0.9,0.06,0.7,4.0,4.0,0.9951171875000002,0,
0.99,0.06,0.7,4.0,4.0,0.9951171875000002,0,
0.5,0.06,0.8,4.0,4.0,0.9912109375,0,
0.9,0.06,0.8,4.0,4.0,0.9912109375,0,
0.99,0.06,0.8,4.0,4.0,0.9912109375,0,
0.5,0.06,0.9,4.0,4.0,0.9836358642723156,0,
0.9,0.06,0.9,4.0,4.0,0.9836358642723156,0,
0.99,0.06,0.9,4.0,4.0,1.0,0,
0.5,0.06,1.0,4.0,4.0,0.9729655406343413,0,
0.9,0.06,1.0,4.0,4.0,0.9729655406343413,0,
0.99,0.06,1.0,4.0,4.0,0.9980468750000001,0,
0.5,0.06,1.1,4.0,4.0,0.9490686887701504,0,
0.9,0.06,1.1,4.0,4.0,0.9490686887701504,0,
0.99,0.06,1.1,4.0,4.0,1.0,0,
0.5,0.06,1.2,4.0,4.0,0.9411921141124941,0,
0.9,0.06,1.2,4.0,4.0,0.9411921141124941,0,
0.99,0.06,1.2,4.0,4.0,0.9970703124999998,0,
0.5,0.06,1.3,4.0,4.0,0.908775850591394,0,
0.9,0.06,1.3,4.0,4.0,0.908775850591394,0,
0.99,0.06,1.3,4.0,4.0,0.9941406249999999,0,
0.5,0.06,1.4,4.0,4.0,0.892477849978183,0,
0.9,0.06,1.4,4.0,4.0,0.9931193257258434,0,
0.99,0.06,1.4,4.0,4.0,0.9931193257258434,0,
0.5,0.06,1.5,4.0,4.0,0.8808146463074797,0,
0.9,0.06,1.5,4.0,4.0,0.9910350035841087,0,
0.99,0.06,1.5,4.0,4.0,0.9910350035841087,0,
0.5,0.06,1.6,4.0,4.0,0.8523692956089363,0,
0.9,0.06,1.6,4.0,4.0,0.9919650894000467,0,
0.99,0.06,1.6,4.0,4.0,0.9919650894000467,0,
0.5,0.06,1.7,4.0,4.0,0.82987133477162,0,
0.9,0.06,1.7,4.0,4.0,0.9775168978195066,0,
0.99,0.06,1.7,6.0,6.0,1.0,0,
0.5,0.06,1.8,4.0,4.0,0.7890624999999997,0,
0.9,0.06,1.8,4.0,4.0,0.9769410433827909,0,
0.99,0.06,1.8,6.0,6.0,1.0,0,
0.5,0.06,1.9,4.0,4.0,0.7705078124999997,0,
0.9,0.06,1.9,4.0,4.0,0.9669398892065949,0,
0.99,0.06,1.9,6.0,6.0,1.0,0,
0.5,0.06,2.0,4.0,4.0,0.7851562500000001,0,
0.9,0.06,2.0,4.0,4.0,0.9567571643308199,0,
