radius,dataset_count,phi_energy_mean,phi_energy_ci95_low,phi_energy_ci95_high
0.01,90.0,-0.0010368939839428,-0.0010594869790824,-0.0010143009888033
0.02,90.0,-0.0010417527463817,-0.0010644663320577,-0.0010190391607057
0.03,90.0,-0.001053233559499,-0.0010763153045216,-0.0010301518144763
0.04,90.0,-0.0010726031318673,-0.0010963340118262,-0.0010488722519084
0.05,90.0,-0.0010997485611926,-0.0011243885557507,-0.0010751085666346
0.06,90.0,-0.0011338432774753,-0.0011595952126041,-0.0011080913423466
0.07,90.0,-0.0011738407984886,-0.0012008572607881,-0.0011468243361892
0.08,90.0,-0.0012186050825677,-0.0012469969572846,-0.0011902132078507
0.09,90.0,-0.0012671692370683,-0.0012970226346094,-0.0012373158395272
0.1,90.0,-0.0013187812277596,-0.0013501573167011,-0.001287405138818
0.11,90.0,-0.0013727255779249,-0.0014056582870666,-0.0013397928687832
0.12,90.0,-0.0014281297776426,-0.0014626582213745,-0.0013936013339106
0.13,90.0,-0.0014847652537478,-0.001520884632647,-0.0014486458748486
0.14,90.0,-0.0015422124968998,-0.0015799275333604,-0.0015044974604393
0.15,90.0,-0.0016000354718654,-0.0016393574815989,-0.0015607134621319
0.16,90.0,-0.0016578901530843,-0.0016988041474613,-0.0016169761587073
0.17,90.0,-0.0017157526645722,-0.0017582509605252,-0.0016732543686191
0.18,90.0,-0.0017733799198252,-0.001817430541976,-0.0017293292976745
0.19,90.0,-0.001830429221559,-0.0018760318941339,-0.0017848265489841
0.2,90.0,-0.0018871963343654,-0.0019343344274303,-0.0018400582413006
0.21,90.0,-0.0019429384674446,-0.001991589396478,-0.0018942875384112
0.22,90.0,-0.0019984212140889,-0.0020485413396061,-0.0019483010885717
0.23,90.0,-0.0020528694788064,-0.002104479841456,-0.0020012591161568
0.24,90.0,-0.0021066493519982,-0.0021596805804937,-0.0020536181235027
0.25,90.0,-0.0021595695257137,-0.0022140296381147,-0.0021051094133128
0.26,90.0,-0.002211623681921,-0.0022674343620938,-0.0021558130017482
0.27,90.0,-0.0022633450614646,-0.0023205693191266,-0.0022061208038027
0.28,90.0,-0.0023137525881219,-0.0023722826870436,-0.0022552224892002
0.29,90.0,-0.0023633894059667,-0.0024232400543258,-0.0023035387576076
0.3,90.0,-0.0024120221169115,-0.0024730712541627,-0.0023509729796602
0.31,90.0,-0.0024600576706066,-0.0025224696664299,-0.0023976456747833
0.32,90.0,-0.0025072441739497,-0.002570906347739,-0.0024435820001603
0.33,90.0,-0.0025536679461305,-0.0026185308804702,-0.0024888050117908
0.34,90.0,-0.0025992142545995,-0.0026652630079984,-0.0025331655012006
0.35,90.0,-0.0026439096662636,-0.0027111489930635,-0.0025766703394637
0.36,90.0,-0.0026880839282183,-0.0027565335851071,-0.0026196342713296
0.37,90.0,-0.0027313246211081,-0.0028008784575324,-0.0026617707846837
0.38,90.0,-0.0027738162815729,-0.0028444713283857,-0.0027031612347602
0.39,90.0,-0.0028155274516555,-0.0028872502603951,-0.0027438046429159
0.4,90.0,-0.0028570387247065,-0.002929867603002,-0.002784209846411
0.41,90.0,-0.002897524042012,-0.0029714255087858,-0.0028236225752381
0.42,90.0,-0.0029371467448076,-0.0030120648132481,-0.002862228676367
0.43,90.0,-0.002976235210892,-0.0030521532513787,-0.0029003171704053
0.44,90.0,-0.0030149152968611,-0.0030918863121489,-0.0029379442815733
0.45,90.0,-0.0030527090936648,-0.0031306767407769,-0.0029747414465526
0.46,90.0,-0.0030901908214806,-0.0031691363211501,-0.0030112453218111
0.47,90.0,-0.0031268780252424,-0.0032067649983057,-0.003046991052179
0.48,90.0,-0.003163263463984,-0.0032441216318467,-0.0030824052961212
0.49,90.0,-0.0031987402017416,-0.0032804710227167,-0.0031170093807665
0.5,90.0,-0.0032337815991846,-0.0033164188079795,-0.0031511443903896
0.51,90.0,-0.0032681214991626,-0.0033517235219484,-0.0031845194763769
0.52,90.0,-0.0033020597028558,-0.0033864849648728,-0.0032176344408388
0.53,90.0,-0.0033359571712411,-0.0034212692817215,-0.0032506450607607
0.54,90.0,-0.0033692630357981,-0.0034554310529043,-0.0032830950186919
0.55,90.0,-0.0034016920484301,-0.0034886741981596,-0.0033147098987007
0.56,90.0,-0.0034335220753845,-0.003521335985737,-0.0033457081650319
0.57,90.0,-0.0034650446162788,-0.0035535655420902,-0.0033765236904674
0.58,90.0,-0.0034965361820889,-0.0035859356164497,-0.003407136747728
0.59,90.0,-0.003527513946688,-0.0036177164372426,-0.0034373114561334
0.6,90.0,-0.0035582178432522,-0.0036491596122695,-0.003467276074235
0.61,90.0,-0.0035880145977466,-0.0036796586090521,-0.003496370586441
0.62,90.0,-0.0036178862131098,-0.0037103326286632,-0.0035254397975564
0.63,90.0,-0.0036470834945005,-0.003740203158378,-0.0035539638306231
0.64,90.0,-0.0036757066479012,-0.0037695153910989,-0.0035818979047035
0.65,90.0,-0.003704579279149,-0.0037991305351665,-0.0036100280231314
0.66,90.0,-0.0037325254915804,-0.0038278764039548,-0.003637174579206
0.67,90.0,-0.0037601015322527,-0.0038560529597571,-0.0036641501047484
0.68,90.0,-0.003787457562328,-0.0038840165408845,-0.0036908985837715
0.69,90.0,-0.0038153424007827,-0.0039127112276802,-0.0037179735738852
0.7,90.0,-0.0038424842835618,-0.0039404720307214,-0.0037444965364021
0.71,90.0,-0.0038682884930063,-0.0039669185822429,-0.0037696584037696
0.72,90.0,-0.0038945909651146,-0.0039937429952434,-0.0037954389349858
0.73,90.0,-0.0039203614892331,-0.0040201545645479,-0.0038205684139184
0.74,90.0,-0.0039460453161756,-0.0040465027101142,-0.0038455879222369
0.75,90.0,-0.0039711634561627,-0.0040722365168129,-0.0038700903955125
0.76,90.0,-0.0039961480851414,-0.0040977782414683,-0.0038945179288144
0.77,90.0,-0.0040217272134218,-0.004123911889174,-0.0039195425376695
0.78,90.0,-0.0040459745775122,-0.0041487978110673,-0.0039431513439571
0.79,90.0,-0.0040701030200083,-0.0041733922552349,-0.0039668137847818
0.8,90.0,-0.0040939638134458,-0.0041978716681184,-0.0039900559587732
0.81,90.0,-0.0041173880404072,-0.0042218507601244,-0.00401292532069
0.82,90.0,-0.0041415542848697,-0.0042465244588254,-0.004036584110914
0.83,90.0,-0.0041642952540464,-0.0042697759847317,-0.0040588145233611
0.84,90.0,-0.0041875203773507,-0.00429350724799,-0.0040815335067115
0.85,90.0,-0.004210174242789,-0.004316616604287,-0.004103731881291
0.86,90.0,-0.004232905018751,-0.0043400221929258,-0.0041257878445762
0.87,90.0,-0.0042559391855378,-0.0043635096612171,-0.0041483687098584
0.88,90.0,-0.0042780764989442,-0.0043861347865409,-0.0041700182113476
0.89,90.0,-0.0042993515563858,-0.0044077648861611,-0.0041909382266105
0.9,90.0,-0.0043211469651695,-0.0044301842322786,-0.0042121096980605
0.91,90.0,-0.0043439441217632,-0.0044534394056634,-0.004234448837863
0.92,90.0,-0.0043648447016749,-0.0044747116699067,-0.0042549777334431
0.93,90.0,-0.0043859542224873,-0.0044962595877459,-0.0042756488572287
0.94,90.0,-0.0044071774849236,-0.0045180478254728,-0.0042963071443744
0.95,90.0,-0.0044279225632141,-0.004539069384572,-0.0043167757418561
0.96,90.0,-0.0044489273501161,-0.0045606310956618,-0.0043372236045703
0.97,90.0,-0.004468667453029,-0.0045806709441393,-0.0043566639619188
0.98,90.0,-0.0044895412646291,-0.0046021069559261,-0.0043769755733321
0.99,90.0,-0.0045099622741951,-0.0046228083860291,-0.0043971161623612
1.0,90.0,-0.0045300391108561,-0.0046433074185678,-0.0044167708031444
1.01,90.0,-0.0045504743623664,-0.0046640945352204,-0.0044368541895123
1.02,90.0,-0.004569241289805,-0.0046833478496847,-0.0044551347299253
1.03,90.0,-0.0045901342085334,-0.0047045716500353,-0.0044756967670315
1.04,90.0,-0.0046081828710813,-0.0047230019039994,-0.0044933638381632
1.05,90.0,-0.004628087817669,-0.0047434072872551,-0.0045127683480829
1.06,90.0,-0.0046483149406073,-0.0047640408404469,-0.0045325890407676
1.07,90.0,-0.0046667235579712,-0.0047825855644117,-0.0045508615515308
1.08,90.0,-0.00468521206542,-0.0048017365119069,-0.0045686876189331
1.09,90.0,-0.0047040574471329,-0.0048205858614083,-0.0045875290328574
1.1,90.0,-0.004722975709038,-0.0048398733005221,-0.004606078117554
1.11,90.0,-0.0047409058152594,-0.0048583028675064,-0.0046235087630124
1.12,90.0,-0.0047600194602301,-0.0048775489069539,-0.0046424900135063
1.13,90.0,-0.0047785507505774,-0.0048965091651437,-0.0046605923360111
1.14,90.0,-0.0047969702619884,-0.0049152993641144,-0.0046786411598624
1.15,90.0,-0.0048146970250509,-0.0049333633149415,-0.0046960307351602
1.16,90.0,-0.0048329049505839,-0.0049518401963179,-0.0047139697048499
1.17,90.0,-0.004850526059358,-0.0049697122460872,-0.0047313398726288
1.18,90.0,-0.0048686909446252,-0.0049882880814618,-0.0047490938077887
1.19,90.0,-0.0048860696849903,-0.0050058288238515,-0.004766310546129
1.2,90.0,-0.004904677602526,-0.005024848740441,-0.0047845064646109
1.21,90.0,-0.0049214884944677,-0.0050418045386918,-0.0048011724502435
1.22,90.0,-0.004939518386223,-0.0050601240254946,-0.0048189127469515
1.23,90.0,-0.0049558898504128,-0.0050767717693517,-0.004835007931474
1.24,90.0,-0.0049730969962188,-0.0050941028493583,-0.0048520911430794
1.25,90.0,-0.0049910231569223,-0.0051125642652011,-0.0048694820486435
1.26,90.0,-0.0050086693043296,-0.0051302028124481,-0.0048871357962111
1.27,90.0,-0.0050248480427756,-0.0051467369783615,-0.0049029591071897
1.28,90.0,-0.0050421464700025,-0.0051642635071799,-0.0049200294328251
1.29,90.0,-0.0050592052373747,-0.0051815958475031,-0.0049368146272464
1.3,90.0,-0.005075844166638,-0.0051988138584544,-0.0049528744748216
1.31,90.0,-0.0050919585710629,-0.0052145504599806,-0.0049693666821452
1.32,90.0,-0.0051087965412434,-0.0052318453016455,-0.0049857477808412
1.33,90.0,-0.0051260852689923,-0.0052493899039324,-0.0050027806340523
