beta,n_radius,rmse,mae,spin_minus_gaussian_bias
0.15,250,0.00013522324869665774,0.00011634793218824724,3.47118158247232e-05
0.13,250,0.0004130803763714271,0.00037070348025569595,-0.00037070348025569595
0.17,250,0.0007728125610366466,0.0007506062758909305,0.0007506062758909305
0.11,250,0.0008455483563776155,0.0008091874411454252,-0.0008091874411454252
0.09,250,0.0011167679315111619,0.0010790244304127747,-0.0010790244304127747
0.19,250,0.0014463216742693881,0.0014057729902644137,0.0014057729902644137
0.07,250,0.0015512067753579992,0.0015032200768054981,-0.0015032200768054981
0.05,250,0.0018225967326883684,0.0017719298187806576,-0.0017719298187806576
0.21,250,0.0020919400260975248,0.002023884998603544,0.002023884998603544
0.23,250,0.0025627484845376193,0.0024781695169333396,0.0024781695169333396
0.25,250,0.0028672119549439483,0.002777050958260106,0.002777050958260106
0.27,250,0.0029818519794952147,0.0028927467227772103,0.0028927467227772103
0.29,250,0.0030988943824252196,0.003008797757201287,0.003008797757201287
0.35,250,0.003131776425557816,0.0030479869462195818,0.0030479869462195818
0.31,250,0.0031367627956565957,0.0030484057336561186,0.0030484057336561186
0.37,250,0.0031688170194069574,0.003084818563129602,0.003084818563129602
0.33,250,0.0031732073066641255,0.003086076155034984,0.003086076155034984
0.39,250,0.003191109068242987,0.0031075456860453327,0.0031075456860453327
