radius,dataset_count,dphi_energy_dr_mean,dphi_energy_dr_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,dphi_energy_dr_sem,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high
0.01,90,-0.00024279388682609925,5.860354870907479e-05,30.0,30,30,6.177356429643222e-06,-0.0002549015054282,-0.00023068626822399853
0.02,90,-0.0007805264685649142,0.00017883739262230153,30.0,30,30,1.8851116383075516e-05,-0.0008174746566757422,-0.0007435782804540862
0.03,90,-0.0015358443972387143,0.0003284746549641207,30.0,30,30,3.462426877748518e-05,-0.0016037079640425853,-0.0014679808304348433
0.04,90,-0.0023356100607979046,0.00046266269996101403,30.0,30,30,4.876893067599668e-05,-0.002431197164922858,-0.0022400229566729513
0.05,90,-0.0030784178871548352,0.0005700068145773365,30.0,30,30,6.00839938627217e-05,-0.00319618251512577,-0.0029606532591839006
0.06,90,-0.0037209366534118045,0.0006505389144909456,30.0,30,30,6.857282254549684e-05,-0.0038553393856009784,-0.0035865339212226306
0.07,90,-0.004255734002001797,0.0007081282140383633,30.0,30,30,7.464326772628162e-05,-0.0044020348067453086,-0.004109433197258285
0.08,90,-0.004685780304455803,0.0007486062942856722,30.0,30,30,7.891003202270056e-05,-0.004840443967220296,-0.00453111664169131
0.09,90,-0.0050238764699357535,0.0007774128097188232,30.0,30,30,8.194650536341886e-05,-0.005184491620448054,-0.004863261319423453
0.1,90,-0.005284061945158462,0.0007958512778966271,30.0,30,30,8.389009056363202e-05,-0.005448486522663181,-0.005119637367653744
0.11,90,-0.005478481580221488,0.0008065609040558165,30.0,30,30,8.501898428203067e-05,-0.0056451187894142685,-0.005311844371028708
0.12,90,-0.005615752788895251,0.0008127903094021243,30.0,30,30,8.567562126078943e-05,-0.0057836770065663986,-0.005447828571224104
0.13,90,-0.005708035552558024,0.0008139929703130553,30.0,30,30,8.580239285183592e-05,-0.0058762082425476226,-0.005539862862568425
0.14,90,-0.005763945852566746,0.0008109336069725676,30.0,30,30,8.547990764030384e-05,-0.005931486471541741,-0.005596405233591751
0.15,90,-0.005789322273590451,0.0008064266776920246,30.0,30,30,8.500483558097651e-05,-0.005955931751329165,-0.005622712795851737
0.16,90,-0.005790175744768107,0.0008001211889311858,30.0,30,30,8.43401787061484e-05,-0.005955482495032158,-0.005624868994504056
0.17,90,-0.005771446972646044,0.0007915541147573515,30.0,30,30,8.3437129797051e-05,-0.005934983747048264,-0.005607910198243824
0.18,90,-0.005737055625544736,0.0007816231874821034,30.0,30,30,8.239031814814188e-05,-0.005898540649115094,-0.0055755706019743785
0.19,90,-0.005688677310333985,0.0007710609605988149,30.0,30,30,8.127696167765344e-05,-0.005847980155222186,-0.005529374465445784
0.2,90,-0.0056316776827351955,0.0007602583698812293,30.0,30,30,8.013826863438133e-05,-0.005788748689258583,-0.005474606676211808
0.21,90,-0.0055644541366622535,0.0007487221973224936,30.0,30,30,7.892224927550342e-05,-0.00571914174524224,-0.005409766528082267
0.22,90,-0.005493339650162845,0.000736255453084387,30.0,30,30,7.760813904886351e-05,-0.005645451602698618,-0.005341227697627073
0.23,90,-0.0054178182264365176,0.0007236821367395018,30.0,30,30,7.628279513580816e-05,-0.005567332504902702,-0.0052683039479703335
0.24,90,-0.005338815320511165,0.0007121277016006671,30.0,30,30,7.506485073196145e-05,-0.00548594242794581,-0.00519168821307652
0.25,90,-0.005255773785823728,0.0006992220894198801,30.0,30,30,7.370447976229146e-05,-0.00540023456615782,-0.005111313005489637
0.26,90,-0.0051745283255803754,0.0006877159077173382,30.0,30,30,7.249162171723192e-05,-0.00531661190414615,-0.005032444747014601
0.27,90,-0.005091192022466639,0.0006753099534833698,30.0,30,30,7.118391931966025e-05,-0.0052307125043331735,-0.004951671540600105
0.28,90,-0.005008038057444553,0.0006632155146118761,30.0,30,30,6.990905352447371e-05,-0.005145059802352522,-0.004871016312536584
0.29,90,-0.004924387716860435,0.0006513953037082816,30.0,30,30,6.866309389517652e-05,-0.0050589673808949815,-0.004789808052825889
0.3,90,-0.004841024734295845,0.000637801352102022,30.0,30,30,6.723016557924703e-05,-0.004972795858831169,-0.004709253609760521
0.31,90,-0.004759135242882479,0.0006274942588147054,30.0,30,30,6.614370255112193e-05,-0.004888776899882678,-0.00462949358588228
0.32,90,-0.004677350403002941,0.0006157974045503763,30.0,30,30,6.491074585331084e-05,-0.00480457546487543,-0.004550125341130452
0.33,90,-0.004597389971152284,0.0006050044221592098,30.0,30,30,6.377306561657161e-05,-0.004722385179760764,-0.0044723947625438035
0.34,90,-0.004521425324427897,0.0005955704616264417,30.0,30,30,6.277863886191552e-05,-0.004644471456597251,-0.004398379192258542
0.35,90,-0.004442020612488312,0.0005830615645802332,30.0,30,30,6.146008533916314e-05,-0.004562482379753072,-0.004321558845223552
0.36,90,-0.0043668726393257,0.0005736553397173191,30.0,30,30,6.046858218081269e-05,-0.004485391060400093,-0.004248354218251307
0.37,90,-0.0042934907786123175,0.0005638233406611279,30.0,30,30,5.9432198481806345e-05,-0.004409977887636658,-0.004177003669587977
0.38,90,-0.0042208578671102176,0.0005530422392059894,30.0,30,30,5.829577060568658e-05,-0.004335117577497364,-0.0041065981567230715
0.39,90,-0.004149007441812378,0.0005416391456353393,30.0,30,30,5.7093779003844027e-05,-0.004260911248659912,-0.004037103634964844
0.4,90,-0.0040822376002112104,0.0005338548578902046,30.0,30,30,5.627324302928529e-05,-0.004192533156548609,-0.003971942043873812
0.41,90,-0.004016891025425787,0.0005254611854578424,30.0,30,30,5.538847226863095e-05,-0.004125452431072304,-0.003908329619779271
0.42,90,-0.003949346409232081,0.0005152885443105402,30.0,30,30,5.431618174046351e-05,-0.0040558061254433895,-0.0038428866930207725
0.43,90,-0.003884033933092148,0.0005054329420750316,30.0,30,30,5.32773100479017e-05,-0.003988457460786035,-0.0037796104053982606
