beta,complexity_C,r_star_dmax_0p3,g_min_dmax_0p3,recovery_by_0p3,I_norm,O_smooth_norm,inflection_by_0p3,inflection_full,regime_by_inflection
0.05,0.4780205944187179,0.13,-0.0080250345473557,0.0017610384389907,1.0,0.0,True,True,inflection-present / sharp early trough
0.07,0.461847794844466,0.13,-0.0075461236233053,0.0015539597745058,0.8824110479930338,0.11758895200696617,True,True,inflection-present / sharp early trough
0.09,0.4369968616477327,0.13,-0.0068260188877388,0.0013259750169047,0.7529506384111939,0.24704936158880608,True,True,inflection-present / sharp early trough
0.11,0.4112540940673032,0.13,-0.0062664480830306,0.0011212881428633,0.6367198568964465,0.3632801431035535,True,True,inflection-present / sharp early trough
0.13,0.3783452565699349,0.14,-0.0054545554572115,0.0007979403970182,0.45310788189014306,0.5468921181098569,True,True,inflection-present / sharp early trough
0.15,0.3261466985217294,0.15,-0.0046813266903844,0.0005342148747086,0.3033521942966636,0.6966478057033364,True,True,inflection-present / sharp early trough
0.17,0.2671031098709601,0.16,-0.0034897507703925,0.0002696138369715,0.1530993480903365,0.8469006519096635,True,True,inflection-present / sharp early trough
0.19,0.2038299570072067,0.17,-0.0025592673080216,9.668625793744736e-05,0.054902979853671416,0.9450970201463286,False,True,inflection-present / shallow or delayed trough
0.21,0.1502594046517673,0.19,-0.0017312925582552,1.6415903413381956e-05,0.009321717828482134,0.9906782821715179,False,False,no clear inflection in observed window
0.23,0.1149051806948273,0.3,-0.0012643416192896,0.0,0.0,1.0,False,False,no clear inflection in observed window
0.25,0.097214958381373,0.3,-0.0010203966523747,0.0,0.0,1.0,False,False,no clear inflection in observed window
0.27,0.0861496560433926,0.3,-0.0009661300588719,0.0,0.0,1.0,False,False,no clear inflection in observed window
0.29,0.0771766790992058,0.3,-0.0008711215647499,0.0,0.0,1.0,False,False,no clear inflection in observed window
0.31,0.0765370917342303,0.3,-0.0008962913565335,0.0,0.0,1.0,False,False,no clear inflection in observed window
0.33,0.0713154994114632,0.3,-0.0009105209776678,0.0,0.0,1.0,False,False,no clear inflection in observed window
0.35,0.071285406235025,0.3,-0.0010231021321196,0.0,0.0,1.0,False,False,no clear inflection in observed window
0.37,0.0714396013009783,0.3,-0.0009966186189983,0.0,0.0,1.0,False,False,no clear inflection in observed window
0.39,0.0714434902626432,0.3,-0.000989242992466,0.0,0.0,1.0,False,False,no clear inflection in observed window
