metric,gaussian_value,nearest_spin_beta,projected_beta_interp,corr_with_complexity_C,spin_min,spin_max,dynamic_range
curvature_peak_pos_0p3,0.008461086271124074,0.11,0.10275615479755866,0.963490467157061,0.0,0.011990018073419928,0.011990018073419928
positive_curvature_area_after_trough_0p3,0.000984142249815505,0.11,0.11874487765992048,0.9500576751314539,0.0,0.0017499317156071882,0.0017499317156071882
trough_depth_0p3,0.005829713940472221,0.13,0.12114630897534857,0.9939684881710817,0.0008711215647499802,0.008025034547355746,0.007153912982605766
early_recovery_0p3,0.000985919870560228,0.11,0.11885348045632643,0.9499407640466282,0.0,0.0017610384389907434,0.0017610384389907434
energy_cost_at_0p3,0.0024120221169115,0.13,0.13817895680929326,0.997491343345585,0.0003328105571297,0.003565219272358,0.0032324087152283
energy_cost_at_2p5,0.0069048414682248,0.15,0.15456906362363373,0.9990278178364208,0.0032663950789468,0.0091114912714787,0.005845096192531899
stripped_energy_cost_at_0p3,0.0013806687598207,0.13,0.12576274785192693,0.9972301894216643,0.000169755685976,0.0019391873979304,0.0017694317119544
stripped_energy_cost_at_2p5,0.0058734881111341,0.15,0.15376243737631953,0.9988498454158711,0.0030689758135961,0.0074854593970511,0.004416483583455
integrated_energy_cost_0p3,0.0004780911131973985,0.15,0.1467028006995854,0.995234920434399,6.482308938487701e-05,0.0007364058184804969,0.0006715827290956199
integrated_trough_depth_0p3,0.0013782406454964104,0.13,0.12587466263073516,0.9971938989653247,0.00016758025570974374,0.0019397967815018753,0.0017722165257921315
Hq0.9_r2.5,4.0,0.05,,,4.0,4.0,0.0
Hq0.99_r2.5,6.0,0.05,,0.8850943089540508,4.0,6.0,2.0
Rq0.9_r2.5,0.9003906250000001,0.07,,-0.5332489728011155,0.9101562499999998,1.0,0.08984375000000022
