family,beta,r_star_full,r_star_0p3,trough_depth_full,trough_depth_0p3,early_recovery_0p3,curvature_peak_pos_0p3,curvature_peak_neg_0p3,curvature_swing_0p3,positive_curvature_area_after_trough_0p3,energy_cost_at_0p3,energy_cost_at_2p5,stripped_energy_cost_at_0p3,stripped_energy_cost_at_2p5,integrated_energy_cost_0p3,integrated_trough_depth_0p3,knn_edge_disagreement_mean,knn_label_autocorrelation_mean,Hq0.5_r0.3,Rq0.5_r0.3,Hq0.5_r1,Rq0.5_r1,Hq0.5_r2.5,Rq0.5_r2.5,Hq0.9_r0.3,Rq0.9_r0.3,Hq0.9_r1,Rq0.9_r1,Hq0.9_r2.5,Rq0.9_r2.5,Hq0.99_r0.3,Rq0.99_r0.3,Hq0.99_r1,Rq0.99_r1,Hq0.99_r2.5,Rq0.99_r2.5
spin,0.05,0.13,0.13,0.008025034547355746,0.008025034547355746,0.0017610384389907434,0.011990018073419928,0.15043140331859572,0.16242142139201565,0.0017499317156071882,0.003565219272358,0.0091114912714787,0.0019391873979304,0.0074854593970511,0.0007364058184804969,0.0019397967815018753,0.4780205944187179,0.043958811162564,2.0,0.7047679758148387,4.0,0.6927089983891477,4.0,0.6689453124999996,4.0,0.9687499999999996,4.0,0.9738636057377912,4.0,0.9169921875,4.0,1.0,4.0,0.9912109375,6.0,0.9990599175971728
spin,0.07,0.13,0.13,0.0075461236233053345,0.0075461236233053345,0.001553959774505881,0.01080247961726355,0.1401846097067674,0.15098708932403096,0.0015432972963252897,0.0033544294165706,0.008813324904367,0.001826059539537,0.0072849550273333,0.000690982255489223,0.0018269219521577422,0.461847794844466,0.0763044103110679,2.0,0.6638675605113524,4.0,0.5325702745674001,4.0,0.8798828124999998,4.0,1.0,4.0,0.9404296874999994,4.0,0.9101562499999998,4.0,1.0,4.0,0.9970703125,6.0,0.9952053646753136
spin,0.09,0.13,0.13,0.006826018887738841,0.006826018887738841,0.0013259750169047164,0.00925286378856005,0.1259700198597347,0.13522288364829474,0.0013174118298017656,0.0030678007093083,0.0083139285473205,0.0016629058154338,0.006909033653446,0.000633070162529343,0.0016623447141664524,0.4369968616477327,0.1260062767045345,2.0,0.928767653674866,4.0,0.8330078125000001,4.0,0.7011718749999999,2.0,0.928767653674866,4.0,0.9823896980029212,4.0,0.9257812499999996,4.0,1.0,4.0,0.9990234374999996,6.0,0.9996923989988352
spin,0.11,0.13,0.13,0.006266448083030618,0.006266448083030618,0.0011212881428633468,0.007970968532031997,0.11435672763027628,0.12232769616230828,0.0011173218629193294,0.0028614982718881,0.0080189650366766,0.0015317261208443,0.0066891928856328,0.0005924549104194991,0.0015307033895825789,0.4112540940673032,0.1774918118653937,2.0,0.9022153717684436,4.0,0.9737293031282884,4.0,0.7685546875,2.0,0.9022153717684436,4.0,0.9737293031282884,4.0,0.9121917086093448,4.0,0.9912109375,4.0,0.9990234374999996,6.0,0.9970887718043988
spin,0.13,0.14,0.14,0.00545455545721159,0.00545455545721159,0.0007979403970182928,0.006022283283863089,0.09664481853111637,0.10266710181497946,0.0007933435504429898,0.0025243169524961,0.0075314266188082,0.0013392727381324,0.0063463824044445,0.0005220716855622619,0.0013379482066723262,0.3783452565699349,0.2433094868601301,2.0,0.9882229697870176,4.0,0.9329212826527266,4.0,0.7128906250000001,2.0,0.9882229697870176,4.0,0.9329212826527266,4.0,0.9267578124999994,2.0,0.9918903035038544,4.0,1.0,6.0,0.9983458508022142
spin,0.15,0.15,0.15,0.004681326690384493,0.004681326690384493,0.0005342148747086179,0.004342824738300971,0.08145684778915864,0.08579967252745961,0.0005310685702612154,0.0022449008845567,0.0070653653550704,0.0011584255744831,0.0059788900449968,0.00046806612161972303,0.001157159004224968,0.3261466985217294,0.3477066029565411,2.0,0.5473734507848012,4.0,0.9049046080457708,4.0,0.846923587400834,2.0,0.9538095904191464,4.0,0.9049046080457708,4.0,0.9677734374999994,2.0,0.9992686762553644,4.0,0.990538645158679,4.0,0.9924270720681888
spin,0.17,0.16,0.16,0.0034897507703925755,0.0034897507703925755,0.00026961383697150397,0.002310285680571844,0.05938500879515779,0.061695294475729634,0.00026789954772997644,0.00180652909295,0.006209785044212,0.0008704053757633,0.0052736613270254,0.0003854732821102895,0.0008682246412346641,0.2671031098709601,0.4657937802580798,2.0,0.8104647425480938,4.0,0.9938232009633194,4.0,0.5957031249999997,2.0,0.9785017074643786,4.0,0.9938232009633194,4.0,0.9326171875,2.0,0.9957643330400868,4.0,0.9938232009633194,4.0,0.994216848386324
spin,0.19,0.17,0.17,0.0025592673080216967,0.0025592673080216967,9.668625793744735e-05,0.00099533766696272,0.04185990934441626,0.04285524701137898,9.671825960973585e-05,0.0014349905993326,0.0053800099248918,0.0006405483100925,0.0045855676356517,0.00031329403685648947,0.0006383605459022929,0.2038299570072067,0.5923400859855866,1.0,0.5162986942264668,2.0,0.5537109374999998,4.0,0.5647350028287632,2.0,1.0,4.0,0.9257619098599988,4.0,0.9134014687299156,2.0,1.0,4.0,0.9902323676777331,4.0,0.998046875
spin,0.21,0.19,0.19,0.0017312925582552323,0.0017312925582552323,1.6415903413381956e-05,0.0001893190365478553,0.02834228367053482,0.028531602707082677,1.6268896049661943e-05,0.001128570255569,0.0045598345532529,0.0004378913233809,0.0038691556210647,0.0002570389329622185,0.0004355970412615646,0.1502594046517673,0.6994811906964653,1.0,0.8764780333540105,2.0,0.5781249999999999,4.0,0.9165029195733684,1.0,0.9429444458545008,2.0,0.9052734375,4.0,0.9165029195733684,2.0,1.0,4.0,0.991477686783804,4.0,0.9921875000000002
spin,0.23,2.5,0.3,0.0015094609175055004,0.0012643416192896387,0.0,0.0,0.019025897589471378,0.019025897589471378,0.0,0.0008705508715894,0.0039741244428183,0.0003094013289616,0.0034129749001905,0.00020247091978426102,0.0003071078488070779,0.1149051806948273,0.7701896386103453,1.0,0.8199393375809945,2.0,0.920404451288463,2.0,0.5234374999999999,1.0,0.957289248628072,2.0,0.920404451288463,4.0,0.9121093749999994,1.0,0.9927934616516004,4.0,0.9990234374999996,4.0,0.994140625
