radius,dataset_count,phi_energy_mean,phi_energy_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,unit_count,phi_energy_sem,phi_energy_ci95_low,phi_energy_ci95_high
0.01,33,-0.001030202572417907,0.00011337830783951131,29.606060606060606,18,30,977,1.973663006492565e-05,-0.0010688863673451612,-0.0009915187774906526
0.02,33,-0.0010354133395879055,0.00011354288479348653,29.151515151515152,5,30,962,1.9765279235297985e-05,-0.0010741532868890895,-0.0009966733922867216
0.03,34,-0.0010510550019397677,0.00011568765949972999,28.764705882352942,1,30,978,1.9840269922652016e-05,-0.0010899419309881658,-0.0010121680728913697
0.04,33,-0.0010632396144059186,0.00012160918990654777,29.151515151515152,4,30,962,2.1169442721603145e-05,-0.0011047317221402609,-0.0010217475066715764
0.05,33,-0.0010931784987161439,0.00012116146510368008,29.636363636363637,20,30,978,2.109150383740671e-05,-0.001134517846237461,-0.0010518391511948268
0.06,33,-0.0011294527162401104,0.00012508758782988654,29.060606060606062,4,30,959,2.1774954078579126e-05,-0.0011721316262341254,-0.0010867738062460954
0.07,33,-0.0011669515617985886,0.0001320463813310115,29.606060606060606,18,30,977,2.29863245395347e-05,-0.0012120047578960767,-0.0011218983657011006
0.08,33,-0.0012120511228306304,0.0001385360798986036,29.181818181818183,6,30,963,2.4116036054040186e-05,-0.0012593185534965493,-0.0011647836921647116
0.09,34,-0.001267283558710085,0.0001517536123202048,28.735294117647058,1,30,977,2.6025529803179916e-05,-0.0013182935971243178,-0.0012162735202958523
0.1,33,-0.0013117193824727447,0.0001518862320831434,29.181818181818183,5,30,963,2.643999925297671e-05,-0.001363541781008579,-0.0012598969839369104
0.11,34,-0.001370607483489507,0.00016459404014733677,28.764705882352942,1,30,978,2.822764500815755e-05,-0.0014259336677054958,-0.001315281299273518
0.12,33,-0.001422159564758188,0.00016616836498007303,29.060606060606062,4,30,959,2.8926199469721984e-05,-0.0014788549157188431,-0.0013654642137975329
0.13,33,-0.0014747392906882756,0.0001758212841313271,29.636363636363637,19,30,978,3.0606557008702154e-05,-0.001534728142425332,-0.0014147504389512193
0.14,33,-0.0015293467376379809,0.00018607078330325878,29.181818181818183,6,30,963,3.239076579927189e-05,-0.0015928326386045538,-0.001465860836671408
0.15,33,-0.0015897895852672905,0.00019080787808867784,29.606060606060606,18,30,977,3.3215388155557595e-05,-0.0016548917460521833,-0.0015246874244823976
0.16,33,-0.0016536539921676787,0.00019751373957666756,29.151515151515152,4,30,962,3.438272880455044e-05,-0.0017210441406245976,-0.0015862638437107598
0.17,34,-0.0017106445408947197,0.00021369997819165206,28.794117647058822,1,30,979,3.664924390485332e-05,-0.0017824770589482323,-0.0016388120228412071
0.18,33,-0.0017626892638898043,0.00021176177919172357,29.09090909090909,4,30,960,3.686299414270331e-05,-0.0018349407324095028,-0.0016904377953701059
0.19,33,-0.0018155055590007205,0.00022364023551118433,29.636363636363637,20,30,978,3.8930767975167185e-05,-0.0018918098642320483,-0.0017392012537693928
0.2,33,-0.0018727032216869811,0.00022981658672771715,29.151515151515152,4,30,962,4.000593271730034e-05,-0.0019511148498128899,-0.0017942915935610724
0.21,33,-0.0019283675326304494,0.00023624826263620181,29.636363636363637,19,30,978,4.112554378331608e-05,-0.002008973598445749,-0.0018477614668151498
0.22,33,-0.0019966390349495256,0.0002443834605818201,29.151515151515152,4,30,962,4.254169997242492e-05,-0.0020800207668954787,-0.0019132573030035728
0.23,34,-0.002047966117570862,0.00025116631627580816,28.794117647058822,1,30,979,4.3074667876756986e-05,-0.0021323924666093058,-0.001963539768532418
0.24,33,-0.0020959330417799267,0.00025600510161069855,29.09090909090909,4,30,960,4.456476800109065e-05,-0.0021832799870620642,-0.002008586096497789
0.25,33,-0.002143342310479887,0.00026542223617955944,29.606060606060606,19,30,977,4.620408071265732e-05,-0.002233902308676695,-0.0020527823122830787
0.26,33,-0.0021956421757695003,0.0002733781262388767,29.060606060606062,3,30,959,4.75890234052245e-05,-0.0022889166616437404,-0.0021023676898952602
0.27,33,-0.0022458416950579146,0.0002796954417734027,29.575757575757574,18,30,976,4.868872688540731e-05,-0.002341271599753313,-0.0021504117903625164
0.28,33,-0.002305653900512658,0.00028256153764805544,29.151515151515152,5,30,962,4.918765013701116e-05,-0.0024020616947811996,-0.002209246106244116
0.29,34,-0.0023498988032175207,0.00028866646623425734,28.794117647058822,1,30,979,4.950589053726293e-05,-0.002446930348670556,-0.0022528672577644855
0.3,33,-0.0023873776404902906,0.00030802713126564137,29.12121212121212,4,30,961,5.36206409814809e-05,-0.002492474096813993,-0.002282281184166588
0.31,33,-0.002444006854020766,0.00030322419968499466,29.606060606060606,19,30,977,5.278455791020632e-05,-0.0025474645875247703,-0.0023405491205167614
0.32,33,-0.002502229695353048,0.0003099856754137248,29.03030303030303,3,30,958,5.3961579755865013e-05,-0.0026079943916745437,-0.0023964649990315524
0.33,33,-0.0025331088353222095,0.0003172593028899875,29.606060606060606,18,30,977,5.522775577722778e-05,-0.0026413552366455757,-0.0024248624339988432
0.34,33,-0.0025801737612799404,0.000320913414742231,29.151515151515152,5,30,962,5.5863855003066255e-05,-0.0026896669170859504,-0.0024706806054739304
0.35,34,-0.0026501080987907906,0.0003581991760258979,28.735294117647058,1,30,977,6.143065188765396e-05,-0.0027705121764905923,-0.002529704021090989
0.36,33,-0.0026614784804297907,0.00034188174865360904,29.151515151515152,4,30,962,5.951397341965532e-05,-0.002778125868332315,-0.0025448310925272662
0.37,33,-0.0027103832196826915,0.00033992013719019335,29.636363636363637,20,30,978,5.917250069420809e-05,-0.0028263613210433394,-0.0025944051183220437
0.38,33,-0.0027674197234518216,0.00034257730143343333,29.060606060606062,4,30,959,5.96350536171606e-05,-0.0028843044285414565,-0.0026505350183621866
0.39,33,-0.002795493548808205,0.00035026374898392253,29.606060606060606,18,30,977,6.097309238937617e-05,-0.0029150008098913823,-0.002675986287725028
0.4,33,-0.0028383648810651426,0.0003551394176914887,29.151515151515152,6,30,962,6.182183736920584e-05,-0.002959535682308786,-0.0027171940798214993
0.41,34,-0.002890491326676943,0.0003638258972164552,28.735294117647058,1,30,977,6.23956266108259e-05,-0.0030127867548341617,-0.0027681958985197245
0.42,33,-0.0029235429937137744,0.0003629210555187752,29.181818181818183,5,30,963,6.317644664167607e-05,-0.0030473688291314596,-0.002799717158296089
0.43,34,-0.002986937601102078,0.0004072247288903049,28.764705882352942,1,30,978,6.983846483972904e-05,-0.003123820992187947,-0.002850054210016209
0.44,33,-0.0030062669073717603,0.0003723512790903218,29.060606060606062,4,30,959,6.481803785614907e-05,-0.0031333102615698125,-0.002879223553173708
0.45,33,-0.003032975208556406,0.0003810975542628379,29.636363636363637,19,30,978,6.634056893652419e-05,-0.0031630027236719933,-0.0029029476934408186
0.46,33,-0.0030677536631910376,0.00038769384250009724,29.181818181818183,6,30,963,6.748883533087443e-05,-0.0032000317804395514,-0.0029354755459425237
0.47,33,-0.003108599683320805,0.0003891311105518684,29.606060606060606,18,30,977,6.773903158430677e-05,-0.0032413681852260464,-0.0029758311814155635
0.48,33,-0.003163552760807436,0.00039860466106043696,29.151515151515152,4,30,962,6.93881650504163e-05,-0.003299553564306252,-0.0030275519573086202
0.49,34,-0.003186211436170802,0.0004065167903974958,28.794117647058822,1,30,979,6.971705438984435e-05,-0.003322856862774897,-0.0030495660095667073
0.5,33,-0.0032183999132638272,0.00039782938323915915,29.09090909090909,4,30,960,6.925320650457381e-05,-0.0033541361980127917,-0.003082663628514863
0.51,33,-0.003242235379316776,0.0004093286568858114,29.606060606060606,19,30,977,7.125497310617617e-05,-0.0033818951266048813,-0.0031025756320286705
0.52,33,-0.0032869412799210046,0.0004084972904712399,29.12121212121212,3,30,961,7.111025078948727e-05,-0.0034263173714683998,-0.0031475651883736094
0.53,33,-0.0033114582376995595,0.0004172719683763254,29.606060606060606,18,30,977,7.26377261509708e-05,-0.0034538281809554624,-0.0031690882944436565
0.54,33,-0.003372320243411177,0.0004277094661618161,29.151515151515152,4,30,962,7.44546612995118e-05,-0.00351825137955822,-0.003226389107264134
0.55,34,-0.0033940854171269057,0.0004228695507342628,28.764705882352942,1,30,978,7.252152965077443e-05,-0.0035362276152424237,-0.0032519432190113878
0.56,33,-0.0034180554732125648,0.00042523049218368527,29.09090909090909,4,30,960,7.402312732022362e-05,-0.003563140802760203,-0.0032729701436649264
0.57,33,-0.0034408952816898705,0.0004319054091094829,29.575757575757574,18,30,976,7.518508121236549e-05,-0.003588258040866107,-0.003293532522513634
0.58,33,-0.0034725360144658196,0.00043939851514243785,29.060606060606062,3,30,959,7.648946354640979e-05,-0.003622455363016783,-0.0033226166659148563
0.59,33,-0.0035015764997782277,0.00044161598053454485,29.575757575757574,18,30,976,7.687547472403066e-05,-0.003652252430237328,-0.0033509005693191274
0.6,33,-0.0035477007534690697,0.0004394541396475395,29.151515151515152,5,30,962,7.649914652987157e-05,-0.003697639080667618,-0.0033977624262705214
0.61,34,-0.003564497397382394,0.000443070734975728,28.764705882352942,1,30,978,7.598600416638886e-05,-0.0037134299655485164,-0.003415564829216272
0.62,33,-0.003580402162987986,0.00046999132583493294,29.12121212121212,4,30,961,8.181498832085574e-05,-0.0037407595400968633,-0.0034200447858791084
0.63,33,-0.003624056156470466,0.0004521814626988411,29.606060606060606,19,30,977,7.871468909323308e-05,-0.0037783369470932027,-0.0034697753658477293
0.64,33,-0.0036709880594252295,0.00045798468310276715,29.03030303030303,3,30,958,7.97249000981428e-05,-0.0038272488636175894,-0.0035147272552328696
0.65,33,-0.0036758903511496465,0.00046107704345201564,29.606060606060606,18,30,977,8.026321093911032e-05,-0.003833206244590303,-0.00351857445770899
0.66,33,-0.003705543691008038,0.00046315045608094787,29.151515151515152,5,30,962,8.062414574938379e-05,-0.00386356701667683,-0.003547520365339246
0.67,34,-0.003775667524855636,0.000525483863582127,28.735294117647058,1,30,977,9.01197391195539e-05,-0.0039523022135299615,-0.0035990328361813102
0.68,33,-0.003751457268813395,0.0004809201062496207,29.151515151515152,4,30,962,8.371744479789913e-05,-0.0039155434606172775,-0.0035873710770095127
0.69,33,-0.003787253940170568,0.0004757110942111022,29.606060606060606,19,30,977,8.281067219238882e-05,-0.00394956285766765,-0.003624945022673486
0.7,33,-0.0038361545031062342,0.00047640925679348146,29.060606060606062,4,30,959,8.293220669820537e-05,-0.003998701628234716,-0.0036736073779777517
0.71,33,-0.0038406141868668375,0.00048031903694316976,29.606060606060606,18,30,977,8.361281206196522e-05,-0.0040044952985082895,-0.0036767330752253856
0.72,33,-0.003870438284001654,0.00048222223416473164,29.151515151515152,6,30,962,8.394411617311611e-05,-0.004034968751700962,-0.0037059078163023465
0.73,34,-0.003910249852704817,0.00048763313145414473,28.735294117647058,1,30,977,8.362839211299684e-05,-0.004074161501246291,-0.003746338204163343
0.74,33,-0.003929647776500767,0.0004844759605045333,29.181818181818183,5,30,963,8.43364395715144e-05,-0.0040949471980609355,-0.003764348354940599
0.75,34,-0.003989595736618524,0.0005514015991941305,28.764705882352942,1,30,978,9.456459410711012e-05,-0.00417494234106846,-0.0038042491321685886
0.76,33,-0.0039869177583764254,0.0004908422596337507,29.060606060606062,4,30,959,8.544467000104137e-05,-0.004154389311578467,-0.003819446205174384
0.77,33,-0.003996371492455347,0.0004984490315671571,29.606060606060606,19,30,977,8.676883902859834e-05,-0.004166438416951399,-0.003826304567959294
0.78,33,-0.004015418687546689,0.0005063467025657816,29.151515151515152,5,30,962,8.814364708354819e-05,-0.004188180235830443,-0.0038426571392629343
