cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path
cell_beta_0p05_p_0p00,beta,0,606001234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_606001234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_000_seed_606001234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,1,606101234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_001_seed_606101234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_001_seed_606101234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,2,606201234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_002_seed_606201234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_002_seed_606201234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,3,606301234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_003_seed_606301234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_003_seed_606301234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,4,606401234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_004_seed_606401234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_004_seed_606401234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,5,606501234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_005_seed_606501234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_005_seed_606501234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,6,606601234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_006_seed_606601234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_006_seed_606601234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,7,606701234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_007_seed_606701234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_007_seed_606701234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,8,606801234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_008_seed_606801234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_008_seed_606801234/dataset_meta.json
cell_beta_0p05_p_0p00,beta,9,606901234,0.05,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_009_seed_606901234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_009_seed_606901234/dataset_meta.json
