cell_id,dataset_tag,width,selected_ref_count,required_selected_refs,require_exact_selected_refs,exact_count,sampling_eligible_count
cell_beta_0p05_p_0p00,dataset_000_seed_606001234,48,0,30,True,0,0
cell_beta_0p07_p_0p00,dataset_000_seed_606003234,48,0,30,True,0,0
cell_beta_0p09_p_0p00,dataset_000_seed_606005234,48,0,30,True,0,0
cell_beta_0p11_p_0p00,dataset_000_seed_606007234,48,0,30,True,0,0
cell_beta_0p13_p_0p00,dataset_000_seed_606009234,48,0,30,True,0,0
cell_beta_0p15_p_0p00,dataset_000_seed_606011234,48,0,30,True,0,0
cell_beta_0p17_p_0p00,dataset_000_seed_606013234,48,0,30,True,0,0
cell_beta_0p19_p_0p00,dataset_000_seed_606015234,48,0,30,True,0,0
cell_beta_0p21_p_0p00,dataset_000_seed_606017234,48,0,30,True,0,0
cell_beta_0p23_p_0p00,dataset_000_seed_606019234,48,0,30,True,0,0
cell_beta_0p25_p_0p00,dataset_000_seed_606021234,48,0,30,True,0,0
cell_beta_0p27_p_0p00,dataset_000_seed_606023234,48,0,30,True,0,0
cell_beta_0p29_p_0p00,dataset_000_seed_606025234,48,0,30,True,0,0
cell_beta_0p31_p_0p00,dataset_000_seed_606027234,48,0,30,True,0,0
cell_beta_0p33_p_0p00,dataset_000_seed_606029234,48,0,30,True,0,0
cell_beta_0p35_p_0p00,dataset_000_seed_606031234,48,0,30,True,0,0
cell_beta_0p37_p_0p00,dataset_000_seed_606033234,48,0,30,True,0,0
cell_beta_0p39_p_0p00,dataset_000_seed_606035234,48,0,30,True,0,0
