beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.05,0.01,2700,-4.604397582845909,-0.0010368939839428728,-4.604397582845909,-0.0010368939839428728,-4.6033662294888185,-5.54062685210762e-06,-4.604343382601383,-0.000982693739416847,-4.603366210885753,-0.0010313533570907654,13360.20295542163,-4.603360688861966,2700,-0.6179104419724226,0.2516012629959182,99.96046447526838,-0.00024279388682609925,99.96070726915521,pass
0.05,0.02,2700,-3.9115276175044187,-0.0010417527463817708,-3.9115276175044187,-0.0010417527463817708,-3.9104962641473278,-1.039938929100555e-05,-3.9114730704395075,-0.0009872056814709577,-3.910496243637759,-0.0010313533570907654,13360.20295542163,-3.9104858647580367,2700,-1.9864398624977069,0.7450462088747695,49.97957310810904,-0.0007805264685649143,49.980353634577604,pass
0.05,0.03,2700,-3.5062333085229698,-0.0010532335594990205,-3.5062333085229698,-0.0010532335594990205,-3.505201955165879,-2.1880202408255047e-05,-3.5061775233041166,-0.0009974483406456703,-3.505201910339394,-0.0010313533570907654,13360.20295542163,-3.5051800749634707,2700,-3.9087239909725273,1.3752223696035466,33.318699911987835,-0.0015358443972387141,33.320235756385074,pass
0.05,0.04,2700,-3.2186836437859743,-0.0010726031318673563,-3.2186836437859743,-0.0010726031318673563,-3.2176522904288833,-4.124977477659114e-05,-3.218625536816792,-0.0010144961626853315,-3.2176521310948965,-0.0010313533570907654,13360.20295542163,-3.217611040654107,2700,-5.944127604730668,1.9463433076944021,24.987841207228005,-0.002335610060797905,24.990176817288802,pass
0.05,0.05,2700,-2.995654917096105,-0.0010997485611926809,-2.995654917096105,-0.0010997485611926809,-2.9946235637390144,-6.839520410191569e-05,-2.9955933840874076,-0.0010382155524953562,-2.994623101500902,-0.0010313533570907652,13360.202955421626,-2.9945551685349123,2700,-7.834573522809055,2.4141825292752226,19.989063035943886,-0.0030784178871548352,19.992141453831042,pass
0.05,0.06,2700,-2.813439094137016,-0.0011338432774753862,-2.813439094137016,-0.0011338432774753862,-2.8124077407799257,-0.00010248992038462099,-2.81337311857841,-0.0010678677188692288,-2.812406688182161,-0.0010313533570907652,13360.202955421626,-2.812305250859541,2700,-9.46978378293304,2.773816327620459,16.656396941539125,-0.0037209366534118036,16.660117878192537,pass
0.05,0.07,2700,-2.659388981842491,-0.0011738407984886706,-2.659388981842491,-0.0011738407984886706,-2.6583576284854002,-0.0001424874413979052,-2.659317611689729,-0.00110247064572618,-2.6583556111446898,-0.0010313533570907654,13360.202955421626,-2.6582151410440025,2700,-10.830843035094574,3.0487068590615682,14.275845304448742,-0.004255734002001797,14.280101038450743,pass
0.05,0.08,2700,-2.5259548216327454,-0.0012186050825677055,-2.5259548216327454,-0.0012186050825677055,-2.5249234682756545,-0.00018725172547694017,-2.52587720305538,-0.001140986505202553,-2.524920050858648,-0.0010313533570907654,13360.202955421626,-2.5247362165501777,2700,-11.925310874840017,3.2522763164209594,12.490402628339945,-0.004685780304455802,12.495088408644401,pass
0.05,0.09,2700,-2.4082666303020437,-0.001267169237068382,-2.4082666303020437,-0.001267169237068382,-2.407235276944953,-0.0002358158799776165,-2.4081819311453376,-0.0011824700803620117,-2.407229966964776,-0.0010313533570907654,13360.20295542163,-2.4069994610649754,2700,-12.785765615986492,3.4062764499380798,11.101721375658421,-0.005023876469935753,11.106745252128357,pass
0.05,0.1,2700,-2.3029991256587428,-0.0013187812277596267,-2.3029991256587428,-0.0013187812277596267,-2.301967772301652,-0.00028742787066886143,-2.3029065601610945,-0.0012262157301115696,-2.3019600398929887,-0.0010313533570907654,13360.20295542163,-2.301680344430983,2700,-13.447937650428287,3.5189669376978028,9.990786664970363,-0.005284061945158462,9.996070726915521,pass
0.05,0.11,2700,-2.2077803401770013,-0.001372725577924966,-2.2077803401770013,-0.001372725577924966,-2.206748986819911,-0.0003413722208342006,-2.207679215224874,-0.0012716006257975994,-2.206738280708133,-0.0010313533570907654,13360.20295542163,-2.2064076145990765,2700,-13.942735621663688,3.5991246845873333,9.081858542888435,-0.005478481580221488,9.087337024468656,pass
0.05,0.12,2700,-2.1208585565332543,-0.0014281297776426018,-2.1208585565332543,-0.0014281297776426018,-2.1198272031761634,-0.00039677642055183657,-2.120748187398166,-0.0013177606425546298,-2.1198129756293773,-0.0010313533570907654,13360.20295542163,-2.1194304267556117,2700,-14.292090847738415,3.652716990598275,8.324443186307374,-0.005615752788895251,8.330058939096268,pass
0.05,0.13,2700,-2.04090393530151,-0.001484765253747871,-2.04090393530151,-0.001484765253747871,-2.0398725819444192,-0.0004534118966571058,-2.0407837487378244,-0.0013645786900624006,-2.0398542878127235,-0.0010313533570907654,13360.20295542163,-2.039419170047762,2700,-14.526950481260169,3.6850388777897454,7.683577138997842,-0.005708035552558023,7.6892851745504,pass
0.05,0.14,2700,-1.966882529436973,-0.001542212496899882,-1.966882529436973,-0.001542212496899882,-1.9658511760798822,-0.0005108591398091164,-1.9667518954191274,-0.0014115784790542398,-1.9658282307369241,-0.0010313533570907654,13360.20295542163,-1.9653403169400732,2700,-14.66924219478237,3.702267151385062,7.134286573372805,-0.005763945852566747,7.140050519225372,pass
0.05,0.15,2700,-1.8979745901082827,-0.0016000354718654318,-1.8979745901082827,-0.0016000354718654318,-1.8969432367511918,-0.0005686821147746664,-1.8978330474924563,-0.0014584928560390743,-1.8969150926563834,-0.0010313533570907652,13360.20295542163,-1.8963745546364172,2700,-14.733825186287698,3.7061121799520698,6.658257829003424,-0.005789322273590451,6.664047151277014,pass
0.05,0.16,2700,-1.8335192825993323,-0.001657890153084375,-1.8335192825993323,-0.001657890153084375,-1.8324879292422416,-0.0006265367959936098,-1.833366352409006,-0.0015049599627580147,-1.8324541107891592,-0.0010313533570907652,13360.20295542163,-1.831861392446248,2700,-14.735997270434835,3.699688929659869,6.241754028577432,-0.005790175744768108,6.2475442043222005,pass
0.05,0.17,2700,-1.772976344363861,-0.001715752664572211,-1.772976344363861,-0.001715752664572211,-1.7719449910067704,-0.0006843993074814458,-1.7728117122227809,-0.0015511205234918929,-1.7719050389745006,-0.0010313533570907654,13360.20295542163,-1.771260591699289,2700,-14.688332545384178,3.678292779726119,5.8742701570953075,-0.005771446972646042,5.880041604067953,pass
0.05,0.18,2700,-1.7158980168808708,-0.0017733799198252874,-1.7158980168808708,-0.0017733799198252874,-1.7148666635237801,-0.0007420265627345222,-1.7157212078583746,-0.0015965708973289285,-1.714820057675414,-0.0010313533570907654,13360.20295542163,-1.7141246369610457,2700,-14.600806567011357,3.65348398330967,5.547635570438634,-0.005737055625544738,5.553372626064179,pass
0.05,0.19,2700,-1.6619090894000579,-0.001830429221559024,-1.6619090894000579,-0.001830429221559024,-1.6608777360429672,-0.0007990758644682589,-1.6617198421707018,-0.001641181992202907,-1.6608240624327089,-0.0010313533570907654,13360.20295542163,-1.660078660178499,2700,-14.477683754799989,3.620794431456314,5.255401178960993,-0.005688677310333984,5.261089856271327,pass
0.05,0.2,2700,-1.6106927166614189,-0.001887196334365495,-1.6106927166614189,-0.001887196334365495,-1.6096613633043282,-0.00085584297727473,-1.6104905766603972,-0.001685056333343696,-1.609600145689913,-0.0010313533570907654,13360.20295542163,-1.6088055203270535,2700,-14.332619702561074,3.5860512219930802,4.992403685775026,-0.0056316776827351955,4.998035363457761,pass
0.05,0.21,2700,-1.561977465612952,-0.0019429384674446435,-1.561977465612952,-0.0019429384674446435,-1.5609461122558612,-0.0009115851103538779,-1.5617625364666283,-0.0017280093211210486,-1.5608771230105205,-0.0010313533570907654,13360.20295542163,-1.5600345271455074,2700,-14.161535777805435,3.5407009839032666,4.75446922534692,-0.0055644541366622535,4.760033679483582,pass
0.05,0.22,2700,-1.5155312117092357,-0.0019984212140889486,-1.5155312117092357,-0.0019984212140889486,-1.514499858352145,-0.0009670678569981834,-1.5153031032926367,-0.0017703127974899667,-1.5144226570858799,-0.0010313533570907654,13360.20295542163,-1.5135327904951468,2700,-13.980549409664441,3.4975235955306196,4.5381751725841655,-0.005493339650162845,4.543668512234328,pass
0.05,0.23,2700,-1.4711513637145421,-0.00205286947880647,-1.4711513637145421,-0.00205286947880647,-1.4701200103574514,-0.0010215161217157047,-1.4709100140878244,-0.0018115198520886634,-1.4700343077537161,-0.0010313533570907654,13360.20295542163,-1.4690984942357357,2700,-13.788347386280938,3.4497387507925743,4.340699889128137,-0.0054178182264365176,4.346117707354574,pass
0.05,0.24,2700,-1.4286622520036805,-0.002106649351998248,-1.4286622520036805,-0.002106649351998248,-1.4276308986465895,-0.0010752959949074826,-1.4284074698420908,-0.001851867190408563,-1.4275364627526954,-0.0010313533570907654,13360.20295542163,-1.4265556026516821,2700,-13.587284990700912,3.401030382005812,4.1596906542276235,-0.005338815320511164,4.165029469548134,pass
0.05,0.25,2700,-1.3879092177335728,-0.002159569525713793,-1.3879092177335728,-0.002159569525713793,-1.386877864376482,-0.0011282161686230272,-1.3876409030791617,-0.0018912548713025158,-1.3867743992353885,-0.0010313533570907652,13360.202955421626,-1.385749648207859,2700,-13.37594428492139,3.3488376151000403,3.9931725169803842,-0.005255773785823729,3.998428290766208,pass
0.05,0.26,2700,-1.3487559696257534,-0.0022116236819210377,-1.3487559696257534,-0.0022116236819210377,-1.3477246162686627,-0.0011802703248302722,-1.3484744774823123,-0.0019301315384798565,-1.3476121829913048,-0.0010313533570907652,13360.202955421626,-1.3465443459438324,2700,-13.169174588602058,3.295604040611782,3.8394680589496195,-0.005174528325580376,3.8446425872752,pass
0.05,0.27,2700,-1.3110821922279443,-0.0022633450614646866,-1.3110821922279443,-0.0022633450614646866,-1.3100508388708536,-0.0012319917043739212,-1.3107867601069543,-0.001967912940474612,-1.3099287126229555,-0.0010313533570907654,13360.202955421626,-1.3088188471664797,2700,-12.957083697177595,3.2447741380225,3.6971572253536515,-0.005091192022466638,3.702248417376118,pass
0.05,0.28,2700,-1.2747792454242655,-0.00231375258812196,-1.2747792454242655,-0.00231375258812196,-1.2737478920671745,-0.0012823992310311944,-1.274470635552057,-0.0020051427159135876,-1.2736164484244137,-0.0010313533570907654,13360.202955421626,-1.2724654928361434,2700,-12.745456856196386,3.1913110264377713,3.5650172215552414,-0.005008038057444552,3.570025259612686,pass
0.05,0.29,2700,-1.2397513507686837,-0.0023633894059667494,-1.2397513507686837,-0.0023633894059667494,-1.238719997411593,-0.001332036048875984,-1.2394291927239192,-0.0020412313612020714,-1.238578901156744,-0.0010313533570907654,13360.20295542163,-1.237387961362717,2700,-12.532566739409807,3.1366947660058666,3.4419965525988365,-0.004924387716860435,3.446920940315697,pass
0.05,0.3,2700,-1.2059117526493992,-0.0024120221169115076,-1.2059117526493992,-0.0024120221169115076,-1.2048803992923085,-0.0013806687598207424,-1.2055764700405847,-0.0020767395080970546,-1.2047296733722317,-0.0010313533570907654,13360.20295542163,-1.2034997305324877,2700,-12.320407948782925,3.0811584534155383,3.3271825509042112,-0.004841024734295845,3.332023575638507,pass
0.05,0.31,2700,-1.1731828493969296,-0.002460057670606669,-1.1731828493969296,-0.002460057670606669,-1.172151496039839,-0.0014287043135159036,-1.1728338049588038,-0.002111013232480935,-1.1719907680719646,-0.0010313533570907654,13360.20295542163,-1.170722791726323,2700,-12.11199919313591,3.0290902666714956,3.219779808923414,-0.004759135242882479,3.2245389441662966,pass
0.05,0.32,2700,-1.1414938125162681,-0.002507244173949714,-1.1414938125162681,-0.002507244173949714,-1.1404624591591772,-0.0014758908168589486,-1.1411314186302859,-0.002144850287967604,-1.140291662419003,-0.0010313533570907654,13360.20295542163,-1.1389865683423184,2700,-11.903856775642485,2.976109074628213,3.119094751758097,-0.004677350403002941,3.1237721021611002,pass
0.05,0.33,2700,-1.1107806686467117,-0.002553667946130552,-1.1107806686467117,-0.002553667946130552,-1.1097493152896207,-0.0015223145890397864,-1.1104050322817973,-0.0021780315812162574,-1.1095686047497448,-0.0010313533570907654,13360.20295542163,-1.108227000700581,2700,-11.700357476582562,2.9243032169924064,3.0245149515183996,-0.004597389971152284,3.0291123414895518,pass
0.05,0.34,2700,-1.0809849818499588,-0.0025992142545995254,-1.0809849818499588,-0.0025992142545995254,-1.079953628492868,-0.00156786089750876,-1.0805966173665782,-0.0022108497712189134,-1.0797631984825797,-0.0010313533570907654,13360.20295542163,-1.0783857675953592,2700,-11.507027450669,2.873366202004086,2.9354993767095485,-0.004521425324427898,2.9400208020339766,pass
0.05,0.35,2700,-1.052053530383213,-0.0026439096662636405,-1.052053530383213,-0.0026439096662636405,-1.0510221770261223,-0.001612556309172875,-1.0516520450015003,-0.002242424284550967,-1.0508216978945208,-0.0010313533570907654,13360.20295542163,-1.0494096207169494,2700,-11.304942458782754,2.8166140468159275,2.8515781870776604,-0.004442020612488312,2.8560202076901486,pass
0.05,0.36,2700,-1.0239378967853345,-0.002688083928218389,-1.0239378967853345,-0.002688083928218389,-1.0229065434282438,-0.0016567305711276236,-1.0235233167834445,-0.0022735039263285187,-1.0226958693981036,-0.0010313533570907654,13360.20295542163,-1.0212498128571161,2700,-11.113690867083905,2.768939392681917,2.7723194403927636,-0.004366872639325699,2.7766863130320893,pass
0.05,0.37,2700,-0.9965929290952917,-0.002731324621108103,-0.9965929290952917,-0.002731324621108103,-0.9955615757382009,-0.0016999712640173373,-0.996165650763189,-0.002304046289005409,-0.9953408994389448,-0.0010313533570907652,13360.202955421626,-0.9938616044741836,2700,-10.926934031568347,2.7198769926279533,2.6973472462255823,-0.0042934907786123175,2.701640737004195,pass
0.05,0.38,2700,-0.9699776523561423,-0.0027738162815729803,-0.9699776523561423,-0.0027738162815729803,-0.9689462989990515,-0.0017424629244822151,-0.9695381143719409,-0.002334278297371642,-0.9687159028976479,-0.0010313533570907652,13360.202955421626,-0.9672038360745693,2700,-10.742083271795504,2.667840406520816,2.626324070268553,-0.0042208578671102176,2.6305449281356634,pass
0.05,0.39,2700,-0.9440540836009224,-0.002815527451655549,-0.9440540836009224,-0.002815527451655549,-0.9430227302438315,-0.0017841740945647834,-0.9436020264724023,-0.002363470323135602,-0.9427824412559822,-0.0010313533570907654,13360.202955421626,-0.9412385561492668,2700,-10.559223939412501,2.61702359466357,2.558946050741654,-0.004149007441812377,2.5630950581834666,pass
0.05,0.4,2700,-0.9187877349478304,-0.002857038724706579,-0.9187877349478304,-0.002857038724706579,-0.9177563815907397,-0.001825685367615814,-0.9183232272617582,-0.002392531038634333,-0.9175061581956236,-0.0010313533570907654,13360.202955421626,-0.9159306962231238,2700,-10.389294692537531,2.571279412452903,2.494935444128669,-0.0040822376002112104,2.4990176817288803,pass
0.05,0.41,2700,-0.8941453100765682,-0.0028975240420120022,-0.8941453100765682,-0.0028975240420120022,-0.8931139567194774,-0.0018661706849212375,-0.8936686757047857,-0.0024208896702295523,-0.8928538619913514,-0.0010313533570907654,13360.20295542163,-0.8912477860345561,2700,-10.222987659708629,2.527086439548363,2.434049139929579,-0.004016891025425787,2.438066030955005,pass
0.05,0.42,2700,-0.8700968497863854,-0.0029371467448076013,-0.8700968497863854,-0.0029371467448076013,-0.8690654964292945,-0.0019057933877168365,-0.8696080896306043,-0.002448386589026624,-0.8687955827387324,-0.0010313533570907654,13360.20295542163,-0.8671597030415777,2700,-10.051086611495647,2.4802591049280953,2.376067493332559,-0.003949346409232082,2.380016839741791,pass
0.05,0.43,2700,-0.8466146866172896,-0.002976235210892062,-0.8466146866172896,-0.002976235210892062,-0.8455833332601987,-0.0019448818538012962,-0.8461146723782532,-0.0024762209718557477,-0.8453041166511086,-0.0010313533570907654,13360.20295542163,-0.8436384514063975,2700,-9.884866359719519,2.4332320400573604,2.3207835769774943,-0.003884033933092149,2.3246676109105864,pass
0.05,0.44,2700,-0.8236728816880784,-0.003014915296861118,-0.8236728816880784,-0.003014915296861118,-0.8226415283309876,-0.0019835619397703527,-0.8231606351731022,-0.0025026687818849674,-0.8223522973648117,-0.0010313533570907654,13360.20295542163,-0.8206579663912172,2700,-9.733156880107325,2.3941648418948707,2.268009832981562,-0.0038244231356020925,2.271834256117164,pass
0.05,0.45,2700,-0.8012466498315867,-0.003052709093664818,-0.8012466498315867,-0.003052709093664818,-0.8002152964744959,-0.0020213557365740533,-0.8007227793626878,-0.002528838624765981,-0.7999165144173253,-0.0010313533570907654,13360.20295542163,-0.7981939407379218,2700,-9.577814928761446,2.3484859365810817,2.2175856653849007,-0.003763385040770706,2.221349050425671,pass
0.05,0.46,2700,-0.7793138609532867,-0.003090190821480669,-0.7793138609532867,-0.003090190821480669,-0.778282507596196,-0.0020588374643899037,-0.778778504529865,-0.0025548343980588886,-0.7779741918950023,-0.0010313533570907654,13360.20295542163,-0.776223670131806,2700,-9.426742429885554,2.3090386897932977,2.16935482914688,-0.0037040245304068974,2.173058853677287,pass
0.05,0.47,2700,-0.7578527933114174,-0.0031268780252424163,-0.7578527933114174,-0.0031268780252424163,-0.7568214399543267,-0.002095524668151651,-0.7573061616198548,-0.0025802463336796577,-0.756503512208749,-0.0010313533570907652,13360.20295542163,-0.754725915286175,2700,-9.278913369172127,2.267090265850547,2.1231776204627257,-0.0036459384554703837,2.126823558918196,pass
0.05,0.48,2700,-0.7368440420117364,-0.003163263463984,-0.7368440420117364,-0.003163263463984,-0.7358126886546457,-0.002131910106893234,-0.7362860795261613,-0.0026053009784088904,-0.7354853180273573,-0.0010313533570907652,13360.20295542163,-0.7336807785477524,2700,-9.133708130652462,2.224746380092418,2.0789258514221407,-0.003588883351926311,2.082514734774067,pass
0.05,0.49,2700,-0.7162683334277812,-0.0031987402017416796,-0.7162683334277812,-0.0031987402017416796,-0.7152369800706904,-0.002167386844650915,-0.7156999849464647,-0.0026303917204252287,-0.7149008573629909,-0.0010313533570907654,13360.20295542163,-0.7130695932260395,2700,-8.997863909175805,2.1867573669875067,2.0364789276167787,-0.003535506447613283,2.040014434064392,pass
0.05,0.5,2700,-0.6961086057031142,-0.0032337815991846128,-0.6961086057031142,-0.0032337815991846128,-0.6950772523460234,-0.002202428242093847,-0.6955292090815495,-0.0026543849776199807,-0.6947318057068914,-0.0010313533570907654,13360.20295542163,-0.6928748241039295,2700,-8.86192267494008,2.146295599328301,1.9957320539587662,-0.003482091424337949,1.999214145383104,pass
0.05,0.51,2700,-0.6763480992999563,-0.003268121499162688,-0.6763480992999563,-0.003268121499162688,-0.6753167459428656,-0.002236768142071923,-0.6757584480619055,-0.0026784702611118943,-0.6749625979946533,-0.0010313533570907654,13360.20295542163,-0.6730799778007936,2700,-8.731639582580728,2.1104438372302314,1.9565829683831302,-0.003430899639520915,1.960013868022651,pass
0.05,0.52,2700,-0.6569715815427587,-0.003302059702855842,-0.6569715815427587,-0.003302059702855842,-0.655940228185668,-0.0022707063457650775,-0.6563708330186643,-0.0027013111787613665,-0.6555767360424327,-0.0010313533570907654,13360.20295542163,-0.6536695218399029,2700,-8.60312755382677,2.078649602706296,1.9189408898836404,-0.003380403753959438,1.9223212936376,pass
0.05,0.53,2700,-0.6379647685964303,-0.0033359571712411333,-0.6379647685964303,-0.0033359571712411333,-0.6369334152393394,-0.0023046038141503683,-0.6373541783118574,-0.002725366886668281,-0.6365612048070535,-0.0010313533570907654,13360.20295542163,-0.6346288114251891,2700,-8.47915866393389,2.0416123929773287,1.8827193875583754,-0.00333169299172255,1.886051080550098,pass
0.05,0.54,2700,-0.6193132860983485,-0.003369263035798165,-0.6193132860983485,-0.003369263035798165,-0.6182819327412576,-0.0023379096787074,-0.618692181402083,-0.002748158339532754,-0.6179008834708688,-0.0010313533570907654,13360.20295542163,-0.6159440230625502,2700,-8.357315678702127,2.001907331597672,1.847840391132577,-0.0032838175554821716,1.851124208688059,pass
0.05,0.55,2700,-0.6010037863204531,-0.0034016920484301835,-0.6010037863204531,-0.0034016920484301835,-0.5999724329633623,-0.002370338691339418,-0.6003732948792313,-0.0027712006072083835,-0.5995830778315758,-0.0010313533570907654,13360.20295542163,-0.5976020942720229,2700,-8.238403009405644,1.962659456761661,1.8142303113733358,-0.003237093520395145,1.817467404893731,pass
0.05,0.56,2700,-0.5830241908075985,-0.0034335220753845055,-0.5830241908075985,-0.0034335220753845055,-0.5819928374505077,-0.00240216871829374,-0.5823840185712604,-0.002793349839046407,-0.5815951194822796,-0.0010313533570907654,13360.20295542163,-0.579590668732214,2700,-8.122479707067447,1.9322932122119867,1.781821085717122,-0.0031915440892210005,1.785012629806343,pass
0.05,0.57,2700,-0.5653630908962823,-0.00346504461627886,-0.5653630908962823,-0.00346504461627886,-0.5643317375391916,-0.0024336912591880946,-0.5647133897788861,-0.0028153434988825617,-0.563925735568833,-0.0010313533570907652,13360.202955421626,-0.5618980462800035,2700,-8.012099405859255,1.9016632283522776,1.7505484461025473,-0.003148172654561593,1.753696618757109,pass
