beta,radius,ref_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,claim
0.05,0.01,2700,99.96046447526838,-0.00024279388682609925,99.96070726915521,-0.6179104419724226,0.2516012629959182,pass
0.05,0.02,2700,49.97957310810904,-0.0007805264685649143,49.980353634577604,-1.9864398624977069,0.7450462088747695,pass
0.05,0.03,2700,33.318699911987835,-0.0015358443972387141,33.320235756385074,-3.9087239909725273,1.3752223696035466,pass
0.05,0.04,2700,24.987841207228005,-0.002335610060797905,24.990176817288802,-5.944127604730668,1.9463433076944021,pass
0.05,0.05,2700,19.989063035943886,-0.0030784178871548352,19.992141453831042,-7.834573522809055,2.4141825292752226,pass
0.05,0.06,2700,16.656396941539125,-0.0037209366534118036,16.660117878192537,-9.46978378293304,2.773816327620459,pass
0.05,0.07,2700,14.275845304448742,-0.004255734002001797,14.280101038450743,-10.830843035094574,3.0487068590615682,pass
0.05,0.08,2700,12.490402628339945,-0.004685780304455802,12.495088408644401,-11.925310874840017,3.2522763164209594,pass
0.05,0.09,2700,11.101721375658421,-0.005023876469935753,11.106745252128357,-12.785765615986492,3.4062764499380798,pass
0.05,0.1,2700,9.990786664970363,-0.005284061945158462,9.996070726915521,-13.447937650428287,3.5189669376978028,pass
0.05,0.11,2700,9.081858542888435,-0.005478481580221488,9.087337024468656,-13.942735621663688,3.5991246845873333,pass
0.05,0.12,2700,8.324443186307374,-0.005615752788895251,8.330058939096268,-14.292090847738415,3.652716990598275,pass
0.05,0.13,2700,7.683577138997842,-0.005708035552558023,7.6892851745504,-14.526950481260169,3.6850388777897454,pass
0.05,0.14,2700,7.134286573372805,-0.005763945852566747,7.140050519225372,-14.66924219478237,3.702267151385062,pass
0.05,0.15,2700,6.658257829003424,-0.005789322273590451,6.664047151277014,-14.733825186287698,3.7061121799520698,pass
0.05,0.16,2700,6.241754028577432,-0.005790175744768108,6.2475442043222005,-14.735997270434835,3.699688929659869,pass
0.05,0.17,2700,5.8742701570953075,-0.005771446972646042,5.880041604067953,-14.688332545384178,3.678292779726119,pass
0.05,0.18,2700,5.547635570438634,-0.005737055625544738,5.553372626064179,-14.600806567011357,3.65348398330967,pass
0.05,0.19,2700,5.255401178960993,-0.005688677310333984,5.261089856271327,-14.477683754799989,3.620794431456314,pass
0.05,0.2,2700,4.992403685775026,-0.0056316776827351955,4.998035363457761,-14.332619702561074,3.5860512219930802,pass
0.05,0.21,2700,4.75446922534692,-0.0055644541366622535,4.760033679483582,-14.161535777805435,3.5407009839032666,pass
0.05,0.22,2700,4.5381751725841655,-0.005493339650162845,4.543668512234328,-13.980549409664441,3.4975235955306196,pass
0.05,0.23,2700,4.340699889128137,-0.0054178182264365176,4.346117707354574,-13.788347386280938,3.4497387507925743,pass
0.05,0.24,2700,4.1596906542276235,-0.005338815320511164,4.165029469548134,-13.587284990700912,3.401030382005812,pass
0.05,0.25,2700,3.9931725169803842,-0.005255773785823729,3.998428290766208,-13.37594428492139,3.3488376151000403,pass
0.05,0.26,2700,3.8394680589496195,-0.005174528325580376,3.8446425872752,-13.169174588602058,3.295604040611782,pass
0.05,0.27,2700,3.6971572253536515,-0.005091192022466638,3.702248417376118,-12.957083697177595,3.2447741380225,pass
0.05,0.28,2700,3.5650172215552414,-0.005008038057444552,3.570025259612686,-12.745456856196386,3.1913110264377713,pass
0.05,0.29,2700,3.4419965525988365,-0.004924387716860435,3.446920940315697,-12.532566739409807,3.1366947660058666,pass
0.05,0.3,2700,3.3271825509042112,-0.004841024734295845,3.332023575638507,-12.320407948782925,3.0811584534155383,pass
0.05,0.31,2700,3.219779808923414,-0.004759135242882479,3.2245389441662966,-12.11199919313591,3.0290902666714956,pass
0.05,0.32,2700,3.119094751758097,-0.004677350403002941,3.1237721021611002,-11.903856775642485,2.976109074628213,pass
0.05,0.33,2700,3.0245149515183996,-0.004597389971152284,3.0291123414895518,-11.700357476582562,2.9243032169924064,pass
0.05,0.34,2700,2.9354993767095485,-0.004521425324427898,2.9400208020339766,-11.507027450669,2.873366202004086,pass
0.05,0.35,2700,2.8515781870776604,-0.004442020612488312,2.8560202076901486,-11.304942458782754,2.8166140468159275,pass
0.05,0.36,2700,2.7723194403927636,-0.004366872639325699,2.7766863130320893,-11.113690867083905,2.768939392681917,pass
0.05,0.37,2700,2.6973472462255823,-0.0042934907786123175,2.701640737004195,-10.926934031568347,2.7198769926279533,pass
0.05,0.38,2700,2.626324070268553,-0.0042208578671102176,2.6305449281356634,-10.742083271795504,2.667840406520816,pass
0.05,0.39,2700,2.558946050741654,-0.004149007441812377,2.5630950581834666,-10.559223939412501,2.61702359466357,pass
0.05,0.4,2700,2.494935444128669,-0.0040822376002112104,2.4990176817288803,-10.389294692537531,2.571279412452903,pass
0.05,0.41,2700,2.434049139929579,-0.004016891025425787,2.438066030955005,-10.222987659708629,2.527086439548363,pass
0.05,0.42,2700,2.376067493332559,-0.003949346409232082,2.380016839741791,-10.051086611495647,2.4802591049280953,pass
0.05,0.43,2700,2.3207835769774943,-0.003884033933092149,2.3246676109105864,-9.884866359719519,2.4332320400573604,pass
0.05,0.44,2700,2.268009832981562,-0.0038244231356020925,2.271834256117164,-9.733156880107325,2.3941648418948707,pass
0.05,0.45,2700,2.2175856653849007,-0.003763385040770706,2.221349050425671,-9.577814928761446,2.3484859365810817,pass
0.05,0.46,2700,2.16935482914688,-0.0037040245304068974,2.173058853677287,-9.426742429885554,2.3090386897932977,pass
0.05,0.47,2700,2.1231776204627257,-0.0036459384554703837,2.126823558918196,-9.278913369172127,2.267090265850547,pass
0.05,0.48,2700,2.0789258514221407,-0.003588883351926311,2.082514734774067,-9.133708130652462,2.224746380092418,pass
0.05,0.49,2700,2.0364789276167787,-0.003535506447613283,2.040014434064392,-8.997863909175805,2.1867573669875067,pass
0.05,0.5,2700,1.9957320539587662,-0.003482091424337949,1.999214145383104,-8.86192267494008,2.146295599328301,pass
0.05,0.51,2700,1.9565829683831302,-0.003430899639520915,1.960013868022651,-8.731639582580728,2.1104438372302314,pass
0.05,0.52,2700,1.9189408898836404,-0.003380403753959438,1.9223212936376,-8.60312755382677,2.078649602706296,pass
0.05,0.53,2700,1.8827193875583754,-0.00333169299172255,1.886051080550098,-8.47915866393389,2.0416123929773287,pass
0.05,0.54,2700,1.847840391132577,-0.0032838175554821716,1.851124208688059,-8.357315678702127,2.001907331597672,pass
0.05,0.55,2700,1.8142303113733358,-0.003237093520395145,1.817467404893731,-8.238403009405644,1.962659456761661,pass
0.05,0.56,2700,1.781821085717122,-0.0031915440892210005,1.785012629806343,-8.122479707067447,1.9322932122119867,pass
0.05,0.57,2700,1.7505484461025473,-0.003148172654561593,1.753696618757109,-8.012099405859255,1.9016632283522776,pass
0.05,0.58,2700,1.7203549530069329,-0.0031055171509156597,1.7234604701578484,-7.903541149080354,1.8685608049496996,pass
0.05,0.59,2700,1.6911860321803627,-0.0030632435680307477,1.6942492757483933,-7.795954880638253,1.8378430436794533,pass
0.05,0.6,2700,1.6629886115547923,-0.003023176264461158,1.6660117878192535,-7.693983593053647,1.8076620486018908,pass
0.05,0.61,2700,1.635715714557439,-0.0029844046090397084,1.6387001191664787,-7.595309730006058,1.7725713765203217,pass
0.05,0.62,2700,1.6093248912026143,-0.002944580880534023,1.6122694720831483,-7.493958340959088,1.7493616011670003,pass
0.05,0.63,2700,1.583770577838274,-0.002907315322919659,1.5866778931611938,-7.399117496830532,1.7148620500175675,pass
0.05,0.64,2700,1.5590151422078249,-0.0028709088727252186,1.5618860510805501,-7.306463081085681,1.6943177486652183,pass
