beta,cell_id,dataset_tag,dataset_id,ref_id,radius,H,logZ_H,logZ_H_full,R_H,gate_count,ess_H
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.02,1.0,-0.012233139368925271,,1.0,1024,1023.9455921988932
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.02,2.0,-0.012233139368925271,,1.0,1024,1023.9455921988932
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.02,4.0,-0.012233139368925271,,1.0,1024,1023.9455921988932
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.02,6.0,-0.012233139368925271,,1.0,1024,1023.9455921988932
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.02,8.0,-0.012233139368925271,,1.0,1024,1023.9455921988932
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.02,inf,-0.012233139368925271,-3.432541241559639,1.0,1024,1023.9455921988932
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.1,1.0,-5.644387294329257,,0.008699827233096627,6,5.99436292203382
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.1,2.0,-0.8999351825457245,,1.0,1024,989.537662361983
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.1,4.0,-0.8999351825457245,,1.0,1024,989.537662361983
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.1,6.0,-0.8999351825457245,,1.0,1024,989.537662361983
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.1,8.0,-0.8999351825457245,,1.0,1024,989.537662361983
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,0,0.1,inf,-0.8999351825457245,-4.3202432847364385,1.0,1024,989.537662361983
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.02,1.0,-0.010092684473488552,,1.0,1024,1023.9708300700113
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.02,2.0,-0.010092684473488552,,1.0,1024,1023.9708300700113
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.02,4.0,-0.010092684473488552,,1.0,1024,1023.9708300700113
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.02,6.0,-0.010092684473488552,,1.0,1024,1023.9708300700113
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.02,8.0,-0.010092684473488552,,1.0,1024,1023.9708300700113
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.02,inf,-0.010092684473488552,-2.8480999833719274,1.0,1024,1023.9708300700113
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.1,1.0,-4.634943202113403,,0.02268871697236433,16,15.969355135036707
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.1,2.0,-0.8490556743729039,,1.0,1024,990.9743692496882
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.1,4.0,-0.8490556743729039,,1.0,1024,990.9743692496882
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.1,6.0,-0.8490556743729039,,1.0,1024,990.9743692496882
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.1,8.0,-0.8490556743729039,,1.0,1024,990.9743692496882
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,1,0.1,inf,-0.8490556743729039,-3.6870629732713427,1.0,1024,990.9743692496882
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.02,1.0,-0.011794299498236115,,1.0,1024,1023.9606297942031
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.02,2.0,-0.011794299498236115,,1.0,1024,1023.9606297942031
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.02,4.0,-0.011794299498236115,,1.0,1024,1023.9606297942031
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.02,6.0,-0.011794299498236115,,1.0,1024,1023.9606297942031
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.02,8.0,-0.011794299498236115,,1.0,1024,1023.9606297942031
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.02,inf,-0.011794299498236115,-3.102989431897057,1.0,1024,1023.9606297942031
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.1,1.0,-4.731332000873218,,0.020771827816604832,14,13.954360307755804
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.1,2.0,-0.8571743586324064,,1.0,1024,992.0986078295816
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.1,4.0,-0.8571743586324064,,1.0,1024,992.0986078295816
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.1,6.0,-0.8571743586324064,,1.0,1024,992.0986078295816
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.1,8.0,-0.8571743586324064,,1.0,1024,992.0986078295816
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,2,0.1,inf,-0.8571743586324064,-3.9483694910312273,1.0,1024,992.0986078295816
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.02,1.0,-0.014754245363652595,,1.0,1024,1023.9214490452428
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.02,2.0,-0.014754245363652595,,1.0,1024,1023.9214490452428
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.02,4.0,-0.014754245363652595,,1.0,1024,1023.9214490452428
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.02,6.0,-0.014754245363652595,,1.0,1024,1023.9214490452428
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.02,8.0,-0.014754245363652595,,1.0,1024,1023.9214490452428
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.02,inf,-0.014754245363652595,-2.9565399297220822,1.0,1024,1023.9214490452428
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.1,1.0,-3.7546902026807167,,0.04978676138385194,38,37.931517673833845
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.1,2.0,-0.7546840367229992,,1.0,1024,999.0415610333416
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.1,4.0,-0.7546840367229992,,1.0,1024,999.0415610333416
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.1,6.0,-0.7546840367229992,,1.0,1024,999.0415610333416
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.1,8.0,-0.7546840367229992,,1.0,1024,999.0415610333416
0.05,cell_beta_0p05_p_0p00,dataset_000_seed_606001234,0,3,0.1,inf,-0.7546840367229992,-3.696469721081429,1.0,1024,999.0415610333416
