split_id,rule,train_pos_fraction,test_pos_fraction,train_n_pos,train_n_neg,test_n_pos,test_n_neg,definition,teacher_seed,train_median_logit_threshold,train_seed,test_seed,test_accuracy_note
0,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
0,teacher_nn,0.5,0.5078125,512,512,1040,1008,,31001.0,-0.017121978735592014,,,
0,random_label,0.5,0.5,512,512,1024,1024,,,,41001.0,42001.0,independent random test labels are not a generalization metric
1,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
1,teacher_nn,0.5,0.49609375,512,512,1016,1032,,31002.0,-0.07782631799074921,,,
1,random_label,0.5,0.5,512,512,1024,1024,,,,41002.0,42002.0,independent random test labels are not a generalization metric
2,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
2,teacher_nn,0.5,0.484375,512,512,992,1056,,31003.0,0.03171729386416101,,,
2,random_label,0.5,0.5,512,512,1024,1024,,,,41003.0,42003.0,independent random test labels are not a generalization metric
3,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
3,teacher_nn,0.5,0.5107421875,512,512,1046,1002,,31004.0,-0.018959078997577275,,,
3,random_label,0.5,0.5,512,512,1024,1024,,,,41004.0,42004.0,independent random test labels are not a generalization metric
4,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
4,teacher_nn,0.5,0.48974609375,512,512,1003,1045,,31005.0,-0.02630081513427114,,,
4,random_label,0.5,0.5,512,512,1024,1024,,,,41005.0,42005.0,independent random test labels are not a generalization metric
5,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
5,teacher_nn,0.5,0.49462890625,512,512,1013,1035,,31006.0,-0.16193377289051147,,,
5,random_label,0.5,0.5,512,512,1024,1024,,,,41006.0,42006.0,independent random test labels are not a generalization metric
6,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
6,teacher_nn,0.5,0.4951171875,512,512,1014,1034,,31007.0,0.088268698838974,,,
6,random_label,0.5,0.5,512,512,1024,1024,,,,41007.0,42007.0,independent random test labels are not a generalization metric
7,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
7,teacher_nn,0.5,0.5078125,512,512,1040,1008,,31008.0,-0.03914086012256848,,,
7,random_label,0.5,0.5,512,512,1024,1024,,,,41008.0,42008.0,independent random test labels are not a generalization metric
8,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
8,teacher_nn,0.5,0.48193359375,512,512,987,1061,,31009.0,0.018560904271932535,,,
8,random_label,0.5,0.5,512,512,1024,1024,,,,41009.0,42009.0,independent random test labels are not a generalization metric
9,real_even_odd,0.5,0.5,512,512,1024,1024,"even digit +1, odd digit -1",,,,,
9,teacher_nn,0.5,0.5126953125,512,512,1050,998,,31010.0,0.09607584262648247,,,
9,random_label,0.5,0.5,512,512,1024,1024,,,,41010.0,42010.0,independent random test labels are not a generalization metric
