split_id,n_train,n_test,train_even_fraction,test_even_fraction,standardization_mean_mean,standardization_std_mean
0,1024,2048,0.5,0.5,0.13141074776649475,0.32277026772499084
1,1024,2048,0.5,0.5,0.13203883171081543,0.30726975202560425
2,1024,2048,0.5,0.5,0.13238078355789185,0.3162505626678467
3,1024,2048,0.5,0.5,0.1298300325870514,0.3224492371082306
4,1024,2048,0.5,0.5,0.12972310185432434,0.3166022002696991
5,1024,2048,0.5,0.5,0.1294361799955368,0.33070337772369385
6,1024,2048,0.5,0.5,0.1310378611087799,0.3330891728401184
7,1024,2048,0.5,0.5,0.13098150491714478,0.3274089992046356
8,1024,2048,0.5,0.5,0.13258983194828033,0.3224741220474243
9,1024,2048,0.5,0.5,0.12969689071178436,0.33590981364250183
