rule,radius,d_delta_phi_energy_dd,qc_pass,derivative_method
low_tv_spectral_teacher,0.01,-0.006537784828122794,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.011,-0.006651403333791093,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.012,-0.007318969060475489,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.013,-0.008041320637117743,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.014,-0.008601574752389192,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.016,-0.009993082011466056,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.018,-0.01149914215056903,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.02,-0.013098798590881039,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.025,-0.017015913918724673,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.03,-0.021525646811436677,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.04,-0.03165097335988499,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.05,-0.042829045731033334,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.065,-0.05992469727390999,True,numpy.gradient on all-QC dense all-rule radii
low_tv_spectral_teacher,0.08,-0.06840284708066666,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.01,-0.028324250053949347,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.011,-0.03015531854022212,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.012,-0.03321781012315298,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.013,-0.036550426565427854,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.014,-0.04045134664096311,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.016,-0.048056251365050026,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.018,-0.05653905974807497,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.02,-0.06637138135057853,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.025,-0.09475049924581003,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.03,-0.12657286912950005,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.04,-0.19259820083437995,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.05,-0.2543260542874627,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.065,-0.3319078548568234,True,numpy.gradient on all-QC dense all-rule radii
random_label,0.08,-0.36544388321054005,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.01,-0.001566246770218921,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.011,-0.0016211530585370875,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.012,-0.0018007307205227178,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.013,-0.002017407336666363,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.014,-0.0021890379404889125,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.016,-0.002579648492608512,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.018,-0.0029945337392259953,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.02,-0.0034529816052342585,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.025,-0.004957711117387165,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.03,-0.006941802197362447,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.04,-0.012681875406812707,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.05,-0.020824844554963334,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.065,-0.03615172625905667,True,numpy.gradient on all-QC dense all-rule radii
real_even_odd,0.08,-0.04437426098550001,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.01,-0.011699684128576752,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.011,-0.012348828825692283,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.012,-0.013585946204789194,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.013,-0.014803357996098693,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.014,-0.01611155882419347,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.016,-0.018825408069304522,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.018,-0.021733285113166117,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.02,-0.024694383964041416,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.025,-0.03254741619700001,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.03,-0.04136940171960669,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.04,-0.059608479159019984,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.05,-0.07800531548312133,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.065,-0.10398267098652336,True,numpy.gradient on all-QC dense all-rule radii
teacher_nn,0.08,-0.11624492118451335,True,numpy.gradient on all-QC dense all-rule radii
