radius,claim_status,rules_passed,rules_required
0.01,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.011,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.012,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.013,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.014,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.016,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.018,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.02,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.025,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.03,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.04,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.05,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.065,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.08,supported,low_tv_spectral_teacher;random_label;real_even_odd;teacher_nn,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
