rule,radius,d0,delta_phi_energy,delta_phi_full,n_units,qc_pass
low_tv_spectral_teacher,0.01,0.01,0.0,0.0,60,True
low_tv_spectral_teacher,0.011,0.01,-6.537784828122788e-06,0.09526491378715028,60,True
low_tv_spectral_teacher,0.012,0.01,-1.3302806667582187e-05,0.18223416964889044,60,True
low_tv_spectral_teacher,0.013,0.01,-2.117572294907376e-05,0.26223647994142624,60,True
low_tv_spectral_teacher,0.014,0.01,-2.9385447941817676e-05,0.33630612941925997,60,True
low_tv_spectral_teacher,0.016,0.01,-4.81559964851772e-05,0.46976449249783003,60,True
low_tv_spectral_teacher,0.018,0.01,-6.935777598768187e-05,0.5874784665471381,60,True
low_tv_spectral_teacher,0.02,0.01,-9.415256508745334e-05,0.6927713753412373,60,True
low_tv_spectral_teacher,0.025,0.01,-0.0001684141085543345,0.9157499932097803,60,True
low_tv_spectral_teacher,0.03,0.01,-0.00026431170427475596,1.097901568069618,60,True
low_tv_spectral_teacher,0.04,0.01,-0.0005264907257362377,1.3852045650869134,60,True
low_tv_spectral_teacher,0.05,0.01,-0.0008973311714724907,1.607886604053187,60,True
low_tv_spectral_teacher,0.065,0.01,-0.0016690293834797688,1.869372561505555,60,True
low_tv_spectral_teacher,0.08,0.01,-0.0026950720896897666,2.0759015116292847,60,True
random_label,0.01,0.01,0.0,0.0,60,True
random_label,0.011,0.01,-2.8324250053949323e-05,0.09524312732192446,60,True
random_label,0.012,0.01,-6.0310637080444263e-05,0.18218716181847758,60,True
random_label,0.013,0.01,-9.475987030025528e-05,0.26216289579407503,60,True
random_label,0.014,0.01,-0.00013341149021135943,0.33620210337699047,60,True
random_label,0.016,0.01,-0.00022151309041291097,0.4695911354039023,60,True
random_label,0.018,0.01,-0.0003256364956715341,0.5872221878274543,60,True
random_label,0.02,0.01,-0.00044766932940529356,0.6924178585769195,60,True
random_label,0.025,0.01,-0.0008464632922047847,0.9150719440261298,60,True
random_label,0.03,0.01,-0.0013951743218633766,1.0967707054520293,60,True
random_label,0.04,0.01,-0.002997516277113998,1.3827335395355356,60,True
random_label,0.05,0.01,-0.005247138338550981,1.6035367968861083,60,True
random_label,0.065,0.01,-0.009722715736097511,1.8613188751529373,60,True
random_label,0.08,0.01,-0.01520437398425564,2.063392209734719,60,True
real_even_odd,0.01,0.01,0.0,0.0,60,True
real_even_odd,0.011,0.01,-1.5662467702189197e-06,0.09526988532520818,60,True
real_even_odd,0.012,0.01,-3.242306117074175e-06,0.18224423014944097,60,True
real_even_odd,0.013,0.01,-5.167708211264355e-06,0.26225248795616407,60,True
real_even_odd,0.014,0.01,-7.277120790406902e-06,0.3363282377464114,60,True
real_even_odd,0.016,0.01,-1.1973698116770195e-05,0.4698006747961984,60,True
real_even_odd,0.018,0.01,-1.7595714760840945e-05,0.587530228608365,60,True
real_even_odd,0.02,0.01,-2.395183307367418e-05,0.6928415760732511,60,True
real_even_odd,0.025,0.01,-4.4653271710066014e-05,0.9158737540466245,60,True
real_even_odd,0.03,0.01,-7.352894424754581e-05,1.0980923508296452,60,True
real_even_odd,0.04,0.01,-0.0001662803200185588,1.385564775492631,60,True
real_even_odd,0.05,0.01,-0.0003271664523838142,1.6084567687722755,60,True
real_even_odd,0.065,0.01,-0.0007461043253730731,1.8702954865636616,60,True
real_even_odd,0.08,0.01,-0.0014117182401555196,2.077184865478819,60,True
teacher_nn,0.01,0.01,0.0,0.0,60,True
teacher_nn,0.011,0.01,-1.1699684128576742e-05,0.09525975188784983,60,True
teacher_nn,0.012,0.01,-2.4697657651384574e-05,0.18222277479790663,60,True
teacher_nn,0.013,0.01,-3.8871576538155115e-05,0.26221878408783716,60,True
teacher_nn,0.014,0.01,-5.430437364358196e-05,0.33628121049355825,60,True
teacher_nn,0.016,0.01,-8.92425381670355e-05,0.46972340595614814,60,True
teacher_nn,0.018,0.01,-0.00012960600592083996,0.587418218317205,60,True
teacher_nn,0.02,0.01,-0.00017617567861975293,0.6926893522277051,60,True
teacher_nn,0.025,0.01,-0.0003172669436223963,0.9156011403747122,60,True
teacher_nn,0.03,0.01,-0.0005016498405897561,1.097664229933303,60,True
teacher_nn,0.04,0.01,-0.0010052003043083536,1.3847258555083413,60,True
teacher_nn,0.05,0.01,-0.0016938194237701304,1.6070901158008892,60,True
teacher_nn,0.065,0.01,-0.0030696257355981586,1.8679719651534366,60,True
teacher_nn,0.08,0.01,-0.004813299553365875,2.0737832841656085,60,True
