radius,claim_status,rules_passed,rules_required
0.01,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.011,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.012,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.013,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.014,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.016,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.018,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.02,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.025,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.03,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.04,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.05,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.065,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
0.08,supported,low_tv_spectral_teacher,low_tv_spectral_teacher
