experiment_id,mode,split_id,rule,dataset_path,n_train,n_test,input_dim,train_pos_fraction,k,edge_count,sigma_k,tv,baseline,nmstv
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,low_tv_spectral_teacher,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,512,2048,100,0.5,8,3161,6.367058743944053,0.15922496090929647,0.5,0.31844992181859294
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,low_tv_spectral_teacher,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,512,2048,100,0.5,16,6434,6.8302782236978885,0.1917302690342953,0.5,0.3834605380685906
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,low_tv_spectral_teacher,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,512,2048,100,0.5,32,13070,7.380713551791086,0.2596294922120196,0.5,0.5192589844240392
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,real_even_odd,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,512,2048,100,0.5,8,3161,6.367058743944053,0.18515880033180648,0.5,0.37031760066361297
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,real_even_odd,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,512,2048,100,0.5,16,6434,6.8302782236978885,0.24311962137139284,0.5,0.4862392427427857
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,real_even_odd,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/real_even_odd/dataset.npz,512,2048,100,0.5,32,13070,7.380713551791086,0.31165121976607146,0.5,0.6233024395321429
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,teacher_nn,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,512,2048,100,0.5,8,3161,6.367058743944053,0.3086580912478578,0.5,0.6173161824957156
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,teacher_nn,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,512,2048,100,0.5,16,6434,6.8302782236978885,0.34026845352581825,0.5,0.6805369070516365
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,teacher_nn,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/teacher_nn/dataset.npz,512,2048,100,0.5,32,13070,7.380713551791086,0.37763935116604286,0.5,0.7552787023320857
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,random_label,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,512,2048,100,0.5,8,3161,6.367058743944053,0.494741170380008,0.5,0.989482340760016
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,random_label,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,512,2048,100,0.5,16,6434,6.8302782236978885,0.49109770574960376,0.5,0.9821954114992075
mnist10_single_dataset_10x10_box_n_train_512_60ref_microline,final_single_dataset,0,random_label,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv/01_dataset_prepare/raw_datasets/split_000/random_label/dataset.npz,512,2048,100,0.5,32,13070,7.380713551791086,0.492498984608581,0.5,0.984997969217162
