rule,radius,n_units,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_logZ,mean_delta_phi_energy,weighted_ce_mean,qc_pass,claim_status
low_tv_spectral_teacher,0.01,60,1.0,0.9740779298104277,2.836947602588466e-06,0.0,-3.4566605280495173,0.0,0.0066725941935117435,True,claimable_rule_radius
low_tv_spectral_teacher,0.011,60,1.0,0.967790509025051,3.6754343543104713e-06,5.84165636103042e-07,-3.4727500165115277,-6.537784828122769e-06,0.006701907964381826,True,claimable_rule_radius
low_tv_spectral_teacher,0.012,60,1.0,0.9608003615158744,6.3987143886621506e-06,1.1588470042332486e-06,-3.4893987352584377,-1.330280666758218e-05,0.006732014122897821,True,claimable_rule_radius
low_tv_spectral_teacher,0.013,60,1.0,0.9528018370519792,4.71365040155186e-06,1.8252002283397188e-06,-3.5087739822271886,-2.1175722949073737e-05,0.006767419964214836,True,claimable_rule_radius
low_tv_spectral_teacher,0.014,60,1.0,0.9443846986361671,1.0844805841435828e-05,2.4256747724365475e-06,-3.5289781154343314,-2.9385447941817666e-05,0.006803930575886205,True,claimable_rule_radius
random_label,0.01,60,1.0,0.835575908152927,3.9117174264242115e-06,0.0,-3.3368484583774896,0.0,0.0063081176656423175,True,claimable_rule_radius
random_label,0.011,60,1.0,0.8152431374243372,3.725753639729385e-06,1.2128997289749296e-06,-3.406554437760259,-2.832425005394932e-05,0.006424560843553753,True,claimable_rule_radius
random_label,0.012,60,1.0,0.7953885836922221,4.6816052244899566e-06,2.546767325354776e-06,-3.485272936232463,-6.031063708044427e-05,0.006554855681956363,True,claimable_rule_radius
random_label,0.013,60,1.0,0.7746449515551546,9.29453235248572e-06,3.5662470370287522e-06,-3.5700524991864184,-9.475987030025528e-05,0.0066947768650038484,True,claimable_rule_radius
random_label,0.014,60,1.0,0.7411247419124222,4.9917000857652115e-06,4.874644170183951e-06,-3.665174135787646,-0.00013341149021135943,0.006849439788109414,True,claimable_rule_radius
real_even_odd,0.01,60,1.0,0.9985726420555333,1.2779991050300169e-06,0.0,-0.8606822352962423,0.0,0.0016014129458807934,True,claimable_rule_radius
real_even_odd,0.011,60,1.0,0.998169804113753,5.150520416452018e-07,1.5089695436814664e-07,-0.8645367685977511,-1.5662467702189197e-06,0.001608731460859283,True,claimable_rule_radius
real_even_odd,0.012,60,1.0,0.9977839951489696,1.0462763757644887e-06,3.123504334329926e-07,-0.8686615506503619,-3.2423061170741784e-06,0.0016166198109541406,True,claimable_rule_radius
real_even_odd,0.013,60,1.0,0.9973146520072204,1.7761911977502312e-06,4.950432603493552e-07,-0.8733999652041641,-5.167708211264355e-06,0.0016256905431775719,True,claimable_rule_radius
real_even_odd,0.014,60,1.0,0.9969982171836705,1.620022531910218e-06,7.02455302217471e-07,-0.8785912295614338,-7.277120790406907e-06,0.0016355224593252872,True,claimable_rule_radius
teacher_nn,0.01,60,1.0,0.9685608925763148,2.3070308776009023e-06,0.0,-2.7154510233026894,0.0,0.005218752730575008,True,claimable_rule_radius
teacher_nn,0.011,60,1.0,0.9603139800057577,2.314682287186914e-06,7.032084284379683e-07,-2.7442439459431163,-1.1699684128576739e-05,0.0052710686521210606,True,claimable_rule_radius
teacher_nn,0.012,60,1.0,0.9524387753452838,3.7378514625727587e-06,1.4754461300494156e-06,-2.776231958782746,-2.469765765138459e-05,0.00532869028378315,True,claimable_rule_radius
teacher_nn,0.013,60,1.0,0.9438216183873,3.009353975591806e-06,2.3558857973661336e-06,-2.811113973163089,-3.887157653815513e-05,0.005391307557338202,True,claimable_rule_radius
teacher_nn,0.014,60,1.0,0.9307259384871759,3.3613503619319365e-06,3.2624751191443735e-06,-2.849094086839544,-5.4304373643581956e-05,0.005458700345901699,True,claimable_rule_radius
