rule,radius,delta_phi_energy_mean,bootstrap_sd,ci95_low,ci95_high
low_tv_spectral_teacher,0.01,0.0,0.0,0.0,0.0
low_tv_spectral_teacher,0.011,-6.537784828122788e-06,6.086544938374715e-07,-7.730747636044232e-06,-5.344822020201345e-06
low_tv_spectral_teacher,0.012,-1.3302806667582187e-05,1.172637413480536e-06,-1.5601175998004038e-05,-1.1004437337160337e-05
low_tv_spectral_teacher,0.013,-2.117572294907376e-05,1.8478702971776665e-06,-2.4797548731541986e-05,-1.7553897166605536e-05
low_tv_spectral_teacher,0.014,-2.9385447941817676e-05,2.617312015238073e-06,-3.45153794916843e-05,-2.4255516391951054e-05
random_label,0.01,0.0,0.0,0.0,0.0
random_label,0.011,-2.8324250053949323e-05,1.1489854207198653e-06,-3.057626147856026e-05,-2.6072238629338387e-05
random_label,0.012,-6.0310637080444263e-05,2.580437904745943e-06,-6.536829537374631e-05,-5.5252978787142216e-05
random_label,0.013,-9.475987030025528e-05,3.976459875401521e-06,-0.00010255373165604225,-8.69660089444683e-05
random_label,0.014,-0.00013341149021135943,5.433666315111433e-06,-0.00014406147618897783,-0.00012276150423374104
real_even_odd,0.01,0.0,0.0,0.0,0.0
real_even_odd,0.011,-1.5662467702189197e-06,1.4479176694348685e-07,-1.850038633428154e-06,-1.2824549070096854e-06
real_even_odd,0.012,-3.242306117074175e-06,3.0624021185944287e-07,-3.842536932318683e-06,-2.642075301829667e-06
real_even_odd,0.013,-5.167708211264355e-06,4.982765680405068e-07,-6.144330284623748e-06,-4.191086137904961e-06
real_even_odd,0.014,-7.277120790406902e-06,7.048947642316022e-07,-8.658714528300843e-06,-5.895527052512962e-06
teacher_nn,0.01,0.0,0.0,0.0,0.0
teacher_nn,0.011,-1.1699684128576742e-05,7.531628779662018e-07,-1.3175883369390498e-05,-1.0223484887762986e-05
teacher_nn,0.012,-2.4697657651384574e-05,1.4141853621831262e-06,-2.74694609612635e-05,-2.1925854341505646e-05
teacher_nn,0.013,-3.8871576538155115e-05,2.4263201352741797e-06,-4.362716400329251e-05,-3.411598907301772e-05
teacher_nn,0.014,-5.430437364358196e-05,3.3210691722115493e-06,-6.08136692211166e-05,-4.7795078066047325e-05
