selector,rule,ref_id,selector_role
dense_qc_stable_ref30,low_tv_spectral_teacher,1,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,2,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,3,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,5,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,13,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,14,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,16,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,17,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,22,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,23,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,26,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,27,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,28,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,30,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,31,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,32,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,33,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,38,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,40,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,41,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,42,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,43,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,44,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,46,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,49,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,52,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,55,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,57,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,58,predeclared_dense_only
dense_qc_stable_ref30,low_tv_spectral_teacher,59,predeclared_dense_only
dense_qc_stable_ref30,random_label,5,predeclared_dense_only
dense_qc_stable_ref30,random_label,6,predeclared_dense_only
dense_qc_stable_ref30,random_label,15,predeclared_dense_only
dense_qc_stable_ref30,random_label,16,predeclared_dense_only
dense_qc_stable_ref30,random_label,17,predeclared_dense_only
dense_qc_stable_ref30,random_label,19,predeclared_dense_only
dense_qc_stable_ref30,random_label,20,predeclared_dense_only
dense_qc_stable_ref30,random_label,21,predeclared_dense_only
dense_qc_stable_ref30,random_label,24,predeclared_dense_only
dense_qc_stable_ref30,random_label,25,predeclared_dense_only
dense_qc_stable_ref30,random_label,26,predeclared_dense_only
dense_qc_stable_ref30,random_label,28,predeclared_dense_only
dense_qc_stable_ref30,random_label,32,predeclared_dense_only
dense_qc_stable_ref30,random_label,33,predeclared_dense_only
dense_qc_stable_ref30,random_label,35,predeclared_dense_only
dense_qc_stable_ref30,random_label,36,predeclared_dense_only
dense_qc_stable_ref30,random_label,39,predeclared_dense_only
dense_qc_stable_ref30,random_label,42,predeclared_dense_only
dense_qc_stable_ref30,random_label,44,predeclared_dense_only
dense_qc_stable_ref30,random_label,45,predeclared_dense_only
dense_qc_stable_ref30,random_label,47,predeclared_dense_only
dense_qc_stable_ref30,random_label,48,predeclared_dense_only
dense_qc_stable_ref30,random_label,49,predeclared_dense_only
dense_qc_stable_ref30,random_label,50,predeclared_dense_only
dense_qc_stable_ref30,random_label,52,predeclared_dense_only
dense_qc_stable_ref30,random_label,53,predeclared_dense_only
