selector,rule,radius,delta_phi_energy,delta_phi_full,n_units,qc_pass,claim_status
dense_qc_stable_ref30,low_tv_spectral_teacher,0.01,0.0,0.0,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.011,-3.7969358146877418e-06,0.0952676546361637,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.012,-7.925801675136292e-06,0.1822395466538829,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.013,-1.2509666263709748e-05,0.2622451459981116,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.014,-1.716068605898362e-05,0.3363183541811428,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.016,-2.8411119145782788e-05,0.4697842373751693,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.018,-4.100312759153031e-05,0.5875068211955342,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.02,-5.600784381972019e-05,0.6928095200625052,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.025,-0.00010158861878083174,0.9158168186995537,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.03,-0.00016138898534155923,1.0980044907885511,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.04,-0.00033255750471855404,1.3853984983079313,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.05,-0.0005937996769790175,1.6081901355476802,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.065,-0.0011796287638953158,1.8698619621251396,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.08,-0.002024601809429224,2.0765719819095456,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.12,-0.005367272529670755,2.478529663056871,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.15,-0.008526535795689677,2.6984232792028617,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.2,-0.014456594957078527,2.9800583960802305,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.3,-0.02608672326374618,3.3737286196411307,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.45,-0.03969382390667125,3.7654218708657736,30,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.65,-0.05327485598471295,4.119416198035306,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.01,0.0,0.0,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.011,-2.8990489637960594e-05,0.09524246108234043,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.012,-6.172223364849575e-05,0.1821857502219095,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.013,-9.731377857041094e-05,0.2621603418858049,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.014,-0.00013649267105994383,0.336199022196142,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.016,-0.00022635887800620118,0.46958628961630905,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.018,-0.00033276757244734206,0.5872150567506785,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.02,-0.00045532729002894975,0.692410200616296,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.025,-0.0008581120627663174,0.9150602952555684,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.03,-0.0014092658681907587,1.0967566139057017,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.04,-0.003020794796115167,1.3827102610165343,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.05,-0.005275972736254794,1.6035079624884048,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.065,-0.009786882928060948,1.8612547079609743,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.08,-0.015412473884010723,2.0631841098349635,30,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.12,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.15,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.2,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.3,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.45,,,0,False,missing_units
dense_qc_stable_ref30,random_label,0.65,,,0,False,missing_units
dense_qc_stable_ref30,real_even_odd,0.01,0.0,0.0,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.011,-1.1861989300217902e-06,0.09527026537304839,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.012,-2.4573018514747325e-06,0.18224501515370659,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.013,-3.90397495768782e-06,0.2622537516894176,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.014,-5.4394345136504376e-06,0.3363300754326881,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.016,-8.980785401808824e-06,0.4698036677089134,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.018,-1.3270891550164464e-05,0.5875345534315756,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.02,-1.8095005704208023e-05,0.6928474329006206,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.025,-3.382950430870578e-05,0.9158845778140261,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.03,-5.595881248745454e-05,1.0981099209614051,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.04,-0.0001295731118715739,1.385601482700778,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.05,-0.0002627300071413907,1.608521205217518,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.065,-0.0006270447184656071,1.8704145461705692,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.08,-0.00122883653394992,2.0773677471850247,30,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.12,,,0,False,missing_units
dense_qc_stable_ref30,real_even_odd,0.15,,,0,False,missing_units
dense_qc_stable_ref30,real_even_odd,0.2,,,0,False,missing_units
dense_qc_stable_ref30,real_even_odd,0.3,,,0,False,missing_units
dense_qc_stable_ref30,real_even_odd,0.45,,,0,False,missing_units
dense_qc_stable_ref30,real_even_odd,0.65,,,0,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.01,0.0,0.0,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.011,-9.91340590644808e-06,0.09526153816607194,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.012,-2.0812768448848286e-05,0.1822266596871092,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.013,-3.278602118377964e-05,0.2622248696431916,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.014,-4.5989031224686326e-05,0.3362895258359771,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.016,-7.545528201709826e-05,0.4697371932122982,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.018,-0.00010964781858949998,0.5874381765045363,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.02,-0.000149524669297997,0.692716003237027,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.025,-0.00026926412201206854,0.9156491431963224,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.03,-0.00042724844548627176,1.0977386313284065,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.04,-0.0008655856207135393,1.3848654701919358,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.05,-0.0014758685110165999,1.6073080667136428,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.065,-0.002723514765220097,1.8683180761238145,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.08,-0.004339618496821977,2.0742569652221525,30,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.12,-0.011780169291041052,2.4721167662955015,1,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.15,-0.016078946615687626,2.6908708683828646,1,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.2,-0.024753238098639486,2.9697617529386697,1,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.3,-0.038497040735880075,3.361318302168997,1,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.45,-0.05808621402298231,3.7470294807494624,1,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.65,-0.07234300616442908,4.10034804785559,1,False,missing_units
