selector,rule,radius,selected_ref_count,observed_ref_count,missing_ref_count,missing_refs,complete,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,observed_qc_fail,qc_pass,claim_status
dense_qc_stable_ref30,low_tv_spectral_teacher,0.01,30,30,0,,True,1.0,0.9814365062514495,2.1241092739811257e-06,0.0,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.011,30,30,0,,True,1.0,0.9770834852261137,2.6200443833879276e-06,7.202204566555754e-07,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.012,30,30,0,,True,1.0,0.9719491617930093,2.6749008758090222e-06,1.5135883083573301e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.013,30,30,0,,True,1.0,0.967017272084801,4.71365040155186e-06,2.301499446929128e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.014,30,30,0,,True,1.0,0.9607221059811238,3.932096383751586e-06,3.270239450897242e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.016,30,30,0,,True,1.0,0.9469019689318111,3.082444901613857e-06,5.4912923548132595e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.018,30,30,0,,True,1.0,0.9303298099546867,4.565289242249829e-06,7.535257607690966e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.02,30,30,0,,True,1.0,0.9118507120007083,9.144362100249178e-06,1.0485090647974995e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.025,30,30,0,,True,1.0,0.8418701181478171,7.168499469361386e-06,2.011761071158077e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.03,30,30,0,,True,1.0,0.7621165072358849,9.577850740693807e-06,2.9908688723570717e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.04,30,30,0,,True,1.0,0.5999865191577708,1.3858575381364035e-05,5.076176479779319e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.05,30,30,0,,True,1.0,0.7357249439651651,1.9402127532703577e-05,8.249544938228963e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.065,30,30,0,,True,1.0,0.5365063316797036,5.8812485055031905e-05,0.00012690678721663265,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.08,30,30,0,,True,1.0,0.6171512755523967,2.5331935281153972e-05,0.00017794380877832804,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.12,30,30,0,,True,1.0,0.5423669035160469,0.0005265480765362702,0.0003204786855510758,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.15,30,30,0,,True,1.0,0.634434814189092,0.0012636846190144605,0.0003852496860626805,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.2,30,30,0,,True,1.0,0.6179123119495811,0.0016633770836136513,0.0005030968119671174,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.3,30,30,0,,True,1.0,0.6093184232205986,0.0027237405793121877,0.000488310477473179,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.45,30,30,0,,True,1.0,0.7378932143066487,0.0037621420086935194,0.0004571854327826008,False,True,claimable_selector_radius
dense_qc_stable_ref30,low_tv_spectral_teacher,0.65,30,30,0,,True,1.0,0.702823099497682,0.003733770838980891,0.0004009429573927484,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.01,30,30,0,,True,1.0,0.8660243524698451,2.6597953003020763e-06,0.0,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.011,30,30,0,,True,1.0,0.840681117112173,3.6587070406468748e-06,1.4249254512541431e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.012,30,30,0,,True,1.0,0.8169953456356293,3.267691758093277e-06,3.0664388168525037e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.013,30,30,0,,True,1.0,0.7887295253556,6.809229966061958e-06,5.027907955078148e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.014,30,30,0,,True,1.0,0.7655200851941213,4.9917000857652115e-06,6.576443695226771e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.016,30,30,0,,True,1.0,0.7121947842681964,7.809790059329964e-06,1.0488928799498531e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.018,30,30,0,,True,1.0,0.6448210653003263,1.4566027204610342e-05,1.6123894586474337e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.02,30,30,0,,True,1.0,0.5622104004625424,9.92196253932197e-06,2.0459068592032033e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.025,30,30,0,,True,1.0,0.5189822378718866,1.663097005822755e-05,3.783047258408985e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.03,30,30,0,,True,1.0,0.6300809267922403,2.60474628696675e-05,5.3062802186148855e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.04,30,30,0,,True,1.0,0.6007475117581722,0.00021611716623810669,0.00010817896670852406,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.05,30,30,0,,True,1.0,0.5794473713637458,0.0002820511262066597,0.00017476329537947487,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.065,30,30,0,,True,1.0,0.5481455917057367,0.001130209807927659,0.000290881324660389,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.08,30,30,0,,True,1.0,0.6965061156008794,0.0004255730445033958,0.0003830243463360406,False,True,claimable_selector_radius
dense_qc_stable_ref30,random_label,0.12,30,0,30,5;6;15;16;17;19;20;21;24;25;26;28;32;33;35;36;39;42;44;45,False,0.0,,,,False,False,missing_units
dense_qc_stable_ref30,random_label,0.15,30,0,30,5;6;15;16;17;19;20;21;24;25;26;28;32;33;35;36;39;42;44;45,False,0.0,,,,False,False,missing_units
dense_qc_stable_ref30,random_label,0.2,30,0,30,5;6;15;16;17;19;20;21;24;25;26;28;32;33;35;36;39;42;44;45,False,0.0,,,,False,False,missing_units
dense_qc_stable_ref30,random_label,0.3,30,0,30,5;6;15;16;17;19;20;21;24;25;26;28;32;33;35;36;39;42;44;45,False,0.0,,,,False,False,missing_units
dense_qc_stable_ref30,random_label,0.45,30,0,30,5;6;15;16;17;19;20;21;24;25;26;28;32;33;35;36;39;42;44;45,False,0.0,,,,False,False,missing_units
dense_qc_stable_ref30,random_label,0.65,30,0,30,5;6;15;16;17;19;20;21;24;25;26;28;32;33;35;36;39;42;44;45,False,0.0,,,,False,False,missing_units
dense_qc_stable_ref30,real_even_odd,0.01,30,30,0,,True,1.0,0.9992869409486334,5.225363979340173e-07,0.0,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.011,30,30,0,,True,1.0,0.9990913179250396,5.150520416452018e-07,9.354996426167316e-08,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.012,30,30,0,,True,1.0,0.9989255161685486,5.455623510675552e-07,1.8346540595612862e-07,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.013,30,30,0,,True,1.0,0.9987079890312862,7.298539417079043e-07,2.8061167143928436e-07,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.014,30,30,0,,True,1.0,0.9984531112163848,8.518861612100644e-07,4.0377370899176666e-07,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.016,30,30,0,,True,1.0,0.9978336926109407,1.2543116132122464e-06,6.142352771323696e-07,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.018,30,30,0,,True,1.0,0.9969802921524688,1.5504705177604595e-06,1.0198447056898357e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.02,30,30,0,,True,1.0,0.9959374772842539,1.3799841466526387e-06,1.3898000269204124e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.025,30,30,0,,True,1.0,0.992125450732434,2.410800307068556e-06,2.538305592591905e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,real_even_odd,0.03,30,30,0,,True,1.0,0.9857193971155828,2.655795833425654e-06,4.163820685141802e-06,False,True,claimable_selector_radius
