ref_id,artifact_source,artifact_path,has_replicate_summaries,replicates,split_logZ_per_P_diff
0,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_000/r_0p8500/unit_summary.json,True,16,0.0038273528984683045
1,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_001/r_0p8500/unit_summary.json,True,16,0.0008596986149522952
2,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_002/r_0p8500/unit_summary.json,True,16,0.0019172351867260114
3,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_003/r_0p8500/unit_summary.json,True,16,0.0020452464007793335
4,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_004/r_0p8500/unit_summary.json,False,0,0.00044816468070432583
5,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_005/r_0p8500/unit_summary.json,False,0,0.0036281670124162463
6,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_006/r_0p8500/unit_summary.json,False,0,0.0004758853732202689
7,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_007/r_0p8500/unit_summary.json,False,0,0.004187683611855728
8,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_008/r_0p8500/unit_summary.json,False,0,0.007440066075553062
9,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_009/r_0p8500/unit_summary.json,False,0,0.0030711719057031246
10,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_010/r_0p8500/unit_summary.json,False,0,0.005611229142001332
