ref_id,target_failed_ref,artifact_source,artifact_path,has_replicate_summaries,replicates,n_samples_each,n_samples_total,overall_split_logZ_per_P_diff,even_odd_replicate_split_per_P_recomputed,replicate_logZ_range_per_P,replicate_quarter_logZ_range_per_P,half_split_quarter_logZ_range_per_P,replicate_split_diff_max,replicate_split_diff_median,ess_fraction_mean,ess_fraction_min,weighted_ce_mean,weighted_ce_range,logZ_weightedCE_corr,feature_kmeans2_silhouette,feature_kmeans2_delta_ce,feature_kmeans2_delta_logZ_per_P,multi_sector_score,diagnostic_status
0,False,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_000/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0038273528984683045,0.0038273528984683045,0.0111627306350801,0.007634692781744894,0.007634692781744905,0.006303547019987258,0.0017539795641579195,0.7528925150032512,0.5822579428713003,0.22865423595141854,0.03002845159562534,-0.7500583111827567,0.27472061884382004,0.01351252538231107,0.0074899390912208895,3.0,multi_sector_suspect
1,False,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_001/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0008596986149522952,0.0008596986149522952,0.007298636820605508,0.0015563884460457053,0.0015563884460457053,0.009248352545961016,0.002256402387996387,0.8093961371659812,0.663621806311128,0.21982411855071549,0.03410894671737333,-0.6191344854053681,0.3285427236098158,0.015012613050057383,0.002611956830315589,0.0,ambiguous_summary_level
2,False,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_002/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0019172351867260114,0.0019172351867260114,0.010111184499977175,0.003499420542838825,0.0034994205428388364,0.009017848585575817,0.0033798204512436834,0.8774835286944991,0.6230507675836698,0.2192732684682743,0.04650683342295536,-0.7381401496965314,0.3059391430960338,0.013179604588272525,0.003736624647042942,1.0,ambiguous_summary_level
3,False,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_003/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0020452464007793335,0.0020452464007793335,0.008484412459375977,0.00443105684704085,0.00443105684704085,0.00870088251472471,0.0022875607742988985,0.7886559680909759,0.5441737481508753,0.2093086822789437,0.03568044884476168,-0.641289562936926,0.30247228340699783,0.016964634438456666,0.003757073734484261,2.0,multi_sector_suspect
4,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_004/r_0p8500/unit_summary.json,False,0,,,0.00044816468070432583,,,,,,,,,,,,,,,,insufficient_retained_summary
5,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_005/r_0p8500/unit_summary.json,False,0,,,0.0036281670124162463,,,,,,,,,,,,,,,,insufficient_retained_summary
6,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_006/r_0p8500/unit_summary.json,False,0,,,0.0004758853732202689,,,,,,,,,,,,,,,,insufficient_retained_summary
7,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_007/r_0p8500/unit_summary.json,False,0,,,0.004187683611855728,,,,,,,,,,,,,,,,insufficient_retained_summary
8,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_008/r_0p8500/unit_summary.json,False,0,,,0.007440066075553062,,,,,,,,,,,,,,,,insufficient_retained_summary
9,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_009/r_0p8500/unit_summary.json,False,0,,,0.0030711719057031246,,,,,,,,,,,,,,,,insufficient_retained_summary
10,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_010/r_0p8500/unit_summary.json,False,0,,,0.005611229142001332,,,,,,,,,,,,,,,,insufficient_retained_summary
11,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_011/r_0p8500/unit_summary.json,False,0,,,0.0038121599623252376,,,,,,,,,,,,,,,,insufficient_retained_summary
12,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_012/r_0p8500/unit_summary.json,False,0,,,0.0037365659602297606,,,,,,,,,,,,,,,,insufficient_retained_summary
13,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_013/r_0p8500/unit_summary.json,False,0,,,0.0030015382026443564,,,,,,,,,,,,,,,,insufficient_retained_summary
14,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_014/r_0p8500/unit_summary.json,False,0,,,0.00015954417838909081,,,,,,,,,,,,,,,,insufficient_retained_summary
15,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_015/r_0p8500/unit_summary.json,False,0,,,0.0026851770444513393,,,,,,,,,,,,,,,,insufficient_retained_summary
16,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_016/r_0p8500/unit_summary.json,False,0,,,0.0021652756183849664,,,,,,,,,,,,,,,,insufficient_retained_summary
17,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_017/r_0p8500/unit_summary.json,False,0,,,0.00349882809327353,,,,,,,,,,,,,,,,insufficient_retained_summary
18,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_018/r_0p8500/unit_summary.json,False,0,,,0.0033128748686014424,,,,,,,,,,,,,,,,insufficient_retained_summary
