ref_id,block_kind,block_id,block_logZ,block_logZ_centered_per_P,block_weighted_ce_mean
27,half_split_quarter,0,-147.39096087672817,0.0005626102866715773,
27,half_split_quarter,1,-153.76203443791368,-0.0020262046508276147,
27,half_split_quarter,2,-164.70520276788187,-0.006472839486247439,
27,half_split_quarter,3,-160.763756957155,-0.004871276783798491,
27,replicate_quarter,0,-147.3909608767282,0.0005626102866715657,0.20623437732047423
27,replicate_quarter,1,-153.76203443791368,-0.0020262046508276147,0.2137833292009425
27,replicate_quarter,2,-164.7052027678819,-0.0064728394862474505,0.22668511482117779
27,replicate_quarter,3,-160.763756957155,-0.004871276783798491,0.20248961123609527
33,half_split_quarter,0,-176.43175956426597,-0.006491254216666197,
33,half_split_quarter,1,-159.08555572973825,0.0005571829367379994,
33,half_split_quarter,2,-163.27327765650026,-0.0011444513285045887,
33,half_split_quarter,3,-173.87451824452526,-0.005452147625954815,
33,replicate_quarter,0,-176.43175956426597,-0.006491254216666197,0.24095917981809337
33,replicate_quarter,1,-159.08555572973825,0.0005571829367379994,0.22911023491816562
33,replicate_quarter,2,-163.27327765650028,-0.0011444513285046001,0.23109037779069397
33,replicate_quarter,3,-173.87451824452526,-0.005452147625954815,0.23849777244083276
49,half_split_quarter,0,-152.0246254635375,-0.0014532218263190201,
49,half_split_quarter,1,-147.0689729535342,0.0005604524971280704,
49,half_split_quarter,2,-161.6911239721002,-0.0053810960679129705,
49,half_split_quarter,3,-160.45279882661575,-0.004877916407009088,
49,replicate_quarter,0,-152.0246254635375,-0.0014532218263190201,0.21908477951554114
49,replicate_quarter,1,-147.0689729535342,0.0005604524971280704,0.2166056447711116
49,replicate_quarter,2,-161.6911239721002,-0.0053810960679129705,0.21653172475285246
49,replicate_quarter,3,-160.45279882661575,-0.004877916407009088,0.22254189398020324
